"uid","domainID","siteID","plotID","trapID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","boutNumber","eventID","sampleID","daysOfTrapping","cupStatus","lidStatus","fluidLevel","trapReset","samplingProtocol","recordedBy","remarks","missingRecordsPerBoutQF","duplicateCollectionEventQF","compareSetCollectDateQF"
"F6E6323DD03A4F7387B4E2D10A36C53B","D02","SERC",,"S","deciduousForest",38.897364,-76.561193,"WGS84",1.2,26.0,0.2,"2015-04-21","2015-05-05",1,"BET.SERC_009.2015.01","SERC_009.S.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"4EBCD4422F814A45AD992872AB27C463","D02","SERC",,"E","deciduousForest",38.881092,-76.547086,"WGS84",1.3,3.5,0.4,"2015-04-21","2015-05-05",1,"BET.SERC_006.2015.01","SERC_006.E.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"71FB02F347F2499380942E405BA00E64","D02","SERC",,"N","deciduousForest",,,,,,,"2015-04-21","2015-05-05",1,"BET.SERC_015.2015.01","SERC_015.N.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"9FBB743BEAF14EC1A32DF2EF0142D7E0","D02","SERC",,"E","deciduousForest",38.895035,-76.558683,"WGS84",1.1,11.4,0.1,"2015-04-21","2015-05-05",1,"BET.SERC_002.2015.01","SERC_002.E.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"18615DE4B1BF404EADC697948DE6C0A3","D02","SERC",,"W","deciduousForest",,,,,,,"2015-04-21","2015-05-05",1,"BET.SERC_016.2015.01","SERC_016.W.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"75F8F0B435C74072919FFB93270E147F","D02","SERC",,"N","deciduousForest",38.881269,-76.547320,"WGS84",1.3,3.5,0.4,"2015-04-21","2015-05-05",1,"BET.SERC_006.2015.01","SERC_006.N.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"40E6BDA1DCEC474784CE4A458AFB9022","D02","SERC",,"W","deciduousForest",38.895029,-76.559144,"WGS84",1.1,11.4,0.1,"2015-04-21","2015-05-05",1,"BET.SERC_002.2015.01","SERC_002.W.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"EBD62BF707B345C9B679FE5DA2C258E1","D02","SERC",,"S","deciduousForest",,,,,,,"2015-04-21","2015-05-05",1,"BET.SERC_015.2015.01","SERC_015.S.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"C275F1B1A60A481DB2AED8E2E1B45E1A","D02","SERC",,"S","deciduousForest",38.868510,-76.533591,"WGS84",1.2,7.6,0.4,"2015-04-21","2015-05-05",1,"BET.SERC_001.2015.01","SERC_001.S.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"D7E3E270761B48FA92FB5202F5F5D65A","D02","SERC",,"W","deciduousForest",38.899871,-76.543999,"WGS84",1.2,10.8,0.2,"2015-04-21","2015-05-05",1,"BET.SERC_003.2015.01","SERC_003.W.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"A53BC44EAC1B453BBF9EFB780BAB5B9E","D02","SERC",,"S","deciduousForest",38.894852,-76.558909,"WGS84",1.1,11.4,0.1,"2015-04-21","2015-05-05",1,"BET.SERC_002.2015.01","SERC_002.S.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"38565A45CCD641649AB4AB5E05824830","D02","SERC",,"N","deciduousForest",38.909855,-76.546259,"WGS84",1.2,25.8,0.2,"2015-04-21","2015-05-05",1,"BET.SERC_010.2015.01","SERC_010.N.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"316E372E2C24494299538093ED8AD10F","D02","SERC",,"E","cultivatedCrops",38.873798,-76.539598,"WGS84",1.1,4.3,0.2,"2015-04-21","2015-05-05",1,"BET.SERC_007.2015.01","SERC_007.E.20150505",14,"ok","ok","low","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","PG was not in the trap",0,0,0
"98D39108E9EC4EE09E7DA417D8F36F36","D02","SERC",,"E","deciduousForest",38.899877,-76.543538,"WGS84",1.2,10.8,0.2,"2015-04-21","2015-05-05",1,"BET.SERC_003.2015.01","SERC_003.E.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","trap had been set too high; reset at correct height",0,0,0
"808123660F014F7DA7DCF2CD70ABC2FD","D02","SERC",,"N","cultivatedCrops",38.873975,-76.539832,"WGS84",1.1,4.3,0.2,"2015-04-21","2015-05-05",1,"BET.SERC_007.2015.01","SERC_007.N.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"57C9FAACB6B145ACB52258F759FCE5BD","D02","SERC",,"N","deciduousForest",38.895212,-76.558917,"WGS84",1.1,11.4,0.1,"2015-04-21","2015-05-05",1,"BET.SERC_002.2015.01","SERC_002.N.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"9CA4305F7A51482D9A5678FA9506E5A9","D02","SERC",,"E","deciduousForest",38.868693,-76.533364,"WGS84",1.2,7.6,0.4,"2015-04-21","2015-05-05",1,"BET.SERC_001.2015.01","SERC_001.E.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"1BF6BFF06A034D5BA0CCDACA76799B5F","D02","SERC",,"N","deciduousForest",,,,,,,"2015-04-21","2015-05-05",1,"BET.SERC_021.2015.01","SERC_021.N.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"255F4820612D420A96A54CBCAE8D3CDF","D02","SERC",,"S","deciduousForest",,,,,,,"2015-04-21","2015-05-05",1,"BET.SERC_021.2015.01","SERC_021.S.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"B92C37F40749418990CA3FE68B9FAACC","D02","SERC",,"S","cultivatedCrops",38.873615,-76.539825,"WGS84",1.1,4.3,0.2,"2015-04-21","2015-05-05",1,"BET.SERC_007.2015.01","SERC_007.S.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"6DE31CB68FB2411CB9C75BC74D5634AB","D02","SERC",,"S","deciduousForest",,,,,,,"2015-04-21","2015-05-05",1,"BET.SERC_016.2015.01","SERC_016.S.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"27EB375B122943178FD1EFC8B5E996BC","D02","SERC",,"W","deciduousForest",38.881086,-76.547547,"WGS84",1.3,3.5,0.4,"2015-04-21","2015-05-05",1,"BET.SERC_006.2015.01","SERC_006.W.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"6F4ACDD3944649A59C67E9E347E3A52B","D02","SERC",,"W","cultivatedCrops",38.873792,-76.540059,"WGS84",1.1,4.3,0.2,"2015-04-21","2015-05-05",1,"BET.SERC_007.2015.01","SERC_007.W.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"32B451E766D44AD3BFE59E76DC87DD35","D02","SERC",,"S","deciduousForest",38.899694,-76.543765,"WGS84",1.2,10.8,0.2,"2015-04-21","2015-05-05",1,"BET.SERC_003.2015.01","SERC_003.S.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"D0B6E404383E450CB323A2A9BE5F1AF8","D02","SERC",,"W","deciduousForest",38.897541,-76.561428,"WGS84",1.2,26.0,0.2,"2015-04-21","2015-05-05",1,"BET.SERC_009.2015.01","SERC_009.W.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"00EB02AEC21149C8A37862BD034E67FD","D02","SERC",,"N","deciduousForest",38.868870,-76.533599,"WGS84",1.2,7.6,0.4,"2015-04-21","2015-05-05",1,"BET.SERC_001.2015.01","SERC_001.N.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"7599347FFE6C424A9D1D3C998FD61276","D02","SERC",,"N","deciduousForest",38.900054,-76.543773,"WGS84",1.2,10.8,0.2,"2015-04-21","2015-05-05",1,"BET.SERC_003.2015.01","SERC_003.N.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"6A529C5002354480A058ABC3873C80C7","D02","SERC",,"S","deciduousForest",38.880908,-76.547312,"WGS84",1.3,3.5,0.4,"2015-04-21","2015-05-05",1,"BET.SERC_006.2015.01","SERC_006.S.20150505",14,"disturbed","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","Trap was dug into by animal",0,0,0
"CA284C9AD5D3452084C761758AA853C7","D02","SERC",,"E","deciduousForest",38.897547,-76.560967,"WGS84",1.2,26.0,0.2,"2015-04-21","2015-05-05",1,"BET.SERC_009.2015.01","SERC_009.E.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"46A355392CB14ADCAF5241083B48F5DE","D02","SERC",,"W","deciduousForest",,,,,,,"2015-04-21","2015-05-05",1,"BET.SERC_015.2015.01","SERC_015.W.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"44A56CB8F1BB4188826C830331988B09","D02","SERC",,"W","deciduousForest",38.868687,-76.533825,"WGS84",1.2,7.6,0.4,"2015-04-21","2015-05-05",1,"BET.SERC_001.2015.01","SERC_001.W.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"2965277098414AB59E0B9890C724BFD8","D02","SERC",,"S","deciduousForest",38.909495,-76.546251,"WGS84",1.2,25.8,0.2,"2015-04-21","2015-05-05",1,"BET.SERC_010.2015.01","SERC_010.S.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"D2836C786B06432790BCDBC202BDB437","D02","SERC",,"N","deciduousForest",,,,,,,"2015-04-21","2015-05-05",1,"BET.SERC_016.2015.01","SERC_016.N.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"22704E0E0C91453190E6E339976FC4A6","D02","SERC",,"W","deciduousForest",38.909672,-76.546485,"WGS84",1.2,25.8,0.2,"2015-04-21","2015-05-05",1,"BET.SERC_010.2015.01","SERC_010.W.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"3AC0D4608F744897988FDED337FF8DA6","D02","SERC",,"E","deciduousForest",,,,,,,"2015-04-21","2015-05-05",1,"BET.SERC_021.2015.01","SERC_021.E.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"6692DBA67C3A4702961D34C0FC7364C3","D02","SERC",,"E","deciduousForest",,,,,,,"2015-04-21","2015-05-05",1,"BET.SERC_016.2015.01","SERC_016.E.20150505",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
