"uid","domainID","siteID","plotID","trapID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","boutNumber","eventID","sampleID","daysOfTrapping","cupStatus","lidStatus","fluidLevel","trapReset","samplingProtocol","recordedBy","remarks","missingRecordsPerBoutQF","duplicateCollectionEventQF","compareSetCollectDateQF"
"35787754974949F6B9A3171E2528BD12","D11","OAES",,"W","grasslandHerbaceous",35.395379,-99.063409,"WGS84",1.1,493.6,0.1,"2015-04-14","2015-04-28",1,"BET.OAES_008.2015.01","OAES_008.W.20150428",14,"ok","ok","high","Y","NEON.DOC.014050","E0QNXD+K2b5q2XkN9RjHNBArNVWYmvwc",,0,0,0
"BDAC61EDBCE543A8965B682E57449C93","D11","OAES",,"N","grasslandHerbaceous",35.412315,-99.069792,"WGS84",1.1,510.5,0.1,"2015-04-14","2015-04-28",1,"BET.OAES_003.2015.01","OAES_003.N.20150428",14,"ok","ok","ok","Y","NEON.DOC.014050","nLY7eam4tn5KvmhUGKXYjL1ERBP4294P","N stakes would not go into ground",0,0,0
"7D9A54CA28A5408FA4DBA338CF99C359","D11","OAES",,"W","shrubScrub",35.419995,-99.057484,"WGS84",1.2,519.4,0.5,"2015-04-14","2015-04-28",1,"BET.OAES_007.2015.01","OAES_007.W.20150428",14,"ok","ok","ok","Y","NEON.DOC.014050","cJ8Mt89MTxlqOnAc6pDp/DoDhz6eIepx",,0,0,0
"64580A5ED03D4DC491BA11A74D211166","D11","OAES",,"E","grasslandHerbaceous",35.412135,-99.069571,"WGS84",1.1,510.5,0.1,"2015-04-14","2015-04-28",1,"BET.OAES_003.2015.01","OAES_003.E.20150428",14,"ok","ok","ok","Y","NEON.DOC.014050","nLY7eam4tn5KvmhUGKXYjL1ERBP4294P",,0,0,0
"891ED8D930504ED6AC3F07A8A1783837","D11","OAES",,"W","grasslandHerbaceous",35.404299,-99.080261,"WGS84",1.1,511.9,0.1,"2015-04-14","2015-04-28",1,"BET.OAES_005.2015.01","OAES_005.W.20150428",14,"ok","ok","high","Y","NEON.DOC.014050","E0QNXD+K2b5q2XkN9RjHNBArNVWYmvwc",,0,0,0
"8B9E4384DAF44B869C3E41B2153BAFC3","D11","OAES",,"W","grasslandHerbaceous",35.412134,-99.070012,"WGS84",1.1,510.5,0.1,"2015-04-14","2015-04-28",1,"BET.OAES_003.2015.01","OAES_003.W.20150428",14,"ok","ok","ok","Y","NEON.DOC.014050","nLY7eam4tn5KvmhUGKXYjL1ERBP4294P",,0,0,0
"69DAB90945694454AE4626C0A9BEC229","D11","OAES",,"E","grasslandHerbaceous",35.412699,-99.058038,"WGS84",1.1,515.1,0.1,"2015-04-14","2015-04-28",1,"BET.OAES_001.2015.01","OAES_001.E.20150428",14,"ok","ok","ok","Y","NEON.DOC.014050","cJ8Mt89MTxlqOnAc6pDp/DoDhz6eIepx",,0,0,0
"21FF852E153F45DA9D4BF7003E544288","D11","OAES",,"S","grasslandHerbaceous",35.395199,-99.063188,"WGS84",1.1,493.6,0.1,"2015-04-14","2015-04-28",1,"BET.OAES_008.2015.01","OAES_008.S.20150428",14,"ok","ok","high","Y","NEON.DOC.014050","E0QNXD+K2b5q2XkN9RjHNBArNVWYmvwc",,0,0,0
"8E995C372ADD4D03AFCC40A469AB8D57","D11","OAES",,"W","grasslandHerbaceous",35.412130,-99.085558,"WGS84",1.1,507.4,0.1,"2015-04-14","2015-04-28",1,"BET.OAES_004.2015.01","OAES_004.W.20150428",14,"ok","ok","ok","Y","NEON.DOC.014050","E0QNXD+K2b5q2XkN9RjHNBArNVWYmvwc",,0,0,0
"98F26877BC9F4746AEFA5245D890C1A8","D11","OAES",,"N","grasslandHerbaceous",35.420440,-99.048669,"WGS84",1.1,516.4,0.2,"2015-04-14","2015-04-28",1,"BET.OAES_006.2015.01","OAES_006.N.20150428",14,"ok","ok","ok","Y","NEON.DOC.014050","cJ8Mt89MTxlqOnAc6pDp/DoDhz6eIepx",,0,0,0
"7A6CDB9E97764C418D7B108944B8FEA9","D11","OAES",,"N","grasslandHerbaceous",35.412310,-99.085338,"WGS84",1.1,507.4,0.1,"2015-04-14","2015-04-28",1,"BET.OAES_004.2015.01","OAES_004.N.20150428",14,"ok","ok","ok","Y","NEON.DOC.014050","E0QNXD+K2b5q2XkN9RjHNBArNVWYmvwc",,0,0,0
"BBA1DA863FA74DB5A025E22786895A95","D11","OAES",,"S","grasslandHerbaceous",35.419537,-99.052304,"WGS84",1.1,521.6,0.1,"2015-04-14","2015-04-28",1,"BET.OAES_002.2015.01","OAES_002.S.20150428",14,"ok","ok","high","Y","NEON.DOC.014050","cJ8Mt89MTxlqOnAc6pDp/DoDhz6eIepx",,0,0,0
"D6B1DD20F3F74E13841BCBD9759628EA","D11","OAES",,"N","shrubScrub",35.420975,-99.050317,"WGS84",1.1,515.5,0.1,"2015-04-14","2015-04-28",1,"BET.OAES_009.2015.01","OAES_009.N.20150428",14,"ok","ok","ok","Y","NEON.DOC.014050","cJ8Mt89MTxlqOnAc6pDp/DoDhz6eIepx",,0,0,0
"6AC21123145448B9AF462E952D8BCA02","D11","OAES",,"N","shrubScrub",35.420175,-99.057264,"WGS84",1.2,519.4,0.5,"2015-04-14","2015-04-28",1,"BET.OAES_007.2015.01","OAES_007.N.20150428",14,"ok","ok","high","Y","NEON.DOC.014050","cJ8Mt89MTxlqOnAc6pDp/DoDhz6eIepx","trapReset not indicated y/n",0,0,0
"9330DE23DDBC4762A7ACE42E0CD8D03C","D11","OAES",,"N","grasslandHerbaceous",35.404480,-99.080041,"WGS84",1.1,511.9,0.1,"2015-04-14","2015-04-28",1,"BET.OAES_005.2015.01","OAES_005.N.20150428",14,"ok","ok","ok","Y","NEON.DOC.014050","E0QNXD+K2b5q2XkN9RjHNBArNVWYmvwc",,0,0,0
