"uid","domainID","siteID","plotID","trapID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","boutNumber","eventID","sampleID","daysOfTrapping","cupStatus","lidStatus","fluidLevel","trapReset","samplingProtocol","recordedBy","remarks","missingRecordsPerBoutQF","duplicateCollectionEventQF","compareSetCollectDateQF"
"0E802251323447818446DDF3BFF973FA","D13","MOAB",,"E","shrubScrub",,,,,,,"2015-05-28","2015-06-11",1,"BET.MOAB_008.2015.01","MOAB_008.E.20150611",14,"ok","ok","ok","Y","NEON.DOC.014050","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0,0,0
"8F442ED007534D88A767C63FE9A279BA","D13","MOAB",,"N","shrubScrub",38.265675,-109.341836,"WGS84",1.1,1996.4,0.1,"2015-05-28","2015-06-11",1,"BET.MOAB_007.2015.01","MOAB_007.N.20150611",14,"ok","ok","high","Y","NEON.DOC.014050","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0,0,0
"6CBAA3283C4741679A637832231056FA","D13","MOAB",,"S","evergreenForest",38.261107,-109.349487,"WGS84",1.1,2006.8,0.1,"2015-05-28","2015-06-11",1,"BET.MOAB_003.2015.01","MOAB_003.S.20150611",14,"ok","ok","high","Y","NEON.DOC.014050","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0,0,0
"12DA504398CD4C5CABDEAFDF06B48377","D13","MOAB",,"S","shrubScrub",38.265315,-109.341844,"WGS84",1.1,1996.4,0.1,"2015-05-28","2015-06-11",1,"BET.MOAB_007.2015.01","MOAB_007.S.20150611",14,"ok","ok","high","Y","NEON.DOC.014050","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0,0,0
"DB4BCE76077C4074B0EF140E760A4008","D13","MOAB",,"E","evergreenForest",38.261284,-109.349254,"WGS84",1.1,2006.8,0.1,"2015-05-28","2015-06-11",1,"BET.MOAB_003.2015.01","MOAB_003.E.20150611",14,"ok","ok","high","Y","NEON.DOC.014050","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0,0,0
"2228875EBC63470BBC593EC24D4D9AA7","D13","MOAB",,"S","shrubScrub",,,,,,,"2015-05-28","2015-06-11",1,"BET.MOAB_008.2015.01","MOAB_008.S.20150611",14,"ok","ok","ok","Y","NEON.DOC.014050","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0,0,0
"7803B14FEBE34A7B8378128C0BF80A11","D13","MOAB",,"W","shrubScrub",,,,,,,"2015-05-28","2015-06-11",1,"BET.MOAB_008.2015.01","MOAB_008.W.20150611",14,"ok","ok","ok","Y","NEON.DOC.014050","xwW9faweG9yezxUGEB9quDydrYQYJWI4","plot started at 12:15",0,0,0
"0AE687CC5B8B41D8B0590C4596BE680A","D13","MOAB",,"E","shrubScrub",38.265492,-109.341612,"WGS84",1.1,1996.4,0.1,"2015-05-28","2015-06-11",1,"BET.MOAB_007.2015.01","MOAB_007.E.20150611",14,"ok","ok","high","Y","NEON.DOC.014050","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0,0,0
"BCDBB66740D240068CCBFF661DCF58EA","D13","MOAB",,"W","evergreenForest",38.261290,-109.349712,"WGS84",1.1,2006.8,0.1,"2015-05-28","2015-06-11",1,"BET.MOAB_003.2015.01","MOAB_003.W.20150611",14,"ok","ok","low","Y","NEON.DOC.014050","xwW9faweG9yezxUGEB9quDydrYQYJWI4","Started plot at 8:45, heavy rains in days before bout",0,0,0
"DFE6DB694BA74C30B71A910ABF3A3D88","D13","MOAB",,"W","shrubScrub",38.265498,-109.342069,"WGS84",1.1,1996.4,0.1,"2015-05-28","2015-06-11",1,"BET.MOAB_007.2015.01","MOAB_007.W.20150611",14,"ok","ok","high","Y","NEON.DOC.014050","xwW9faweG9yezxUGEB9quDydrYQYJWI4","plot started at 10:20, heavy rains in days before bout",0,0,0
"6A1BE69AB84A45CA8472F80498AD065D","D13","MOAB",,"N","evergreenForest",38.261467,-109.349479,"WGS84",1.1,2006.8,0.1,"2015-05-28","2015-06-11",1,"BET.MOAB_003.2015.01","MOAB_003.N.20150611",14,"ok","ok","high","Y","NEON.DOC.014050","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0,0,0
"9C4E1C44E3EC4D689F0FE5F972BB2806","D13","MOAB",,"N","shrubScrub",,,,,,,"2015-05-28","2015-06-11",1,"BET.MOAB_008.2015.01","MOAB_008.N.20150611",14,"ok","ok","low","Y","NEON.DOC.014050","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0,0,0
