"uid","domainID","siteID","plotID","trapID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","boutNumber","eventID","sampleID","daysOfTrapping","cupStatus","lidStatus","fluidLevel","trapReset","samplingProtocol","recordedBy","remarks","missingRecordsPerBoutQF","duplicateCollectionEventQF","compareSetCollectDateQF"
"F035143E7294431CB54AC9773AAD3DAA","D14","JORN",,"S","shrubScrub",32.611267,-106.837686,"WGS84",1.1,1326.7,0.1,"2015-05-14","2015-05-28",1,"BET.JORN_009.2015.01","JORN_009.S.20150528",14,"ok","ok","ok","Y","NEON.DOC.014050","lwslV2p6Pw5kfRWBW4+k7s38OMLSUYqS",,0,0,0
"F464FB5D58E347859EDEEEB8AC2AB7AB","D14","JORN",,"S","shrubScrub",32.590382,-106.824456,"WGS84",1.1,1323.2,0.1,"2015-05-14","2015-05-28",1,"BET.JORN_006.2015.01","JORN_006.S.20150528",14,"ok","ok","low","Y","NEON.DOC.014050","bJI9oX5aCRvNTjBdLWWO/JGiL7uEPDaz","Filled to 40ml.",0,0,0
"B58179CA2FE647C8B43A3B4478160486","D14","JORN",,"E","shrubScrub",32.628339,-106.847723,"WGS84",1.1,1331.7,0.2,"2015-05-14","2015-05-28",1,"BET.JORN_010.2015.01","JORN_010.E.20150528",14,"ok","ok","low","Y","NEON.DOC.014050","lwslV2p6Pw5kfRWBW4+k7s38OMLSUYqS","full of sand",0,0,0
"1DB73B2B8EFC48F59B8E49841A59D527","D14","JORN",,"W","shrubScrub",32.628333,-106.848149,"WGS84",1.1,1331.7,0.2,"2015-05-14","2015-05-28",1,"BET.JORN_010.2015.01","JORN_010.W.20150528",14,"ok","ok","low","Y","NEON.DOC.014050","lwslV2p6Pw5kfRWBW4+k7s38OMLSUYqS","drycup with holes was switched with cup without holes for N,S,E,W",0,0,0
"ACFB007130E14751810663DEF4900797","D14","JORN",,"W","shrubScrub",32.607916,-106.856978,"WGS84",1.1,1323.5,0.1,"2015-05-14","2015-05-28",1,"BET.JORN_007.2015.01","JORN_007.W.20150528",14,"ok","ok","low","Y","NEON.DOC.014050","lwslV2p6Pw5kfRWBW4+k7s38OMLSUYqS","drybottom cup switched with the top for N,S,E,W",0,0,0
"8B82428183AE46CF9F9F697B874F9B22","D14","JORN",,"N","shrubScrub",32.594085,-106.797362,"WGS84",1.1,1320.0,0.1,"2015-05-14","2015-05-28",1,"BET.JORN_008.2015.01","JORN_008.N.20150528",14,"ok","ok","low","Y","NEON.DOC.014050","bJI9oX5aCRvNTjBdLWWO/JGiL7uEPDaz",,0,0,0
"7D1B3AEB9B714EB2BC370EFF3D8DCF5D","D14","JORN",,"S","shrubScrub",32.575516,-106.803385,"WGS84",1.1,1323.5,0.1,"2015-05-14","2015-05-28",1,"BET.JORN_005.2015.01","JORN_005.S.20150528",14,"ok","ok","ok","Y","NEON.DOC.014050","bJI9oX5aCRvNTjBdLWWO/JGiL7uEPDaz",,0,0,0
"C10AE14AF3C74352A7C9EE68E4B58251","D14","JORN",,"N","shrubScrub",32.630508,-106.860764,"WGS84",1.1,1331.6,0.1,"2015-05-14","2015-05-28",1,"BET.JORN_004.2015.01","JORN_004.N.20150528",14,"ok","ok","low","Y","NEON.DOC.014050","lwslV2p6Pw5kfRWBW4+k7s38OMLSUYqS",,0,0,0
"2BC26FAC724740DE9BC673A065C567E7","D14","JORN",,"W","shrubScrub",32.600611,-106.838312,"WGS84",1.1,1321.1,0.1,"2015-05-14","2015-05-28",1,"BET.JORN_003.2015.01","JORN_003.W.20150528",14,"ok","ok","low","Y","NEON.DOC.014050","bJI9oX5aCRvNTjBdLWWO/JGiL7uEPDaz","Cup filled to 40ml.",0,0,0
"6AC1E5ABAF264201960C34EC8D444CA0","D14","JORN",,"S","shrubScrub",32.607739,-106.856761,"WGS84",1.1,1323.5,0.1,"2015-05-14","2015-05-28",1,"BET.JORN_007.2015.01","JORN_007.S.20150528",14,"ok","ok","low","Y","NEON.DOC.014050","lwslV2p6Pw5kfRWBW4+k7s38OMLSUYqS",,0,0,0
