uid,domainID,siteID,plotID,trapCoordinate,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,date,eventID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,identificationStatus,sex,reproductiveCondition,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,bloodSampleID,bloodSampleMethod,fecalSampleID,fecalSampleCondition,earSampleID,hairSampleID,whiskerSampleID,voucherSampleID,measuredBy,recordedBy,remarks,consistencyTagIDSexQF,consistencyTagIDTaxonIDQF,consistencyTagIDLifeStageQF,orderTagIDRecaptureQF,orderTagIDLifeStageQF
AD78ECE7FDD94E36A03DCF95BEC12456,D03,DSNY,,I7,woodyWetlands,28.099302,-81.401067,WGS84,,16.8,,7/16/2013,MAM.DSNY.2013.07,NEON.MAM.D03.0R2124,SIHI,Sigmodon hispidus,species,, ,F,R,N,,,adult,,enlarged,pregnant,swollen,31,,,110,193,DSNY.20130716.R2124.B,retroorbital,,,DSNY.20130716.R2124.E,DSNY.20130716.R2124.H,DSNY.20130716.R2124.H,,F/6MQogm4Sr6AwTLp8PSI8DjFn1BHJOw,SZd6jJU+PWukgvziuyetpzviWNuM2FzT,,0,0,0,-1,0
6932F39A1CEA437CB07ECB922CD76C55,D03,DSNY,,D7,woodyWetlands,28.0993,-81.401576,WGS84,,16.9,,7/16/2013,MAM.DSNY.2013.07,,SIHI,Sigmodon hispidus,species,, ,M,N,N,escaped,,subadult,nonscrotal,,,,,,,,,,,,,,,,,F/6MQogm4Sr6AwTLp8PSI8DjFn1BHJOw,SZd6jJU+PWukgvziuyetpzviWNuM2FzT,,-1,-1,-1,-1,-1
CA00C64B4A504EB1BD337C3E759DB4F6,D03,DSNY,,J3,woodyWetlands,28.099663,-81.400966,WGS84,,16.8,,7/16/2013,MAM.DSNY.2013.07,NEON.MAM.D03.0L2172,SIHI,Sigmodon hispidus,species,, ,F,N,N,,,adult,,nonenlarged,not,neither,23,,101,,140,DSNY.20130716.L2172.B,retroorbital,,,DSNY.20130716.L2172.E,DSNY.20130716.L2172.H,DSNY.20130716.L2172.H,,F/6MQogm4Sr6AwTLp8PSI8DjFn1BHJOw,SZd6jJU+PWukgvziuyetpzviWNuM2FzT,,0,0,0,-1,0
01BE350F19FB4819921C2E9469005C3B,D03,DSNY,,G4,woodyWetlands,28.099572,-81.401271,WGS84,,16.8,,7/17/2013,MAM.DSNY.2013.07,NEON.MAM.D03.0R2180,SIHI,Sigmodon hispidus,species,, ,F,R,N,,,adult,,enlarged,not,neither,26,,85,130,190,,,,,,,,,F/6MQogm4Sr6AwTLp8PSI8DjFn1BHJOw,SZd6jJU+PWukgvziuyetpzviWNuM2FzT,weighed with ruler / rat held ruler in mouth,0,0,0,-1,0
2F1EB76BED7A4779A144960EFBB607CB,D03,DSNY,,J5,woodyWetlands,28.099483,-81.400966,WGS84,,16.8,,7/17/2013,MAM.DSNY.2013.07,,SIHI,Sigmodon hispidus,species,, ,F,R,N,,,adult,,enlarged,not,neither,,,,,,,,,,,,,,F/6MQogm4Sr6AwTLp8PSI8DjFn1BHJOw,SZd6jJU+PWukgvziuyetpzviWNuM2FzT,,-1,-1,-1,-1,-1
A706093DC7074B36B8CB77569642BFE5,D03,DSNY,,J2,woodyWetlands,28.099753,-81.400967,WGS84,,16.8,,7/17/2013,MAM.DSNY.2013.07,,SIHI,Sigmodon hispidus,species,, ,F,N,N,,,adult,,nonenlarged,not,neither,,,,,,,,,,,,,,F/6MQogm4Sr6AwTLp8PSI8DjFn1BHJOw,SZd6jJU+PWukgvziuyetpzviWNuM2FzT,,-1,-1,-1,-1,-1
9B3A951E2F954F869D2BF88803790A98,D03,DSNY,,J9,woodyWetlands,28.099122,-81.400964,WGS84,,16.8,,7/18/2013,MAM.DSNY.2013.07,NEON.MAM.D03.0L2172,SIHI,Sigmodon hispidus,species,, ,F,R,Y,,,adult,,enlarged,not,,,,,,,,,,,,,,,wN8Dlsvtov6VhnaTUjYuwgcnmS9idZUh,SZd6jJU+PWukgvziuyetpzviWNuM2FzT,,0,0,0,-1,0
22AE640945814318B4E5B955478E5858,D03,DSNY,,C2,woodyWetlands,28.099751,-81.401679,WGS84,,16.9,,7/18/2013,MAM.DSNY.2013.07,NEON.MAM.D03.0L2156,SIHI,Sigmodon hispidus,species,, ,M,N,N,,,adult,,,,,30,,110,,153,,,,,,,,,wN8Dlsvtov6VhnaTUjYuwgcnmS9idZUh,SZd6jJU+PWukgvziuyetpzviWNuM2FzT,,0,0,0,-1,0
617E9F497C734F5EB802AA794B5F2A83,D03,DSNY,,H6,woodyWetlands,28.099392,-81.401169,WGS84,,16.8,,7/18/2013,MAM.DSNY.2013.07,NEON.MAM.D03.0L2124,SIHI,Sigmodon hispidus,species,, ,F,R,Y,,,adult,,enlarged,not,neither,,,,,,,,,,,,,,wN8Dlsvtov6VhnaTUjYuwgcnmS9idZUh,SZd6jJU+PWukgvziuyetpzviWNuM2FzT,Recently gave birth,0,0,0,-1,0
6D289512BC194EAAB5D5FC1B6F1ED755,D03,DSNY,,I10,woodyWetlands,28.038677,-81.391493,WGS84,,15,,7/31/2013,MAM.DSNY.2013.08,NEON.MAM.D03.0R2256,SIHI,Sigmodon hispidus,species,, ,M,R,N,,,adult,scrotal,,,,35,,,,143,DSNY.20130731.R2256.B,retroorbital,DSNY.20130731.R2256.F,fresh,DSNY.20130731.R2256.E,DSNY.20130731.R2256.H,DSNY.20130731.R2256.H,,wN8Dlsvtov6VhnaTUjYuwgcnmS9idZUh,SZd6jJU+PWukgvziuyetpzviWNuM2FzT,,0,0,0,-1,0
