"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"616BAF2EC3A74C6BBEAF05B6CE8FA926","D03","OSBS",,"B1","evergreenForest",29.705459,-81.956563,"WGS84",,32.0,,"2013-07-09","MAM.OSBS.2013.07","NEON.MAM.D03.0L2143","PEGO","Peromyscus gossypinus","species",," ","M","N","N",,,"adult","nonscrotal",,,,25.0,,83.0,,33.00,,,,,,,,,"F/6MQogm4SruoS1iHbVwBrp7bVAGMrci","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K","no samples. only measurements. Idq: CB.",0,0,0,-1,0
"FB556D8D3D6A4A51B696CD2E838489AD","D03","OSBS",,"A2","evergreenForest",29.683230,-81.958602,"WGS84",,40.0,,"2013-07-09","MAM.OSBS.2013.07","NEON.MAM.D03.0R2175","PEGO","Peromyscus gossypinus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",24.0,,75.0,,28.00,"OSBS.20130709.R2175.B","retroorbital","OSBS.20130709.R2175.F","fresh","OSBS.20130709.R2175.E","OSBS.20130709.R2175.H","OSBS.20130709.R2175.H",,"F/6MQogm4SruoS1iHbVwBrp7bVAGMrci","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K","Idq: CB",-1,1,1,-1,0
"7D78F228408D41ADAAF472C833581845","D03","OSBS",,"I4","evergreenForest",29.705193,-81.955837,"WGS84",,32.0,,"2013-07-09","MAM.OSBS.2013.07","NEON.MAM.D03.0R2144","PEGO","Peromyscus gossypinus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",24.0,,70.0,,39.00,"OSBS.20130709.R2144.B","retroorbital","OSBS.20130709.R2144.F","fresh","OSBS.20130709.R2144.E","OSBS.20130709.R2144.H","OSBS.20130709.R2144.H",,"F/6MQogm4SruoS1iHbVwBrp7bVAGMrci","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K","Idq: CB.",0,0,1,-1,0
"2BE29FA780804D849B3A6D847665B018","D03","OSBS",,"B3","evergreenForest",29.683140,-81.958498,"WGS84",,40.1,,"2013-07-09","MAM.OSBS.2013.07","NEON.MAM.D03.0L2141","PEGO","Peromyscus gossypinus","species",," ","M","N","N",,,"adult","nonscrotal",,,,24.0,,,,31.00,"OSBS.20130709.L2141.B","retroorbital","OSBS.20130709.L2141.F","fresh","OSBS.20130709.L2141.E","OSBS.20130709.L2141.H","OSBS.20130709.L2141.H",,"F/6MQogm4SruoS1iHbVwBrp7bVAGMrci","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K","Idq:CB",0,0,0,-1,0
"B2BF7E4609024337A9573FBDE6D098CD","D03","OSBS",,"E6","evergreenForest",29.705010,-81.956249,"WGS84",,32.0,,"2013-07-09","MAM.OSBS.2013.07","NEON.MAM.D03.0R2142","PEGO","Peromyscus gossypinus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",23.0,,,,30.00,"OSBS.20130709.R2142.B","retroorbital","OSBS.20130709.R2142.F","fresh","OSBS.20130709.R2142.E","OSBS.20130709.R2142.H","OSBS.20130709.R2142.H",,"F/6MQogm4SruoS1iHbVwBrp7bVAGMrci","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K","Ear tag may fall off. Idq:CB.",0,0,0,-1,0
"A0C6239E1C4D4B49AE4D3E666C90B4D2","D03","OSBS",,"H7","evergreenForest",29.704922,-81.955938,"WGS84",,32.0,,"2013-07-10","MAM.OSBS.2013.07","NEON.MAM.D03.0R2144","PEGO","Peromyscus gossypinus","species",," ","F","N","Y",,,,,,"not",,23.0,,,,35.00,,,"OSBS.20130710.R2144.F","fresh",,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K","5: trap id suspect. Probably a POFL. Idq: CB. ",0,0,1,-1,0
"B1DF377719EF449B9DA6AD4202D19C64","D03","OSBS",,"D1","evergreenForest",29.683322,-81.958293,"WGS84",,39.8,,"2013-07-10","MAM.OSBS.2013.07","NEON.MAM.D03.0R2175","PEGO","Peromyscus gossypinus","species",," ","U","N","Y",,,,,,"not",,,,,,,,,"OSBS.20130710.R2175.F","fresh",,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K","5: trap ID suspect probably a POFL. Idq: CB",-1,1,1,-1,0
"75FCBD6CACAD409195684ED13DBE15CD","D03","OSBS",,"J1","evergreenForest",29.683327,-81.957673,"WGS84",,39.6,,"2013-07-11","MAM.OSBS.2013.07","NEON.MAM.D03.0R2175","PEGO","Peromyscus gossypinus","species",," ",,"N","Y",,,,,,"not",,,,,,,,,,,,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K",,-1,1,1,-1,0
"C8A6124DE8904B87B021E4E1AB040E7C","D03","OSBS",,"A7","evergreenForest",29.682779,-81.958598,"WGS84",,40.6,,"2013-07-11","MAM.OSBS.2013.07","NEON.MAM.D03.0L2140","POFL","Podomys floridanus","species",," ","M","R","N",,,"adult","scrotal",,,,26.0,20.0,86.0,,34.00,"OSBS.20130711.L2140.B","retroorbital","OSBS.20130711.L2140.F","fresh","OSBS.20130711.L2140.E","OSBS.20130711.L2140.H","OSBS.20130711.L2140.H",,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K",,0,0,0,-1,0
"2EF75914D25043AF8C01D0812CE24675","D03","OSBS",,"I9","evergreenForest",29.682604,-81.957769,"WGS84",,40.6,,"2013-07-11","MAM.OSBS.2013.07","NEON.MAM.D03.0L2137","POFL","Podomys floridanus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",23.0,,,,38.00,"OSBS.20130711.L2137.B","retroorbital","OSBS.20130711.L2137.F","fresh","OSBS.20130711.L2137.E","OSBS.20130711.L2137.H","OSBS.20130711.L2137.H",,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K",,0,0,0,-1,0
