uid,domainID,siteID,plotID,trapCoordinate,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,date,eventID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,identificationStatus,sex,reproductiveCondition,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,bloodSampleID,bloodSampleMethod,fecalSampleID,fecalSampleCondition,earSampleID,hairSampleID,whiskerSampleID,voucherSampleID,measuredBy,recordedBy,remarks,consistencyTagIDSexQF,consistencyTagIDTaxonIDQF,consistencyTagIDLifeStageQF,orderTagIDRecaptureQF,orderTagIDLifeStageQF
CE96820680A546AABB2A24F442BAA6C1,D10,CPER,,G8,grasslandHerbaceous,40.86731,-104.703399,WGS84,,1663,,7/11/2013,MAM.CPER.2013.07,NEON.MAM.D10.202089,PEFL,Perognathus flavus,species,, ,F,R,N,,,adult,,enlarged,not,swollen,16,7,47,104,7,,,CPER.20130711.202089.F,fresh,CPER.20130711.202089.E,CPER.20130711.202089.H,CPER.20130711.202089.H,,9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh,s5q2uNYDefPg4mkWPjjvfNjtWD58QJEA,,0,0,0,-1,0
82FF428FBE7540CB93DDB7D6EE7B08DC,D10,CPER,,A2,grasslandHerbaceous,40.853445,-104.743483,WGS84,,1668.3,,9/7/2013,MAM.CPER.2013.09,NEON.MAM.D10.202112,CHHI,Chaetodipus hispidus,species,, ,M,R,N,escaped,,adult,scrotal,,,,30,,120,210,,,,CPER.20130907.202112.F,fresh,,,,,Pnk3+n6Z82AS87qJoA1SOJzspSKZdXk4,Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So,Escaped before finishing processing. ,0,0,0,-1,0
D3E31CCB02E949AB8358939D355337D8,D10,CPER,,F10,grasslandHerbaceous,40.86713,-104.703518,WGS84,,1663.1,,9/7/2013,MAM.CPER.2013.09,NEON.MAM.D10.0R0646,REME,Reithrodontomys megalotis,species,, ,F,R,N,,,,,enlarged,not,neither,18,,,,17,CPER.20130907.R0646.B,retroorbital,,,,,,,9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh,bxik3Lg9M9S7UkwiEoFSLkGxxsonDG+B,"Left ear ripped, possible recapture, ear tag replaced on right",0,0,1,-1,1
994B19118ABD4806ABDE85B69DF4588F,D10,CPER,,H3,grasslandHerbaceous,40.853353,-104.742653,WGS84,,1668,,9/8/2013,MAM.CPER.2013.09,NEON.MAM.D10.187527,CHHI,Chaetodipus hispidus,species,, ,M,N,N,,,adult,nonscrotal,,,,28,11,110,216,48,,,CPER.20130908.187527.F,old,CPER.20130908.187527.E,,,,9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh,Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So,,0,0,0,-1,0
B66BAD73F7A04D9690E4D7D9C027F5DF,D10,CPER,,B9,grasslandHerbaceous,40.852814,-104.743367,WGS84,,1667.7,,9/8/2013,MAM.CPER.2013.09,NEON.MAM.D10.188794,PEFL,Perognathus flavus,species,, ,F,R,N,,,adult,,enlarged,not,,15,7,48,109,10,,unsuccessful,CPER.20130908.188794.F,old,CPER.20130908.188794.E,,,,9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh,Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So,"White tragus, black soles on hind feet, 5 toes, tick on right side of face",0,0,0,-1,0
0244E9B8D5074535B3266C15C2516743,D10,CPER,,J3,grasslandHerbaceous,40.853352,-104.742416,WGS84,,1667.9,,9/8/2013,MAM.CPER.2013.09,NEON.MAM.D10.188628,PEFL,Perognathus flavus,species,, ,M,R,N,,,adult,scrotal,,,,15,7,51,114,9,,,CPER.20130908.188628.F,fresh,CPER.20130908.188628.E,,,,9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh,Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So,"Large white/yellow spot behind both ears, faintly bi-colored ear",0,0,0,-1,0
D276FD18979D40C0BCA8068A43245BFA,D10,CPER,,F9,grasslandHerbaceous,40.86722,-104.703518,WGS84,,1663.2,,9/8/2013,MAM.CPER.2013.09,NEON.MAM.D10.0R0646,REME,Reithrodontomys megalotis,species,, ,F,R,Y,,,adult,,enlarged,not,neither,18,,,,15,,,,,,,,,Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So,Pnk3+n6Z82AS87qJoA1SOJzspSKZdXk4,,0,0,1,-1,1
DCDB40FA04E34AEC81F252DAB50BD790,D10,CPER,,F9,grasslandHerbaceous,40.86722,-104.703518,WGS84,,1663.2,,9/9/2013,MAM.CPER.2013.09,NEON.MAM.D10.0R0646,REME,Reithrodontomys megalotis,species,, ,F,R,Y,,,adult,,enlarged,not,neither,18,,,,17,,,,,,,,,9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh,bxik3Lg9M9S7UkwiEoFSLkGxxsonDG+B,,0,0,1,-1,1
CE1444D1E6C64D9E84F88FD6173A7B86,D10,CPER,,H8,grasslandHerbaceous,40.867309,-104.70328,WGS84,,1662.7,,9/9/2013,MAM.CPER.2013.09,NEON.MAM.D10.415499,PEFL,Perognathus flavus,species,, ,M,R,N,,,adult,scrotal,,,,15,7,51,109,8,,,CPER.20130909.415499.F,old,CPER.20130909.415499.E,,,,9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh,bxik3Lg9M9S7UkwiEoFSLkGxxsonDG+B,"Small buffy spot behind ears, white spot at base of ear, very narrow lateral line, tail faintly bicolored and lightly haired",0,0,0,-1,0
C8786BF1C61B47F2BB6EB680D3A2BF4B,D10,CPER,,A10,grasslandHerbaceous,40.812642,-104.699013,WGS84,,1618.2,,9/9/2013,MAM.CPER.2013.09,NEON.MAM.D10.202086,PEFL,Perognathus flavus,species,, ,F,R,N,,,adult,,enlarged,not,neither,15,7,46,107,10,,,CPER.20130909.202086.F,old,CPER.20130909.202086.E,,,,9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh,bxik3Lg9M9S7UkwiEoFSLkGxxsonDG+B,"Large orange buffy spot behind ears, tail lightly haired and faintly bicolored, minimal lateral line extending to the rump, ripped some skin on the left side during handling",0,0,0,-1,0
