"uid","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","startCollectDate","endCollectDate","testedDate","eventID","testingID","testingVialID","deprecatedVialID","taxonID","scientificName","taxonRank","identificationQualifier","sex","poolSize","testPathogenName","testNumber","testMethod","testResult","finalResult","locus","percentIdentity","sequenceDatabase","sequenceDatabaseID","extractDepleted","samplingProtocolVersion","testProtocolVersion","laboratoryName","testedBy","remarks","trapCompromisedQF","sampleCompromisedAtTrapping","sampleCompromisedAtSorting","sampleCompromisedAtIDLab","sampleCompromisedAtTesting","nonStandardPoolQF","duplicatesInPathogenPoolingQF","duplicatesInPathogenResultsQF"
"239B846517C541FC953033C81D390155","D03","OSBS",29.695298,-81.973955,"WGS84",4392.9,34.4,14.5,2014-04-09 13:20:00.0,2014-04-10 15:03:00.0,"2015-01-09","OSBS.2014.14","OSBS.2014.14.CULSAL.F.T","OSBS.2014.14.CULSAL.F.T.10","OSBS.2014.1.Culex salinarius.Female.T10","CULSAL","Culex salinarius","species",,"F",50,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"8F5551E5D9FC4FF5A5BAE705CC9FDD75","D03","OSBS",29.695029,-81.974488,"WGS84",4335.3,34.1,14.7,2014-04-09 13:20:00.0,2014-04-10 15:03:00.0,"2015-01-09","OSBS.2014.14","OSBS.2014.14.CULNIG.F.T","OSBS.2014.14.CULNIG.F.T.02","OSBS.2014.1.Culex nigripalpus.Female.T2","CULNIG","Culex nigripalpus","species",,"F",40,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"B10A9F9CEFCD4A3AB808914FC252CA3D","D03","OSBS",29.695298,-81.973955,"WGS84",4392.9,34.4,14.5,2014-04-09 13:20:00.0,2014-04-10 15:03:00.0,"2015-01-09","OSBS.2014.14","OSBS.2014.14.CULSAL.F.T","OSBS.2014.14.CULSAL.F.T.09","OSBS.2014.1.Culex salinarius.Female.T9","CULSAL","Culex salinarius","species",,"F",50,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"4C51B3A464E345CDB1A56C68D46B9EB6","D03","OSBS",29.695029,-81.974488,"WGS84",4335.3,34.1,14.7,2014-04-09 13:20:00.0,2014-04-10 15:03:00.0,"2015-01-09","OSBS.2014.14","OSBS.2014.14.CULNIG.F.T","OSBS.2014.14.CULNIG.F.T.03","OSBS.2014.1.Culex nigripalpus.Female.T3","CULNIG","Culex nigripalpus","species",,"F",40,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"3C493B7820E24EE88B17041646AA7BC1","D03","OSBS",29.695298,-81.973955,"WGS84",4392.9,34.4,14.5,2014-04-09 13:20:00.0,2014-04-10 15:03:00.0,"2015-01-09","OSBS.2014.14","OSBS.2014.14.CULSAL.F.T","OSBS.2014.14.CULSAL.F.T.12","OSBS.2014.1.Culex salinarius.Female.T12","CULSAL","Culex salinarius","species",,"F",50,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"976287D600AA4ED6B965A0D30BC15F91","D03","OSBS",29.695298,-81.973955,"WGS84",4392.9,34.4,14.5,2014-04-09 13:20:00.0,2014-04-10 15:03:00.0,"2015-01-09","OSBS.2014.14","OSBS.2014.14.CULSAL.F.T","OSBS.2014.14.CULSAL.F.T.03","OSBS.2014.1.Culex salinarius.Female.T3","CULSAL","Culex salinarius","species",,"F",50,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"126AC110C1AB4BA1AF96B7D1CE34BCD0","D03","OSBS",29.695298,-81.973955,"WGS84",4392.9,34.4,14.5,2014-04-09 13:20:00.0,2014-04-10 15:03:00.0,"2015-01-09","OSBS.2014.14","OSBS.2014.14.CULSAL.F.T","OSBS.2014.14.CULSAL.F.T.04","OSBS.2014.1.Culex salinarius.Female.T4","CULSAL","Culex salinarius","species",,"F",50,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"7FE8574DD2664C4C8330F11889C03887","D03","OSBS",29.692847,-81.974516,"WGS84",4275.1,35.2,13.6,2014-04-09 13:20:00.0,2014-04-10 15:03:00.0,"2015-01-09","OSBS.2014.14","OSBS.2014.14.COQPER.F.T","OSBS.2014.14.COQPER.F.T.04","OSBS.2014.1.Coquillettidia perturbans.Female.T4","COQPER","Coquillettidia perturbans","species",,"F",20,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"07B0EB6AF19E4AEDB0DDE3DF2108B3DC","D03","OSBS",29.695298,-81.973955,"WGS84",4392.9,34.4,14.5,2014-04-09 13:20:00.0,2014-04-10 15:03:00.0,"2015-01-09","OSBS.2014.14","OSBS.2014.14.CULSAL.F.T","OSBS.2014.14.CULSAL.F.T.06","OSBS.2014.1.Culex salinarius.Female.T6","CULSAL","Culex salinarius","species",,"F",50,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"D6715BF77856409D8E6CED8AE4D5F6C2","D03","OSBS",29.695298,-81.973955,"WGS84",4392.9,34.4,14.5,2014-04-09 13:20:00.0,2014-04-10 15:03:00.0,"2015-01-09","OSBS.2014.14","OSBS.2014.14.CULSAL.F.T","OSBS.2014.14.CULSAL.F.T.14","OSBS.2014.1.Culex salinarius.Female.T14","CULSAL","Culex salinarius","species",,"F",50,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
