"uid","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","startCollectDate","endCollectDate","testedDate","eventID","testingID","testingVialID","deprecatedVialID","taxonID","scientificName","taxonRank","identificationQualifier","sex","poolSize","testPathogenName","testNumber","testMethod","testResult","finalResult","locus","percentIdentity","sequenceDatabase","sequenceDatabaseID","extractDepleted","samplingProtocolVersion","testProtocolVersion","laboratoryName","testedBy","remarks","trapCompromisedQF","sampleCompromisedAtTrapping","sampleCompromisedAtSorting","sampleCompromisedAtIDLab","sampleCompromisedAtTesting","nonStandardPoolQF","duplicatesInPathogenPoolingQF","duplicatesInPathogenResultsQF"
"FA6FAEBC83AC47129CC64C473FA87549","D08","TALL",32.911551,-87.422379,"WGS84",6990.6,113.7,65.7,2014-05-07 13:08:00.0,2014-05-08 14:42:00.0,"2014-11-05","TALL.2014.18","TALL.2014.18.COQPER.F.T","TALL.2014.18.COQPER.F.T.03","TALL.2014.1.Coquillettidia perturbans.Female.T3","COQPER","Coquillettidia perturbans","species",,"F",40,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"12D235E8C84C4676B1031D9DBED9E54A","D08","TALL",32.913981,-87.423870,"WGS84",6753.3,117.8,61.7,2014-05-07 13:08:00.0,2014-05-08 14:42:00.0,"2014-11-05","TALL.2014.18","TALL.2014.18.AEDVEX.F.T","TALL.2014.18.AEDVEX.F.T.04","TALL.2014.1.Aedes vexans.Female.T4","AEDVEX","Aedes vexans","species",,"F",40,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"4A6EFA2D922F46BE9FB8D0D3DCDBEE6F","D08","TALL",32.913267,-87.426338,"WGS84",6881.8,111.2,68.2,2014-05-07 13:08:00.0,2014-05-08 14:42:00.0,"2014-11-05","TALL.2014.18","TALL.2014.18.AEDCAN2.F.T","TALL.2014.18.AEDCAN2.F.T.08","TALL.2014.1.Aedes canadensis.Female.T8","AEDCAN2","Aedes canadensis","species",,"F",50,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"E8EABDDE92CA4054BF20CACBBD01B9F0","D08","TALL",32.911551,-87.422379,"WGS84",6990.6,113.7,65.7,2014-05-07 13:08:00.0,2014-05-08 14:42:00.0,"2014-11-13","TALL.2014.18","TALL.2014.18.COQPER.F.T","TALL.2014.18.COQPER.F.T.01","TALL.2014.1.Coquillettidia perturbans.Female.T1","COQPER","Coquillettidia perturbans","species",,"F",40,"virus",2,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"7717E173F1724F9E890E2B6A431C4FB9","D08","TALL",32.913267,-87.426338,"WGS84",6881.8,111.2,68.2,2014-05-07 13:08:00.0,2014-05-08 14:42:00.0,"2014-11-05","TALL.2014.18","TALL.2014.18.AEDCAN2.F.T","TALL.2014.18.AEDCAN2.F.T.01","TALL.2014.1.Aedes canadensis.Female.T1","AEDCAN2","Aedes canadensis","species",,"F",50,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"5B6EA4BACB2C4A9AA74186B211BA7BFA","D08","TALL",32.913981,-87.423870,"WGS84",6753.3,117.8,61.7,2014-05-07 13:08:00.0,2014-05-08 14:42:00.0,"2014-11-05","TALL.2014.18","TALL.2014.18.AEDVEX.F.T","TALL.2014.18.AEDVEX.F.T.05","TALL.2014.1.Aedes vexans.Female.T5","AEDVEX","Aedes vexans","species",,"F",40,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"DF2936054575418390AD1F20F1F092EE","D08","TALL",32.911551,-87.422379,"WGS84",6990.6,113.7,65.7,2014-05-07 13:08:00.0,2014-05-08 14:42:00.0,"2014-11-05","TALL.2014.18","TALL.2014.18.COQPER.F.T","TALL.2014.18.COQPER.F.T.08","TALL.2014.1.Coquillettidia perturbans.Female.T8","COQPER","Coquillettidia perturbans","species",,"F",40,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"C3C5B156A98F46A7A9018EFB8C4B16CF","D08","TALL",32.913981,-87.423870,"WGS84",6753.3,117.8,61.7,2014-05-07 13:08:00.0,2014-05-08 14:42:00.0,"2014-11-05","TALL.2014.18","TALL.2014.18.AEDVEX.F.T","TALL.2014.18.AEDVEX.F.T.01","TALL.2014.1.Aedes vexans.Female.T1","AEDVEX","Aedes vexans","species",,"F",40,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"E8C71296B4954A8489B71509B1C45B80","D08","TALL",32.913267,-87.426338,"WGS84",6881.8,111.2,68.2,2014-05-07 13:08:00.0,2014-05-08 14:42:00.0,"2014-11-05","TALL.2014.18","TALL.2014.18.AEDCAN2.F.T","TALL.2014.18.AEDCAN2.F.T.06","TALL.2014.1.Aedes canadensis.Female.T6","AEDCAN2","Aedes canadensis","species",,"F",50,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"8428E7396A9840F9B4E2F72DAD8001D6","D08","TALL",32.911551,-87.422379,"WGS84",6990.6,113.7,65.7,2014-05-07 13:08:00.0,2014-05-08 14:42:00.0,"2014-11-05","TALL.2014.18","TALL.2014.18.COQPER.F.T","TALL.2014.18.COQPER.F.T.05","TALL.2014.1.Coquillettidia perturbans.Female.T5","COQPER","Coquillettidia perturbans","species",,"F",40,"virus",1,"Culture","Negative","Y",,,,,"Y","NEON.DOC.014049vE","CAESprotocolA","Connecticut Agricultural Experiment Station","r4iH4e2lsYWuK+qavXE5sQ==",,0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
