"uid","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","startCollectDate","endCollectDate","testedDate","eventID","testingID","testingVialID","deprecatedVialID","taxonID","scientificName","taxonRank","identificationQualifier","sex","poolSize","testPathogenName","testNumber","testMethod","testResult","finalResult","locus","percentIdentity","sequenceDatabase","sequenceDatabaseID","extractDepleted","samplingProtocolVersion","testProtocolVersion","laboratoryName","testedBy","remarks","trapCompromisedQF","sampleCompromisedAtTrapping","sampleCompromisedAtSorting","sampleCompromisedAtIDLab","sampleCompromisedAtTesting","nonStandardPoolQF","duplicatesInPathogenPoolingQF","duplicatesInPathogenResultsQF"
"764DEED6FE574F08AB0C69B954B8F1D4","D10","CPER",40.837903,-104.729613,"WGS84",4610.1,1646.4,21.7,2014-06-04 12:00:00.0,2014-06-05 14:45:00.0,"2015-01-08","CPER.2014.22","CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.T.02","CPER.2014.2.Aedes dorsalis.Female.T2","AEDDOR","Aedes dorsalis","species",,"F",40,"Flaviviridae",3,"PCR","Negative","Y",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"5CD8DB0D5C7746558A74C2FE8AC354E6","D10","CPER",40.837903,-104.729613,"WGS84",4610.1,1646.4,21.7,2014-06-04 12:00:00.0,2014-06-05 14:45:00.0,"2015-01-08","CPER.2014.22","CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.T.02","CPER.2014.2.Aedes dorsalis.Female.T2","AEDDOR","Aedes dorsalis","species",,"F",40,"Togaviridae",1,"PCR","Negative","N",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"9DE2B7923F2146F49E64FFBACED9E77C","D10","CPER",40.837903,-104.729613,"WGS84",4610.1,1646.4,21.7,2014-06-04 12:00:00.0,2014-06-05 14:45:00.0,"2015-01-08","CPER.2014.22","CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.T.01","CPER.2014.2.Aedes dorsalis.Female.T1","AEDDOR","Aedes dorsalis","species",,"F",40,"Bunyaviridae",2,"PCR","Negative","N",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"22862820DD854F86BCA67853D174E6F0","D10","CPER",40.837903,-104.729613,"WGS84",4610.1,1646.4,21.7,2014-06-04 12:00:00.0,2014-06-05 14:45:00.0,"2015-01-08","CPER.2014.22","CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.T.04","CPER.2014.2.Aedes dorsalis.Female.T4","AEDDOR","Aedes dorsalis","species",,"F",40,"Flaviviridae",3,"PCR","Negative","Y",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"328C008FE2344957BB5AAD87BBAA1638","D10","CPER",40.837903,-104.729613,"WGS84",4610.1,1646.4,21.7,2014-06-04 12:00:00.0,2014-06-05 14:45:00.0,"2015-01-08","CPER.2014.22","CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.T.01","CPER.2014.2.Aedes dorsalis.Female.T1","AEDDOR","Aedes dorsalis","species",,"F",40,"Togaviridae",1,"PCR","Negative","N",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"644A039600654AE98440E3C759609B42","D10","CPER",40.837903,-104.729613,"WGS84",4610.1,1646.4,21.7,2014-06-04 12:00:00.0,2014-06-05 14:45:00.0,"2015-01-08","CPER.2014.22","CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.T.03","CPER.2014.2.Aedes dorsalis.Female.T3","AEDDOR","Aedes dorsalis","species",,"F",40,"Togaviridae",1,"PCR","Negative","N",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"D0955F3427DC40D6BB91C21DE6A2DC20","D10","CPER",40.837903,-104.729613,"WGS84",4610.1,1646.4,21.7,2014-06-04 12:00:00.0,2014-06-05 14:45:00.0,"2015-01-08","CPER.2014.22","CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.T.03","CPER.2014.2.Aedes dorsalis.Female.T3","AEDDOR","Aedes dorsalis","species",,"F",40,"Flaviviridae",3,"PCR","Negative","Y",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"5856965D7C1249EE8CB4D7F519539976","D10","CPER",40.837903,-104.729613,"WGS84",4610.1,1646.4,21.7,2014-06-04 12:00:00.0,2014-06-05 14:45:00.0,"2015-01-08","CPER.2014.22","CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.T.04","CPER.2014.2.Aedes dorsalis.Female.T4","AEDDOR","Aedes dorsalis","species",,"F",40,"Togaviridae",1,"PCR","Negative","N",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"C2EEDB620BD048DC95D17DD564434D10","D10","CPER",40.837903,-104.729613,"WGS84",4610.1,1646.4,21.7,2014-06-04 12:00:00.0,2014-06-05 14:45:00.0,"2015-01-08","CPER.2014.22","CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.T.02","CPER.2014.2.Aedes dorsalis.Female.T2","AEDDOR","Aedes dorsalis","species",,"F",40,"Bunyaviridae",2,"PCR","Negative","N",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"5CC5C7B241FA4DAF9544E7A40CC2D691","D10","CPER",40.837903,-104.729613,"WGS84",4610.1,1646.4,21.7,2014-06-04 12:00:00.0,2014-06-05 14:45:00.0,"2015-01-08","CPER.2014.22","CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.T.01","CPER.2014.2.Aedes dorsalis.Female.T1","AEDDOR","Aedes dorsalis","species",,"F",40,"Flaviviridae",3,"PCR","Negative","Y",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
