"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","morphospeciesIDRemarks","taxonIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF","duplicateTaxonIDPerBout100m2QF"
"5029E0F2126143088CA36FE332AC12D0","D01","BART",,"41",44.060558,-71.310854,"WGS84",2.1,"2014-06-09",1,"DIV.BART.2014.1","Y","ACRU","Acer rubrum L.","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0,1
"9FB7105EBE0A4D878339918A7E5A14C5","D01","BART",,"31",44.060472,-71.310981,"WGS84",2.1,"2014-06-09",1,"DIV.BART.2014.1","Y","FAGR","Fagus grandifolia Ehrh.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70",,,,0,0,0,0
"73CEABBB1F504129B20F557379AD212C","D01","BART",,"32",44.060466,-71.310850,"WGS84",2.1,"2014-06-09",1,"DIV.BART.2014.1","Y","ACSA3","Acer saccharum Marshall","species","cf. species",,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,"seedling",,0,0,0,0
"0FF8A3F490AE46E59D0CFCCF823BEE5D","D01","BART",,"41",44.060558,-71.310854,"WGS84",2.1,"2014-06-09",1,"DIV.BART.2014.1","Y","TSCA","Tsuga canadensis (L.) Carrière","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0,1
"B7280BB654EF44E6BF45D2CEE4D76710","D01","BART",,"41",44.060558,-71.310854,"WGS84",2.1,"2014-06-09",1,"DIV.BART.2014.1","Y","BETUL","Betula sp.","genus",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0,0
"A121B2377D7E4EA9B670EA75C35CFFD4","D01","BART",,"41",44.060558,-71.310854,"WGS84",2.1,"2014-06-09",1,"DIV.BART.2014.1","Y","FAGR","Fagus grandifolia Ehrh.","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0,0
"472BD6A700C14684979940804636C9AF","D01","BART",,"31",44.060472,-71.310981,"WGS84",2.1,"2014-06-09",1,"DIV.BART.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70",,,,0,0,0,0
"89B38AA54F524CEE9ECB1CA49C4B8FA3","D01","BART",,"41",44.060558,-71.310854,"WGS84",2.1,"2014-06-09",1,"DIV.BART.2014.1","Y","PIST","Pinus strobus L.","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0,1
"5101B74E346E4008BB187E029E9D5815","D01","BART",,"41",44.060558,-71.310854,"WGS84",2.1,"2014-06-09",1,"DIV.BART.2014.1","Y","ARNU2","Aralia nudicaulis L.","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0,1
"7979C0CF7B1E4DEE874906D00C1529CF","D01","BART",,"41",44.060558,-71.310854,"WGS84",2.1,"2014-06-09",1,"DIV.BART.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0,0
"3F9EAD2E578B46329EEF8A3957379C6F","D01","BART",,"40",44.060564,-71.310977,"WGS84",2.2,"2014-06-09",1,"DIV.BART.2014.1","Y","CAREX","Carex sp.","genus",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,0,0
