"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","duplicateTaxonIDPerBout10m2QF"
"144F62AF277D468BB844E7E5ED224FD4","D01","BART",,"32.2.10",44.060436,-71.310807,"WGS84",1.1,"2014-06-09",1,"DIV.BART.2014.1","Y","TRBO2","Trientalis borealis Raf.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,1
"4CFA844671C84F0BB12C8B4E3C5A0044","D01","BART",,"40.3.10",44.060594,-71.311021,"WGS84",1.2,"2014-06-09",1,"DIV.BART.2014.1","Y","VILA11","Viburnum lantanoides Michx.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,0
"9A74965AC7DF4EA88C461FF8F2D9A76F","D01","BART",,"31.1.10",44.060440,-71.311022,"WGS84",1.1,"2014-06-09",1,"DIV.BART.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70",,,,0,0,0
"87D6E9E90DA64130A61BF6948CC7F261","D01","BART",,"31.4.10",44.060497,-71.310933,"WGS84",1.1,"2014-06-09",1,"DIV.BART.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70",,,,0,0,1
"3FEF675B1E4F4279895671D922FF20EC","D01","BART",,"40.1.10",44.060532,-71.311018,"WGS84",1.2,"2014-06-09",1,"DIV.BART.2014.1","Y","FAGR","Fagus grandifolia Ehrh.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,1
"BF7C1490568E4E13999207FCCF18160C","D01","BART",,"41.4.10",44.060579,-71.310781,"WGS84",1.2,"2014-06-09",1,"DIV.BART.2014.1","Y","FAGR","Fagus grandifolia Ehrh.","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0
"F611A42187044CCCAD00B73503B85232","D01","BART",,"41.4.10",44.060579,-71.310781,"WGS84",1.2,"2014-06-09",1,"DIV.BART.2014.1","Y","VILA11","Viburnum lantanoides Michx.","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,1
"EB9C87BF11934FF0927FBBBFA3D08380","D01","BART",,"32.4.10",44.060498,-71.310809,"WGS84",1.1,"2014-06-09",1,"DIV.BART.2014.1","Y","FAGR","Fagus grandifolia Ehrh.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,0
"C38C10736A8045BBAC45EDDD57F56895","D01","BART",,"41.4.10",44.060579,-71.310781,"WGS84",1.2,"2014-06-09",1,"DIV.BART.2014.1","Y","BETUL","Betula sp.","genus",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0
"9536296A89874BFD8E4D54EB38DC9251","D01","BART",,"41.1.10",44.060526,-71.310895,"WGS84",1.1,"2014-06-09",1,"DIV.BART.2014.1","Y","VILA11","Viburnum lantanoides Michx.","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0
"94A3853ABD8942DDBA2025062C896ACE","D01","BART",,"41.4.10",44.060579,-71.310781,"WGS84",1.2,"2014-06-09",1,"DIV.BART.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,1
"76345C03D31E4ED282D3DEEFC77C6355","D01","BART",,"41.1.10",44.060526,-71.310895,"WGS84",1.1,"2014-06-09",1,"DIV.BART.2014.1","Y","FAGR","Fagus grandifolia Ehrh.","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0
"78D3C14E9A044D969C2F08CD3054CFE3","D01","BART",,"40.3.10",44.060594,-71.311021,"WGS84",1.2,"2014-06-09",1,"DIV.BART.2014.1","Y","BETUL","Betula sp.","genus",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0","seedling identifiable only to genus",,,0,0,1
"D2CF518A3DC54B32946E5062ADE48E45","D01","BART",,"40.3.10",44.060594,-71.311021,"WGS84",1.2,"2014-06-09",1,"DIV.BART.2014.1","Y","FAGR","Fagus grandifolia Ehrh.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,0
"4E87363CBF344DEB90E1BA801E474DA2","D01","BART",,"41.1.10",44.060526,-71.310895,"WGS84",1.1,"2014-06-09",1,"DIV.BART.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,1
"E76AE00B70E14268B4BD8AF6A6FAAD48","D01","BART",,"40.1.10",44.060532,-71.311018,"WGS84",1.2,"2014-06-09",1,"DIV.BART.2014.1","Y","VILA11","Viburnum lantanoides Michx.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,0
"B28DE3C5E4884725B4096C2AC36E06C6","D01","BART",,"32.4.10",44.060498,-71.310809,"WGS84",1.1,"2014-06-09",1,"DIV.BART.2014.1","Y","BEAL2","Betula alleghaniensis Britton","species","cf. species",,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0","tiny seedling",,,0,0,0
"43513A6126D74B369AC3D12C7581A1FD","D01","BART",,"40.1.10",44.060532,-71.311018,"WGS84",1.2,"2014-06-09",1,"DIV.BART.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,1
"FF67E6483BDC4A6F97189EC8F2D822AE","D01","BART",,"40.3.10",44.060594,-71.311021,"WGS84",1.2,"2014-06-09",1,"DIV.BART.2014.1","Y","CAREX","Carex sp.","genus",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,1
"9B466E921C0544448B0BA224228C1AC2","D01","BART",,"32.4.10",44.060498,-71.310809,"WGS84",1.1,"2014-06-09",1,"DIV.BART.2014.1","Y","VILA11","Viburnum lantanoides Michx.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,0
"8FCAA1D1651443CB94248D18CEF1333C","D01","BART",,"32.2.10",44.060436,-71.310807,"WGS84",1.1,"2014-06-09",1,"DIV.BART.2014.1","Y","VILA11","Viburnum lantanoides Michx.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,1
"3120B4CF8D4646D8B6935BB85ABFF47F","D01","BART",,"32.2.10",44.060436,-71.310807,"WGS84",1.1,"2014-06-09",1,"DIV.BART.2014.1","Y","ACSA3","Acer saccharum Marshall","species","cf. species",,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0","seedling",,,0,0,0
"9B0ACE9D614541B8A4789FC233525560","D01","BART",,"32.2.10",44.060436,-71.310807,"WGS84",1.1,"2014-06-09",1,"DIV.BART.2014.1","Y","FAGR","Fagus grandifolia Ehrh.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,0
"4111151FA1214A2BBEF1C5318C00D5D2","D01","BART",,"31.1.10",44.060440,-71.311022,"WGS84",1.1,"2014-06-09",1,"DIV.BART.2014.1","Y","VILA11","Viburnum lantanoides Michx.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70",,,,0,0,1
"7EC18F69F32B47318AB0C25900D30ED1","D01","BART",,"31.4.10",44.060497,-71.310933,"WGS84",1.1,"2014-06-09",1,"DIV.BART.2014.1","Y","FAGR","Fagus grandifolia Ehrh.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70",,,,0,0,0
"DEA88D1238C942DDA6B10FFDD8558362","D01","BART",,"31.4.10",44.060497,-71.310933,"WGS84",1.1,"2014-06-09",1,"DIV.BART.2014.1","Y","VILA11","Viburnum lantanoides Michx.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70",,,,0,0,0
