"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","percentCover","heightPlantOver300cm","heightPlantSpecies","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","duplicateTaxonIDBoutPer1m2QF","missingRecords1m2QF"
"ABE6D3BA703D4E24881B2A4A4B44DAFD","D01","BART",,"41.4.1",44.060589,-71.310768,"WGS84",0.5,"2014-06-09",1,"DIV.BART.2014.1","Y","BETUL","Betula sp.","genus",,,0.5,"N",2.0,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,1,0
"4896B09E7E09406B8AEA27F07BD5E8FA","D01","BART",,"32.2.1",44.060427,-71.310793,"WGS84",0.4,"2014-06-09",1,"DIV.BART.2014.1","Y","ACSA3","Acer saccharum Marshall","species","cf. species",,0.5,"N",4.0,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0","seedling",,,1,0
"E61F5EC8A072424C9D9F754C82DCB87D","D01","BART",,"40.1.1",44.060522,-71.311031,"WGS84",0.5,"2014-06-09",1,"DIV.BART.2014.1","Y","VILA11","Viburnum lantanoides Michx.","species",,,4,"N",30.0,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,1,0
"92B92F782E174503B0AE09F3CE383DD1","D01","BART",,"41.1.1",44.060516,-71.310908,"WGS84",0.4,"2014-06-09",1,"DIV.BART.2014.1","Y","FAGR","Fagus grandifolia Ehrh.","species",,,25,"N",62.0,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,1,0
"D4323881A8794D01B7472794BA67B3AE","D01","BART",,"41.4.1",44.060589,-71.310768,"WGS84",0.5,"2014-06-09",1,"DIV.BART.2014.1","Y","ACSA3","Acer saccharum Marshall","species","cf. species",,0.5,"N",3.0,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,1,0
"680FB03EE538466E9E1BF0F3F990833B","D01","BART",,"41.1.1",44.060516,-71.310908,"WGS84",0.4,"2014-06-09",1,"DIV.BART.2014.1","Y","VILA11","Viburnum lantanoides Michx.","species",,,5,"N",16.0,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,1,0
"EF68E8F983FA46FD946E1D5BCEC250BD","D01","BART",,"32.4.1",44.060508,-71.310796,"WGS84",0.4,"2014-06-09",1,"DIV.BART.2014.1","Y","BEAL2","Betula alleghaniensis Britton","species","cf. species",,0.5,"N",1.0,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0","tiny seedling",,,1,0
"73C675E4979543E7B128F4F99423EE20","D01","BART",,"40.3.1",44.060603,-71.311035,"WGS84",0.5,"2014-06-09",1,"DIV.BART.2014.1","Y","FAGR","Fagus grandifolia Ehrh.","species",,,7,"N",31.0,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,1,0
"7EBA0B1603F4492C94981E9B793A2D44","D01","BART",,"41.4.1",44.060589,-71.310768,"WGS84",0.5,"2014-06-09",1,"DIV.BART.2014.1","Y","FAGR","Fagus grandifolia Ehrh.","species",,,3,"N",22.0,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,1,0
"4467419BDA6E4D139C07DD9DE1CC4D3C","D01","BART",,"32.2.1",44.060427,-71.310793,"WGS84",0.4,"2014-06-09",1,"DIV.BART.2014.1","Y","BEAL2","Betula alleghaniensis Britton","species","cf. species",,0.5,"N",1.0,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0","tiny seedling",,,1,0
