"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","otherVariablesPresent","otherVariables","percentCover","samplingProtocol","measuredBy","recordedBy","remarks","duplicateVariablesBout1m2QF"
"6D104BAA5B944FC485DF3CB63A128071","D01","BART",,"32.2.1",44.060427,-71.310793,"WGS84",0.4,"2014-06-09",1,"DIV.BART.2014.1","Y","moss",0.5,"NEON.DOC.014042","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","/AqHdIFT4q8hRhbP1hfmw+SnjBPFrpaB",,1
"BE2F8A0127804418AD84C94FB80DF224","D01","BART",,"40.1.1",44.060522,-71.311031,"WGS84",0.5,"2014-06-09",1,"DIV.BART.2014.1","Y","litter",97,"NEON.DOC.014042","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","/AqHdIFT4q8hRhbP1hfmw+SnjBPFrpaB",,1
"DE7FB0610EDC49B59582D75824A1E2F5","D01","BART",,"32.2.1",44.060427,-71.310793,"WGS84",0.4,"2014-06-09",1,"DIV.BART.2014.1","Y","wood",3,"NEON.DOC.014042","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","/AqHdIFT4q8hRhbP1hfmw+SnjBPFrpaB",,1
"5653BC9268204A14A82284D0954FEF4F","D01","BART",,"41.4.1",44.060589,-71.310768,"WGS84",0.5,"2014-06-09",1,"DIV.BART.2014.1","Y","litter",40,"NEON.DOC.014042","Sikrq0vhwvQkgp88jX4iHJSBncPL0qND","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,1
"E725150A8CD0496C8464260CBB46FED6","D01","BART",,"31.1.1",44.060430,-71.311035,"WGS84",0.4,"2014-06-09",1,"DIV.BART.2014.1","Y","overstory",100,"NEON.DOC.014042","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70",,1
"9094E00EC7074EF6939E04A4F4C27C1D","D01","BART",,"40.1.1",44.060522,-71.311031,"WGS84",0.5,"2014-06-09",1,"DIV.BART.2014.1","Y","rock",1,"NEON.DOC.014042","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","/AqHdIFT4q8hRhbP1hfmw+SnjBPFrpaB",,1
"A1BDA765168C4082858A49F9B9577B69","D01","BART",,"41.1.1",44.060516,-71.310908,"WGS84",0.4,"2014-06-09",1,"DIV.BART.2014.1","Y","soil",0.5,"NEON.DOC.014042","Sikrq0vhwvQkgp88jX4iHJSBncPL0qND","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,1
"1BD225F4E34A4A58B6AF81F91A1204A0","D01","BART",,"41.4.1",44.060589,-71.310768,"WGS84",0.5,"2014-06-09",1,"DIV.BART.2014.1","Y","soil",11,"NEON.DOC.014042","Sikrq0vhwvQkgp88jX4iHJSBncPL0qND","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,1
"CCBEDF8C31384940B45CB9FDC9626DB6","D01","BART",,"41.4.1",44.060589,-71.310768,"WGS84",0.5,"2014-06-09",1,"DIV.BART.2014.1","Y","wood",2,"NEON.DOC.014042","Sikrq0vhwvQkgp88jX4iHJSBncPL0qND","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,1
"BDA5219FB95B49A0BA77AF200A2BC903","D01","BART",,"31.4.1",44.060507,-71.310920,"WGS84",0.4,"2014-06-09",1,"DIV.BART.2014.1","Y","litter",99,"NEON.DOC.014042","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","fxHgALBjvjgbVHgipACxg2Jb2N7wwp70",,1
