"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","morphospeciesIDRemarks","taxonIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF","duplicateTaxonIDPerBout100m2QF"
"AA7C7612EF7148AA996E03AE2FEA4B23","D01","HARV",,"41",42.430407,-72.253220,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","RUOC","Rubus occidentalis L.","species","cf. species",,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0,0
"C361E6D78B3549F8A43B6977F015862A","D01","HARV",,"41",42.430407,-72.253220,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","TORA2","Toxicodendron radicans (L.) Kuntze","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0,0
"79D2FC6139544578B7D8199E3D9E9C39","D01","HARV",,"41",42.430407,-72.253220,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","TSCA","Tsuga canadensis (L.) Carrière","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0,0
"9CCB9A6839924923B9FD565BACB1419C","D01","HARV",,"41",42.430407,-72.253220,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","FRAM2","Fraxinus americana L.","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0,0
"763F58C38CB34E7EAD1A025127A5B621","D01","HARV",,"41",42.430407,-72.253220,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","MIRE","Mitchella repens L.","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0,0
"186DAC18E44344199243B6CCCD8FCDA2","D01","HARV",,"41",42.430407,-72.253220,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","PAQU2","Parthenocissus quinquefolia (L.) Planch.","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0,0
"419C01A16EA24421B23E1D97121426DC","D01","HARV",,"41",42.430407,-72.253220,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","QUVE","Quercus velutina Lam.","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0,0
"264A78266553414399FEE444ED51C82F","D01","HARV",,"41",42.430407,-72.253220,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","ACRU","Acer rubrum L.","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0,0
"2A84C8DB6AA84A5F8345ED0676456CDF","D01","HARV",,"41",42.430407,-72.253220,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","ARTR","Arisaema triphyllum (L.) Schott","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0,0
"646349DB67414F3290D66DCCDD8C2621","D01","HARV",,"41",42.430407,-72.253220,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","ATFIA","Athyrium filix-femina (L.) Roth ssp. angustum (Willd.) R.T. Clausen","subspecies",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0,0
