"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","duplicateTaxonIDPerBout10m2QF"
"0972325CAF82466B899DC7F1BB13B81B","D01","HARV",,"41.1.10",42.430377,-72.253263,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0
"86BE2081FC37479BBCA61968326EC97A","D01","HARV",,"41.1.10",42.430377,-72.253263,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","2PLANT","Unknown plant","kingdom",,"Torn-collar purple-base grass","NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0
"89FB85C8C27A4972B37C0E1B89FCE510","D01","HARV",,"41.1.10",42.430377,-72.253263,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","TSCA","Tsuga canadensis (L.) Carrière","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0
"09097FE3B38B41ABA23D5A0FCF31F5ED","D01","HARV",,"40.3.10",42.430442,-72.253381,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","PAQU2","Parthenocissus quinquefolia (L.) Planch.","species",,,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0
"A445ABF55F894411B1DFCE243B0EF351","D01","HARV",,"40.3.10",42.430442,-72.253381,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","POSI2","Potentilla simplex Michx.","species",,,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0
"0FB2711567094606B83EF0BB929BE36F","D01","HARV",,"40.3.10",42.430442,-72.253381,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","SYMPH4","Symphyotrichum sp.","genus",,,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0
"5AD1416AF46E47AD87E18CFDD7B6972D","D01","HARV",,"41.1.10",42.430377,-72.253263,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","MIRE","Mitchella repens L.","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0
"49F86472BB7D4B6EB57913B76F65EACE","D01","HARV",,"40.3.10",42.430442,-72.253381,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","OXST","Oxalis stricta L.","species",,,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0
"78C04028BB504A72BC0CA107983F1F99","D01","HARV",,"40.3.10",42.430442,-72.253381,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","ACRU","Acer rubrum L.","species",,,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0
"C44224A3340D457EB781A67B3B78D0AB","D01","HARV",,"40.3.10",42.430442,-72.253381,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","CLVI5","Clematis virginiana L.","species",,,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0,0
