"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","percentCover","heightPlantOver300cm","heightPlantSpecies","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","duplicateTaxonIDBoutPer1m2QF","missingRecords1m2QF"
"B3F9AFC17C4743269336FEEAE84C2581","D01","HARV",,"41.4.1",42.430446,-72.253163,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","MIRE","Mitchella repens L.","species",,,0.5,"N",6.0,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"5BDBEF7CA5FE4B59A2C115F288A95FDC","D01","HARV",,"41.4.1",42.430446,-72.253163,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","ARTR2","Artemisia tridentata Nutt.","species",,,2,"N",14.0,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"33B347E34DA147A680EA7DD5778D4607","D01","HARV",,"41.4.1",42.430446,-72.253163,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","RUPU","Rubus pubescens Raf.","species",,,0.5,"N",23.0,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"2D7270ED12E9463A80798114759D8AE0","D01","HARV",,"41.1.1",42.430368,-72.253276,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","OXST","Oxalis stricta L.","species",,,0.5,"N",5.0,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"ABAFB8275320404F8FC390DE64760599","D01","HARV",,"41.1.1",42.430368,-72.253276,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","FRAM2","Fraxinus americana L.","species",,,2,"N",18.0,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"6FE07517A2024A42BC088331EE1DED0E","D01","HARV",,"41.4.1",42.430446,-72.253163,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","ACRU","Acer rubrum L.","species",,,0.5,"N",11.0,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"6A99F6873189431C90D6E7A52187212C","D01","HARV",,"40.3.1",42.430452,-72.253394,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","TORA2","Toxicodendron radicans (L.) Kuntze","species",,,3,"N",26.0,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"C36D674D341D4C83A51F53D9F2ABEA56","D01","HARV",,"40.3.1",42.430452,-72.253394,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","2PLANT","Unknown plant","kingdom",,"narrow scurfy grass",0.5,"N",22.0,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"F605B53FE0804CEC97D64E30004AB0F2","D01","HARV",,"41.1.1",42.430368,-72.253276,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","2PLANT","Unknown plant","kingdom",,,0.5,"N",1.0,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d","unidentifiable seedling",,,0,0
"32F9A914DDD545BD993ACFF1DCA8EA48","D01","HARV",,"41.1.1",42.430368,-72.253276,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","ARTR","Arisaema triphyllum (L.) Schott","species",,,1,"N",9.0,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"197D2B02486C49038AE69FD2A7D19C57","D01","HARV",,"40.3.1",42.430452,-72.253394,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","PAQU2","Parthenocissus quinquefolia (L.) Planch.","species",,,0.5,"N",21.0,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"344D8E468B0A45F086233AE7C8622D83","D01","HARV",,"40.3.1",42.430452,-72.253394,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","PIST","Pinus strobus L.","species",,,2,"N",25.0,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"21A5F049AA924741BE5D08438BF7584B","D01","HARV",,"40.3.1",42.430452,-72.253394,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","ARTR","Arisaema triphyllum (L.) Schott","species",,,2,"N",10.0,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"61279E720B10411CBCDFABEDBA0CD498","D01","HARV",,"40.1.1",42.430371,-72.253398,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","ARTR","Arisaema triphyllum (L.) Schott","species",,,0.5,"N",11.0,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"FB7107DF72634F87821F1F41EE46FE06","D01","HARV",,"40.1.1",42.430371,-72.253398,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","FRAM2","Fraxinus americana L.","species",,,2,"N",16.0,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"5DBA29561B4F413DA2DDE45498A01ACA","D01","HARV",,"40.1.1",42.430371,-72.253398,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","TRBO2","Trientalis borealis Raf.","species",,,0.5,"N",4.0,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"054867FE18CA42E4BC8282C0225DC09F","D01","HARV",,"40.3.1",42.430452,-72.253394,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","POSI2","Potentilla simplex Michx.","species",,,0.5,"N",24.0,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"B8844D3DEB20439D83EA775932AE91D1","D01","HARV",,"40.1.1",42.430371,-72.253398,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","PIST","Pinus strobus L.","species",,,0.5,"N",4.0,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"8AF23D28FA164476827C28365901E177","D01","HARV",,"40.1.1",42.430371,-72.253398,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","HYAM","Hydrocotyle americana L.","species",,,0.5,"N",4.0,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"D1F1BC3DBE024CEEB5471879B72C726D","D01","HARV",,"40.1.1",42.430371,-72.253398,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","PAQU2","Parthenocissus quinquefolia (L.) Planch.","species",,,1,"N",23.0,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"D91F639B27EB4D21A9F9163883ABFB25","D01","HARV",,"32.4.1",42.430356,-72.253167,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","ARTR","Arisaema triphyllum (L.) Schott","species",,,4,"N",18.0,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"3152524732144A34BC95024A63CD5BB8","D01","HARV",,"32.4.1",42.430356,-72.253167,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","MIRE","Mitchella repens L.","species",,,1,"N",5.0,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"CD3E8469FFA6486D974C039DE278F7DC","D01","HARV",,"32.4.1",42.430356,-72.253167,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","ONSE","Onoclea sensibilis L.","species",,,20,"N",40.0,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"0BDABF767D6F432E9E797156C6766124","D01","HARV",,"40.1.1",42.430371,-72.253398,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","BRER2","Brachyelytrum erectum (Schreb. ex Spreng.) P. Beauv.","species",,,1,"N",43.0,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","s4LYlYd4IKjECPyWRpmGA5yPYSQhQ+2d",,,,0,0
"987437FDD29D4F6C9D893E83D993C622","D01","HARV",,"32.2.1",42.430275,-72.253171,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","MIRE","Mitchella repens L.","species",,,1,"N",6.0,"NEON.DOC.014042",,"xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,,,0,0
"627B7B08B0354B6E918454B38A9F01AC","D01","HARV",,"32.2.1",42.430275,-72.253171,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","ARTR","Arisaema triphyllum (L.) Schott","species",,,1,"N",18.0,"NEON.DOC.014042",,"xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,,,0,0
"37071ED7C04940B1837F7F49E9DC3F84","D01","HARV",,"32.2.1",42.430275,-72.253171,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","RUHI","Rubus hispidus L.","species",,,1,"N",12.0,"NEON.DOC.014042",,"xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,,,0,0
"7AEC5C516F684CE8BA1728173B4DA303","D01","HARV",,"31.4.1",42.430359,-72.253289,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","ACRU","Acer rubrum L.","species",,,0.5,"N",7.0,"NEON.DOC.014042",,"xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,,,0,0
"6E328B69634E4B33B88FBCCC67B1E873","D01","HARV",,"31.4.1",42.430359,-72.253289,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","FRAM2","Fraxinus americana L.","species",,,2,"N",14.0,"NEON.DOC.014042",,"xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,,,0,0
"A8655336CF6D42E78551ACFDB543FD12","D01","HARV",,"32.2.1",42.430275,-72.253171,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","CEOR7","Celastrus orbiculatus Thunb.","species",,,0.5,"N",9.0,"NEON.DOC.014042",,"xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,,,0,0
"D35C0F93914F45F08594100FACB68BA2","D01","HARV",,"32.2.1",42.430275,-72.253171,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","ACRU","Acer rubrum L.","species",,,0.5,"N",5.0,"NEON.DOC.014042",,"xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,,,0,0
"FC6B7CB7AF4B493D9E866DA32DED604B","D01","HARV",,"31.4.1",42.430359,-72.253289,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","TSCA","Tsuga canadensis (L.) Carrière","species",,,1,"N",12.0,"NEON.DOC.014042",,"xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,,,0,0
"B10EE2C6B3AE4919B32CDD15BB7F9B8C","D01","HARV",,"31.4.1",42.430359,-72.253289,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","MIRE","Mitchella repens L.","species",,,0.5,"N",3.0,"NEON.DOC.014042",,"xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,,,0,0
"AA34B08ADA8B49D9893605BA83FB79CA","D01","HARV",,"31.4.1",42.430359,-72.253289,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","TRBO2","Trientalis borealis Raf.","species",,,1,"N",5.0,"NEON.DOC.014042",,"xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,,,0,0
"AAB31293240842B1B713F5CDC82CFC50","D01","HARV",,"31.1.1",42.430281,-72.253402,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","ACRU","Acer rubrum L.","species",,,1,"N",10.0,"NEON.DOC.014042",,"xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,,,0,0
