"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","otherVariablesPresent","otherVariables","percentCover","samplingProtocol","measuredBy","recordedBy","remarks","duplicateVariablesBout1m2QF"
"2E56C4CB9B924862B144F95D9FAF750E","D01","HARV",,"41.1.1",42.430368,-72.253276,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","litter",76,"NEON.DOC.014042","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0
"62AB7833F48A47C399518FBEE1FFA408","D01","HARV",,"41.1.1",42.430368,-72.253276,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","soil",3,"NEON.DOC.014042","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0
"68756BA3A3A644ADB26CF37AE9138774","D01","HARV",,"41.4.1",42.430446,-72.253163,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","litter",76,"NEON.DOC.014042","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0
"7BFCEEB87ED44F909753E45A2B9E2F2A","D01","HARV",,"41.4.1",42.430446,-72.253163,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","overstory",95,"NEON.DOC.014042","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0
"CB83BAD3E4264F17B82420590FD6B4A1","D01","HARV",,"41.4.1",42.430446,-72.253163,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","soil",1,"NEON.DOC.014042","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0
"094D70ACDE3C4A9A91A76813F748B015","D01","HARV",,"40.3.1",42.430452,-72.253394,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","moss",30,"NEON.DOC.014042","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0
"CED1AA980A2D4E36962EB7C0007D1518","D01","HARV",,"40.3.1",42.430452,-72.253394,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","rock",0.5,"NEON.DOC.014042","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0
"A96BD4C1F4C64C6887CB87A5E8EAD7F8","D01","HARV",,"40.3.1",42.430452,-72.253394,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","overstory",92,"NEON.DOC.014042","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0
"76E48E50809C416CBB1C651D314EBFE2","D01","HARV",,"41.1.1",42.430368,-72.253276,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","otherNonVascular",0.5,"NEON.DOC.014042","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0
"F4A501F51B624215B7CD5830E1954104","D01","HARV",,"41.1.1",42.430368,-72.253276,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","wood",6,"NEON.DOC.014042","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0
"EA21E4347C0B4611B64404DEFD0112A0","D01","HARV",,"32.4.1",42.430356,-72.253167,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","soil",3,"NEON.DOC.014042","xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0
"99CE590E14254BCE99D0E25C360891D2","D01","HARV",,"32.4.1",42.430356,-72.253167,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","overstory",100,"NEON.DOC.014042","xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0
"4A461D47EBB348C19714E41165F15F78","D01","HARV",,"40.1.1",42.430371,-72.253398,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","lichen",0.5,"NEON.DOC.014042","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0
"9689858008F341CCA54488D252770C35","D01","HARV",,"40.1.1",42.430371,-72.253398,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","moss",33,"NEON.DOC.014042","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0
"74515770DC3541D592AD039DC0BA4077","D01","HARV",,"40.1.1",42.430371,-72.253398,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","otherNonVascular",0.5,"NEON.DOC.014042","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0
"A328F35B2B604468AF05A1DD1A897BB5","D01","HARV",,"31.4.1",42.430359,-72.253289,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","litter",80,"NEON.DOC.014042","xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0
"67302964EE70481D81A4197C6E8D0364","D01","HARV",,"31.4.1",42.430359,-72.253289,"WGS84",,"2014-06-02",1,"DIV.HARV.2014.1","Y","overstory",100,"NEON.DOC.014042","xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",,0
