"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","nlcdClass","elevation","elevationUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF"
"0F0C891E0C5A428AB6EC6DD011FDD2FE","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","ULAM","Ulmus americana L.","species",,,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon",,,,0,0,0
"DEBE6CBBBD264CFB960A5ED8B2542BA1","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","BETH","Berberis thunbergii DC.","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0",,,,0,0,0
"1DB185223FBE4C3C8377790843399A52","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","FRAM2","Fraxinus americana L.","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0",,,,0,0,0
"0579AB7DF60C4A5CA13FA06901FB5EAE","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","TRBO2","Trientalis borealis Raf.","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0",,,,0,0,0
"7ACBD54BC4B44CACA2E9262A354E0F1D","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","RUPU","Rubus pubescens Raf.","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0",,,,0,0,0
"E1E9FDC680A346A5A9E4B0F865FB5846","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","2PLANT","Unknown plant","kingdom",,"narrow scurfy grass","NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon",,,,0,0,0
"1F1210AF43454DA997D03F8799D49664","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","DICHA2","Dichanthelium sp.","genus","cf. genus",,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0",,,,0,0,0
"35150B146057467F82D510D6CA214337","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","HYAM","Hydrocotyle americana L.","species",,,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon",,,,0,0,0
"C4371E3DC7344BFBA0CD76BCED3638D8","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","LILIAC","Liliaceae sp.","family","cf. family",,"NEON.DOC.014042",,"xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG",,,,0,0,0
"922166E0FF124AABB685E6F7C0DD78EB","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","PIST","Pinus strobus L.","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0",,,,0,0,0
"76D11633B4D44A45BC84FA809C420C08","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","PYAM","Pyrola americana Sweet","species",,,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon",,,,0,0,0
"B1E9740A89FE45AEBDC3BA1A22A84698","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","CADER","Carex debilis Michx. var. rudgei L.H. Bailey","variety",,,"NEON.DOC.014042",,"xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG",,,,0,0,0
"D42EF5FED2074D2B84041028D5F7FC7C","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","UVSE","Uvularia sessilifolia L.","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0",,,,0,0,0
"07BABC2119714CDDBFE68D380C4A6DB5","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","TORA2","Toxicodendron radicans (L.) Kuntze","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0",,,,0,0,0
"F26B64849FF7428CBB88BBD5219A3410","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","CACR6","Carex crinita Lam.","species","cf. species",,"NEON.DOC.014042",,"xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG",,,,0,0,0
"3CE31881A9D0467A8E2F88F98B1019DF","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","MACA4","Maianthemum canadense Desf.","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0",,,,0,0,0
"F4D6B7E9907141F49BB8BAE020B6C832","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","SMHE","Smilax herbacea L.","species",,,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon",,,,0,0,0
"2D6D7278E0C540D494E20BA93225CDB2","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","BRER2","Brachyelytrum erectum (Schreb. ex Spreng.) P. Beauv.","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0",,,,0,0,0
"C39E1B5025DD4690B1D1EF335240609C","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","CAPA17","Carex pallescens L.","species",,,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0",,,,0,0,0
"59BDCA51ABDB402B923C3C30FD16B321","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","VICU","Viola cucullata Aiton","species",,,"NEON.DOC.014042",,"xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG",,,,0,0,0
"4D6BB090A86E45DEBA631D8449171410","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","RUOC","Rubus occidentalis L.","species","cf. species",,"NEON.DOC.014042",,"fAQgyJjLNLmCIaILNeEp9EGtpY54Ucv0",,,,0,0,0
"A30FD8E74DBF4B3584163B07F08E2CC4","D01","HARV",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.HARV.2014.1","Y","ROPA","Rosa palustris Marshall","species",,,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon",,,,0,0,0
