"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","morphospeciesIDRemarks","taxonIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF","duplicateTaxonIDPerBout100m2QF"
"948D72330B3D456D95AAECB5F888AEE3","D02","SCBI",,"41",38.886353,-78.143662,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","VITIS","Vitis sp.","genus",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,,,0,0,0,0
"D333CE8816F0438794E6DFFCD120EFCA","D02","SCBI",,"40",38.886361,-78.143818,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","SMRO","Smilax rotundifolia L.","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0,0,0
"B48C7D12D9E54A72ABFEA5A7C0C5E48F","D02","SCBI",,"41",38.886353,-78.143662,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","RUPH","Rubus phoenicolasius Maxim.","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,,,0,0,0,0
"B126E3AA2CFE443F90988B893CF6D240","D02","SCBI",,"41",38.886353,-78.143662,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","SOLID","Solidago sp.","genus",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,,,0,0,0,0
"201B2CF5D01F4D53917581E70FD718F0","D02","SCBI",,"41",38.886353,-78.143662,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","THTH2","Thalictrum thalictroides (L.) Eames & B. Boivin","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,,,0,0,0,0
"B4FBB07CF1AD432D9A8955CF1F3A419B","D02","SCBI",,"40",38.886361,-78.143818,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","HEAM6","Heuchera americana L.","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0,0,0
"28ADE6A124FE498789FA5BA9E12B1713","D02","SCBI",,"40",38.886361,-78.143818,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","NYSY","Nyssa sylvatica Marshall","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0,0,0
"5DB3688E75644A29963DD24A500E8E58","D02","SCBI",,"40",38.886361,-78.143818,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","PIPU2","Pilea pumila (L.) A. Gray","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0,0,0
"4B6ECA826BEC4E9F92BD9EB1B1BCE52C","D02","SCBI",,"40",38.886361,-78.143818,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","ALPE4","Alliaria petiolata (M. Bieb.) Cavara & Grande","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0,0,0
"AE46B03180AF453E8DCD8DAF3C08619A","D02","SCBI",,"40",38.886361,-78.143818,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","BETH","Berberis thunbergii DC.","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0,0,0
"83A55075BA2F4BD793A6D1FA8486B321","D02","SCBI",,"40",38.886361,-78.143818,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","CILUC","Circaea lutetiana L. ssp. canadensis (L.) Asch. & Magnus","subspecies",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,"Circaea canadensis (L.) Hill ssp. canadensis",,0,0,0,0
"0D7B0C2FB2984BA6B4C5038D54991A02","D02","SCBI",,"40",38.886361,-78.143818,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","FRAM2","Fraxinus americana L.","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0,0,0
"F1B56B8CA2B448EFBA896440CED93CBC","D02","SCBI",,"40",38.886361,-78.143818,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","CAREX","Carex sp.","genus",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0,0,0
"66515DEDB661438F89CCFE47FA52141F","D02","SCBI",,"40",38.886361,-78.143818,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","GAAP2","Galium aparine L.","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0,0,0
"9138B64CE5234D169A4614FAE1C21BCB","D02","SCBI",,"40",38.886361,-78.143818,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","POVI2","Polygonum virginianum L.","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0,0,0
"5519456597E14DC28FD11D7593B16805","D02","SCBI",,"40",38.886361,-78.143818,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","2PLANT","Unknown plant","kingdom",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0,0,0
"360E87DD676F47A8AF65A5A5055A306A","D02","SCBI",,"32",38.886272,-78.143685,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","VITIS","Vitis sp.","genus",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf",,,,0,0,0,0
"3D2783CD24644AF394FBF101209E8314","D02","SCBI",,"40",38.886361,-78.143818,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","SYOR","Symphoricarpos orbiculatus Moench","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0,0,0
"393E0F9C279E43B79FDA18344CC24203","D02","SCBI",,"40",38.886361,-78.143818,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","OSCL","Osmorhiza claytonii (Michx.) C.B. Clarke","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0,0,0
"04F50AD82F9A4FFBBE1DF472C36D8CFD","D02","SCBI",,"32",38.886272,-78.143685,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","POVI2","Polygonum virginianum L.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf",,,,0,0,0,0
"19D617B22E094A6F8E04B25F81979C0D","D02","SCBI",,"32",38.886272,-78.143685,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","ROMU","Rosa multiflora Thunb.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf",,,,0,0,0,0
"1A5EE5D10F364880A47B9B2C50421EBF","D02","SCBI",,"32",38.886272,-78.143685,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","SYOR","Symphoricarpos orbiculatus Moench","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf",,,,0,0,0,0
"B1183421388744B48F0BBA006D8EB9C9","D02","SCBI",,"32",38.886272,-78.143685,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","ULMUS","Ulmus sp.","genus",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf",,,,0,0,0,0
"FBAC43277FAE4ADCB585085C01EC93CE","D02","SCBI",,"32",38.886272,-78.143685,"WGS84",2.2,"2014-06-02",1,"DIV.SCBI.2014.1","Y","GATR3","Galium triflorum Michx.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf",,,,0,0,0,0
