"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","percentCover","heightPlantOver300cm","heightPlantSpecies","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","duplicateTaxonIDBoutPer1m2QF","missingRecords1m2QF"
"F3C64B67E05C40A6B4A4011ED9C8DF47","D02","SCBI",,"41.4.1",38.886408,-78.143625,"WGS84",0.4,"2014-06-02",1,"DIV.SCBI.2014.1","Y","MIVI","Microstegium vimineum (Trin.) A. Camus","species",,,5,"N",11.6,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,,,0,0
"AB7CE25C46074A918924D5788E92A1F1","D02","SCBI",,"41.4.1",38.886408,-78.143625,"WGS84",0.4,"2014-06-02",1,"DIV.SCBI.2014.1","Y","GACI2","Galium circaezans Michx.","species",,,0.5,"N",16.0,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,,,0,0
"C4A37CA6B4EA4197A24FC0DEBC1F58FB","D02","SCBI",,"41.4.1",38.886408,-78.143625,"WGS84",0.4,"2014-06-02",1,"DIV.SCBI.2014.1","Y","PRAL3","Prenanthes altissima L.","species",,,3,"N",14.0,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,,,0,0
"BB631002FA804F67872B98A4C8CEC106","D02","SCBI",,"41.1.1",38.886313,-78.143715,"WGS84",0.5,"2014-06-02",1,"DIV.SCBI.2014.1","Y","ALPE4","Alliaria petiolata (M. Bieb.) Cavara & Grande","species",,,0.5,"N",6.0,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,,,0,0
"65CC72E9852B470EB3EB7CBE2A26BAF7","D02","SCBI",,"41.1.1",38.886313,-78.143715,"WGS84",0.5,"2014-06-02",1,"DIV.SCBI.2014.1","Y","PAQU2","Parthenocissus quinquefolia (L.) Planch.","species",,,13,"N",20.2,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,,,0,0
"067C2A8FDCDF4AF896A44D2EEFF022FD","D02","SCBI",,"41.4.1",38.886408,-78.143625,"WGS84",0.4,"2014-06-02",1,"DIV.SCBI.2014.1","Y","THTH2","Thalictrum thalictroides (L.) Eames & B. Boivin","species",,,0.5,"N",27.0,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,,,0,0
"09DAEE2B5179424EB6024FE8EA82E5A0","D02","SCBI",,"41.4.1",38.886408,-78.143625,"WGS84",0.4,"2014-06-02",1,"DIV.SCBI.2014.1","Y","RUPH","Rubus phoenicolasius Maxim.","species",,,3,"N",52.5,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,,,0,0
"CC57F71305E443E28EB37FE45E872092","D02","SCBI",,"40.3.1",38.886402,-78.143868,"WGS84",0.5,"2014-06-02",1,"DIV.SCBI.2014.1","Y","FRAM2","Fraxinus americana L.","species",,,80,"N",59.4,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0
"E40CF2DF3A6C463CB6B6ED811846C7D0","D02","SCBI",,"41.1.1",38.886313,-78.143715,"WGS84",0.5,"2014-06-02",1,"DIV.SCBI.2014.1","Y","FRAM2","Fraxinus americana L.","species",,,11,"N",30.0,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,,,0,0
"3CF55F7A30C441149BAAE040A48BEA3F","D02","SCBI",,"41.1.1",38.886313,-78.143715,"WGS84",0.5,"2014-06-02",1,"DIV.SCBI.2014.1","Y","MIVI","Microstegium vimineum (Trin.) A. Camus","species",,,0.5,"N",5.7,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,,,0,0
"57EDBD27304B42AAAA60EB84F41C7CE3","D02","SCBI",,"40.1.1",38.886321,-78.143871,"WGS84",0.5,"2014-06-02",1,"DIV.SCBI.2014.1","Y","TORA2","Toxicodendron radicans (L.) Kuntze","species",,,4,"N",20.8,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0
"7510BD1A39C54092982D87E85BDC4E2C","D02","SCBI",,"40.3.1",38.886402,-78.143868,"WGS84",0.5,"2014-06-02",1,"DIV.SCBI.2014.1","Y","ULMUS","Ulmus sp.","genus",,,1,"N",29.0,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0
"A707881AFF654166981263F057F4A7CC","D02","SCBI",,"40.3.1",38.886402,-78.143868,"WGS84",0.5,"2014-06-02",1,"DIV.SCBI.2014.1","Y","PAQU2","Parthenocissus quinquefolia (L.) Planch.","species",,,4,"N",13.6,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0
"773E36BA803C414E8BB840DA947349E7","D02","SCBI",,"32.4.1",38.886312,-78.143631,"WGS84",0.5,"2014-06-02",1,"DIV.SCBI.2014.1","Y","VITIS","Vitis sp.","genus",,,0.5,"N",12.0,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf",,,,0,0
"BEA2327324FF42D997ED702F22FEB214","D02","SCBI",,"40.1.1",38.886321,-78.143871,"WGS84",0.5,"2014-06-02",1,"DIV.SCBI.2014.1","Y","PAQU2","Parthenocissus quinquefolia (L.) Planch.","species",,,25,"N",57.0,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0
"C23D482708D14F8B9927CFD3324C314C","D02","SCBI",,"40.1.1",38.886321,-78.143871,"WGS84",0.5,"2014-06-02",1,"DIV.SCBI.2014.1","Y","CILUC","Circaea lutetiana L. ssp. canadensis (L.) Asch. & Magnus","subspecies",,,0.5,"N",18.0,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh","Circaea canadensis (L.) Hill ssp. canadensis",,,0,0
"D39E5BBEA3B34E378E082531541871F6","D02","SCBI",,"40.1.1",38.886321,-78.143871,"WGS84",0.5,"2014-06-02",1,"DIV.SCBI.2014.1","Y","ALPE4","Alliaria petiolata (M. Bieb.) Cavara & Grande","species",,,5,"N",26.2,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,,,0,0
