"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","otherVariablesPresent","otherVariables","percentCover","samplingProtocol","measuredBy","recordedBy","remarks","duplicateVariablesBout1m2QF"
"6E4D8BCD46414530B1476FFCCA32B0D1","D02","SCBI",,"40.1.1",38.886321,-78.143871,"WGS84",0.5,"2014-06-02",1,"DIV.SCBI.2014.1","Y","litter",58,"NEON.DOC.014042","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,0
"55712D392DBE44509B41CF2F92BED8B3","D02","SCBI",,"41.4.1",38.886408,-78.143625,"WGS84",0.4,"2014-06-02",1,"DIV.SCBI.2014.1","Y","scat",0.5,"NEON.DOC.014042","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,0
"113E0BDBB1AF4A408B01051642358811","D02","SCBI",,"41.4.1",38.886408,-78.143625,"WGS84",0.4,"2014-06-02",1,"DIV.SCBI.2014.1","Y","soil",0.5,"NEON.DOC.014042","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,0
"3B8DB80EB118473987A934EC1F1D2E55","D02","SCBI",,"41.4.1",38.886408,-78.143625,"WGS84",0.4,"2014-06-02",1,"DIV.SCBI.2014.1","Y","wood",5,"NEON.DOC.014042","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,0
"597D2DB19A38413698461749682AB5A6","D02","SCBI",,"41.4.1",38.886408,-78.143625,"WGS84",0.4,"2014-06-02",1,"DIV.SCBI.2014.1","Y","overstory",90,"NEON.DOC.014042","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,0
"FA44B64DC6804879BCF57DB47085E0B9","D02","SCBI",,"41.4.1",38.886408,-78.143625,"WGS84",0.4,"2014-06-02",1,"DIV.SCBI.2014.1","Y","litter",94,"NEON.DOC.014042","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,0
"5A1A5D705002427CABA666852312C1A2","D02","SCBI",,"41.4.1",38.886408,-78.143625,"WGS84",0.4,"2014-06-02",1,"DIV.SCBI.2014.1","Y","lichen",0.5,"NEON.DOC.014042","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,0
"877401869955489ABDD0B9C9115B09DA","D02","SCBI",,"40.1.1",38.886321,-78.143871,"WGS84",0.5,"2014-06-02",1,"DIV.SCBI.2014.1","Y","soil",0.5,"NEON.DOC.014042","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","b6ErTe8LyzD+v5tDtHiIDpfCV4ODNVuh",,0
"DFC4325FE0CE4E4C8B19D921A9CF4F55","D02","SCBI",,"41.1.1",38.886313,-78.143715,"WGS84",0.5,"2014-06-02",1,"DIV.SCBI.2014.1","Y","rock",15,"NEON.DOC.014042","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,0
"3A605C7FC6F3426A89A3C1D0AD8CEA5A","D02","SCBI",,"41.1.1",38.886313,-78.143715,"WGS84",0.5,"2014-06-02",1,"DIV.SCBI.2014.1","Y","otherNonVascular",0.5,"NEON.DOC.014042","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","PZ011V0eKKp8eqaBuAbTbjecCVKSwANf",,0
