"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","nlcdClass","elevation","elevationUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF"
"A1DEAB9F09814ABFB6EFF29B55C87256","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","ACRA7","Actaea racemosa L.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
"07514700CE20463FBC9FFDC9FAB2DABA","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","SACAC2","Sanicula canadensis L. var. canadensis","variety","cf. species",,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
"68AC741D6FF944C89CAC0F2DF571B47B","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","VITIS","Vitis sp.","genus",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"801E86BEB99742BABD0A70FD879F0EC2","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","POVI2","Polygonum virginianum L.","species","cf. species",,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
"78973564CF8D40688635DE01124019DE","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","MARAR","Maianthemum racemosum (L.) Link ssp. racemosum","subspecies",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
"9309326D5DB14E3FA6337E66FEA34F4F","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","ANVIV2","Anemone virginiana L. var. virginiana","variety",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"4A0C0494B809412490AF3C51A4A9E0F3","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","CACA18","Carpinus caroliniana Walter","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
"AD92CA0F4C1940AA9BBBC021DB7B3284","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","NYSY","Nyssa sylvatica Marshall","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"034391C3348B4C729B0ABC395AB3687F","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","CESC","Celastrus scandens L.","species","cf. species",,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"CD5F88F100EF495A8B08C1B6F20CBAB6","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","THTH2","Thalictrum thalictroides (L.) Eames & B. Boivin","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"1B8D83050A5442B68CA5EBCC83619384","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","GAMO","Galium mollugo L.","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"207CAA3DC42F4330BB4CD67E40C314A3","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","ACRU","Acer rubrum L.","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"8DA435F04D324BD69E11107C2B59A49A","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","BOVI","Botrychium virginianum (L.) Sw.","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","Botrypus virginianus (L.) Holub",,,0,0,0
"40D13A5285F7424ABB9EA141ACEC2AFC","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","VIOLA","Viola sp.","genus",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"B2C3187CD4184103A7B9F216DDE7C343","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","CECAC","Cercis canadensis L. var. canadensis","variety",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"3FAE3083773B4C4B9A304EDD7E9C3D97","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","SYOR","Symphoricarpos orbiculatus Moench","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"D04717BA2BFF47838C9F03902B92E8EC","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","QURUR","Quercus rubra L. var. rubra","variety",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"867DB369343B40FB802DEE04AAC4C13D","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","CAREX","Carex sp.","genus",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"F9CBF560FF75477D9A392E25E1235609","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","EUDI16","Eurybia divaricata (L.) G.L. Nesom","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
"3580011801B44C14BB3B2C74C364669A","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","CYOF","Cynoglossum officinale L.","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"64F6AF4EE4144BEDB1C79E9027D70880","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","CAGL8","Carya glabra (Mill.) Sweet","species","cf. species",,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
"189D771FD00D431C8E34DE90336065FF","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","RUPH","Rubus phoenicolasius Maxim.","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"644E3EAB6A314B0D8A3676A60648F5C8","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","ARTRT3","Arisaema triphyllum (L.) Schott ssp. triphyllum","subspecies",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"B693F38E77DB483A93AD0A3C32F3B24E","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","HENOO","Hepatica nobilis Schreb. var. obtusa (Pursh) Steyerm.","variety",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
"13A390B4CD41459C8852C4CD9F5F0731","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","TORA2","Toxicodendron radicans (L.) Kuntze","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"9B81835EE3AD40C8B4517960ABB55FE4","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","SMRO","Smilax rotundifolia L.","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"1E7B855B1A1447419638C6A54BF9795F","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","GATR3","Galium triflorum Michx.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
"9CFE686B6AAE46B489A056BD325663A1","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","GACI2","Galium circaezans Michx.","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
"78AF2C675BA945A3BDDE45ED3D7E4CBC","D02","SCBI",,,,,,"deciduousForest",,,"2014-06-02",1,"DIV.SCBI.2014.1","Y","GALA4","Galium latifolium Michx.","species",,,"NEON.DOC.014042",,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,,,0,0,0
