"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","duplicateTaxonIDPerBout10m2QF"
"9685C4EC6E404BB39C75855040515BEB","D02","SERC",,"32.2.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","POPE","Podophyllum peltatum L.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"70098A9896B74CE186E4A2C6ECAC57F7","D02","SERC",,"32.4.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","FAGR","Fagus grandifolia Ehrh.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","1Rhr/Sk5OKrgJutMkYRopWWLezYoK1PDcWUGJgiF2Tw=",,,,0,0,0
"6240899BFF1B429DA1A6BD5E0EC0D3A1","D02","SERC",,"32.2.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","GACI2","Galium circaezans Michx.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"C7BBF40CC2BA4895947BC925460EF8D5","D02","SERC",,"32.2.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","ROMU","Rosa multiflora Thunb.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"DF4B05DD226B4B2D8B6FFB71C7AC8B97","D02","SERC",,"32.2.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","CILU","Circaea lutetiana L.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"9A5533E500B1438480B8E2C1A799402F","D02","SERC",,"32.2.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","FAGR","Fagus grandifolia Ehrh.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"C49F08620F5D408EB08F1E4E7CD982E2","D02","SERC",,"32.2.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","LOJA","Lonicera japonica Thunb.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"11A8618028FB4549A82F810363DFBF57","D02","SERC",,"32.2.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","COFL2","Cornus florida L.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"48D403B9658D497F8419D4A251D0DAE2","D02","SERC",,"32.2.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","QUAL","Quercus alba L.","species","cf. species",,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"B6DBEBFEE27E4CCF88D396FDD5499EAD","D02","SERC",,"32.2.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","ACNE2","Acer negundo L.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"24C564E8246B4F549308A4F44A2346E5","D02","SERC",,"32.2.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","CACA18","Carpinus caroliniana Walter","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"6C4F294564C74CBA8A2BB4E8877B9A45","D02","SERC",,"31.4.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","GACI2","Galium circaezans Michx.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"B50291EA0DCF4ECBB6A307959774EC1A","D02","SERC",,"31.4.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","LOJA","Lonicera japonica Thunb.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"23C14502ED0E4A5EA14434917CE82F20","D02","SERC",,"31.4.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","PAQU2","Parthenocissus quinquefolia (L.) Planch.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"FBF85508518F4CF69E4B03B101FF4C35","D02","SERC",,"31.4.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","QUAL","Quercus alba L.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"4DFA075EE95D43CB943973861BE2F2E3","D02","SERC",,"32.2.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","LITU","Liriodendron tulipifera L.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"7EC9F9F2FF5148C2B1EA69B062E8331D","D02","SERC",,"31.4.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","CATO6","Carya tomentosa (Lam.) Nutt.","species","cf. species",,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"325558CE9F7148A89D8B92030E146F3D","D02","SERC",,"31.4.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","AMBR2","Amphicarpaea bracteata (L.) Fernald","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"F0A52519AF3641EABE2C661D9C20E02B","D02","SERC",,"31.4.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","CACA18","Carpinus caroliniana Walter","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
"FC2BC68F4247450092BC20DBD362109E","D02","SERC",,"31.4.10",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","COFL2","Cornus florida L.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,,,0,0,0
