"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","otherVariablesPresent","otherVariables","percentCover","samplingProtocol","measuredBy","recordedBy","remarks","duplicateVariablesBout1m2QF"
"64C1D158C2154EAD946EF070A0F081F5","D02","SERC",,"40.1.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","wood",85,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","UuiIeI4+6a5aPCzJHDO8escfgdCljGO5",,0
"AD4E3BC73D4F40EF8B4671A776360BF7","D02","SERC",,"32.2.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","litter",99,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,0
"588B14AD537748A28DA223527E2EEA50","D02","SERC",,"32.2.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","overstory",65,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,0
"3A79F795AED24272872F3D1201095E8C","D02","SERC",,"32.4.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","wood",1,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,0
"2F10B8D8451943EE8BD5D8927E00A2F6","D02","SERC",,"32.4.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","overstory",93,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,0
"98FA73809A914E0B9595CCED227E124F","D02","SERC",,"40.1.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","litter",80,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","UuiIeI4+6a5aPCzJHDO8escfgdCljGO5",,0
"C960BBD992674D6FAA9EEE7085548F9A","D02","SERC",,"40.1.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","overstory",30,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","UuiIeI4+6a5aPCzJHDO8escfgdCljGO5",,0
"06DE6796BC2A4D2AB2268ABA1070FF49","D02","SERC",,"31.1.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","standingDead",0.5,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,0
"37291CAD53404F18B91D044C91A4AABD","D02","SERC",,"31.1.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","overstory",98,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,0
"B95FA173CF5E4BC8BA3568D95B7CE892","D02","SERC",,"31.1.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","litter",92,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,0
"197FB7B40DA14C25893E1CAE5090CB31","D02","SERC",,"31.1.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","otherNonVascular",0.5,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,0
"CB9A0BECB9204D3C8CF5FAB13267754E","D02","SERC",,"31.4.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","litter",99,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,0
"7B2EA23C022546CFBC2D40B92A0AFFF4","D02","SERC",,"31.4.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","wood",0.5,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,0
"E79E08CA86224C81815A63EC30CF1584","D02","SERC",,"32.2.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","soil",1,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","0FfNr+0lWbo+uXUYZYVhxYKNrQHHRiMH",,0
"7675536808864A26B80A52E1E875BA05","D02","SERC",,"40.3.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","otherNonVascular",0.5,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","UuiIeI4+6a5aPCzJHDO8escfgdCljGO5",,0
"57CFDB3A1E1F466E80E83C49D189E1D9","D02","SERC",,"40.3.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","soil",0.5,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","UuiIeI4+6a5aPCzJHDO8escfgdCljGO5",,0
"238666FCE7CD4331820C9DC3678ACAD4","D02","SERC",,"41.1.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","soil",0.5,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","1Rhr/Sk5OKrgJutMkYRopWWLezYoK1PDcWUGJgiF2Tw=",,0
"9ACA4A60C7054CE493215E78B94A355C","D02","SERC",,"41.1.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","overstory",60,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","1Rhr/Sk5OKrgJutMkYRopWWLezYoK1PDcWUGJgiF2Tw=",,0
"F94E96CC02E6470385F18A1CD6803EB7","D02","SERC",,"41.4.1",,,,,"2015-06-08",1,"DIV.SERC.2015.1","Y","overstory",99,"NEON.DOC.014042","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","UuiIeI4+6a5aPCzJHDO8escfgdCljGO5",,0
