"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","nlcdClass","elevation","elevationUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF"
"27B6E1A4D85D49298A3EDC50F3A56654","D02","SERC",,,,,,"deciduousForest",,,"2015-06-08",1,"DIV.SERC.2015.1","Y","SACA15","Sanicula canadensis L.","species","cf. species",,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
"C5C64269C6464D4F94A23B4CDF525171","D02","SERC",,,,,,"deciduousForest",,,"2015-06-08",1,"DIV.SERC.2015.1","Y","VIOLA","Viola sp.","genus",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","acauline",,,0,0,0
"2271D78EB081447EB93F743B70580144","D02","SERC",,,,,,"deciduousForest",,,"2015-06-08",1,"DIV.SERC.2015.1","Y","EUAM9","Euonymus americanus L.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
"18B874130DA645AF874235708E5807C0","D02","SERC",,,,,,"deciduousForest",,,"2015-06-08",1,"DIV.SERC.2015.1","Y","PAQU2","Parthenocissus quinquefolia (L.) Planch.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
"1050326B7CCE4C7C9CC080843B74112D","D02","SERC",,,,,,"deciduousForest",,,"2015-06-08",1,"DIV.SERC.2015.1","Y","NYSY","Nyssa sylvatica Marshall","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
"74CA21C17BC442A39435580731282BAF","D02","SERC",,,,,,"deciduousForest",,,"2015-06-08",1,"DIV.SERC.2015.1","Y","GAAP2","Galium aparine L.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
"6091EAFDEAFA4F4A9C8DA94059C44A08","D02","SERC",,,,,,"deciduousForest",,,"2015-06-08",1,"DIV.SERC.2015.1","Y","CARA2","Campsis radicans (L.) Seem. ex Bureau","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
"49B8B7C6C139446D91A1392BA1129FB7","D02","SERC",,,,,,"deciduousForest",,,"2015-06-08",1,"DIV.SERC.2015.1","Y","CAREX","Carex sp.","genus",,"Smallleaf nobeak","NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
"68AC8432C4ED4E4E9CE7EDD06F6CB332","D02","SERC",,,,,,"deciduousForest",,,"2015-06-08",1,"DIV.SERC.2015.1","Y","BETH","Berberis thunbergii DC.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
"30020B17E5F84B31999844D20B426CD6","D02","SERC",,,,,,"deciduousForest",,,"2015-06-08",1,"DIV.SERC.2015.1","Y","ACRU","Acer rubrum L.","species",,,"NEON.DOC.014042",,"HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",,,,0,0,0
