"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","duplicateTaxonIDPerBout10m2QF"
"BEE950E7C9D64F9CB0C097A8D7680D27","D03","DSNY",,"31.1.10",28.118515,-81.435247,"WGS84",1.1,"2013-07-29",1,"DIV.DSNY.2013.1","Y","PIPA2","Pinus palustris Mill.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
"CD24A91401B64A52BF11B730B8B4E699","D03","DSNY",,"31.1.10",28.118515,-81.435247,"WGS84",1.1,"2013-07-29",1,"DIV.DSNY.2013.1","Y","SERE2","Serenoa repens (W. Bartram) Small","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
"4195C6E151EE4FB0992D8DB3C7AF70E8","D03","DSNY",,"31.1.10",28.118515,-81.435247,"WGS84",1.1,"2013-07-29",1,"DIV.DSNY.2013.1","Y","2PLANT","Unknown plant","kingdom",,"Five Leaf Legume","NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,2
"D889AE55E0C141349895EA4320A89C28","D03","DSNY",,"31.1.10",28.118515,-81.435247,"WGS84",1.1,"2013-07-29",1,"DIV.DSNY.2013.1","Y","PIGR4","Pityopsis graminifolia (Michx.) Nutt.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
"70FA089527004C39AF09A553F5D69C95","D03","DSNY",,"31.1.10",28.118515,-81.435247,"WGS84",1.1,"2013-07-29",1,"DIV.DSNY.2013.1","Y","XYCA","Xyris caroliniana Walter","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
"FE7C00A72AD9471E9BB04E5591669B4D","D03","DSNY",,"31.1.10",28.118515,-81.435247,"WGS84",1.1,"2013-07-29",1,"DIV.DSNY.2013.1","Y","DICL","Dichanthelium clandestinum (L.) Gould","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
"14F19C285B3840D3B1EDD190CB50D3B5","D03","DSNY",,"31.1.10",28.118515,-81.435247,"WGS84",1.1,"2013-07-29",1,"DIV.DSNY.2013.1","Y","DIDI6","Dichanthelium dichotomum (L.) Gould","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
"4C490BBFD961496AA4F8F69EEAE1D870","D03","DSNY",,"31.1.10",28.118515,-81.435247,"WGS84",1.1,"2013-07-29",1,"DIV.DSNY.2013.1","Y","ANGE","Andropogon gerardii Vitman","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
"DB875DDFD2F04C05BD017D515F90122A","D03","DSNY",,"31.1.10",28.118515,-81.435247,"WGS84",1.1,"2013-07-29",1,"DIV.DSNY.2013.1","Y","2PLANT","Unknown plant","kingdom",,"Little Rosette","NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,2
"73424587A3D34CE28D09FD81B6C3DD7F","D03","DSNY",,"31.1.10",28.118515,-81.435247,"WGS84",1.1,"2013-07-29",1,"DIV.DSNY.2013.1","Y","2PLANT","Unknown plant","kingdom",,"Hairy rosemary","NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
