"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","percentCover","heightPlantOver300cm","heightPlantSpecies","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","duplicateTaxonIDBoutPer1m2QF","missingRecords1m2QF"
"F46F5D1CA2C64873873115F82A6E8813","D03","DSNY",,"31.4.1",28.118586,-81.435166,"WGS84",0.3,"2013-07-29",1,"DIV.DSNY.2013.1","Y","QUERC","Quercus sp.","genus",,,15,"N",25.4,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0
"DEC60B830C694DF1A1F883ED4C5A8DF0","D03","DSNY",,"31.4.1",28.118586,-81.435166,"WGS84",0.3,"2013-07-29",1,"DIV.DSNY.2013.1","Y","PIGR4","Pityopsis graminifolia (Michx.) Nutt.","species",,,0.5,"N",15.5,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0
"4AC7CA4A265045818A3E79E7DAC7353A","D03","DSNY",,"31.4.1",28.118586,-81.435166,"WGS84",0.3,"2013-07-29",1,"DIV.DSNY.2013.1","Y","2PLANT","Unknown plant","kingdom",,"Green waxy rosette",0.5,"N",3.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,2,0
"0A7C97C3175046AB840AF7D086369378","D03","DSNY",,"31.4.1",28.118586,-81.435166,"WGS84",0.3,"2013-07-29",1,"DIV.DSNY.2013.1","Y","MOCE","Mollugo cerviana (L.) Ser.","species",,,0.5,"N",13.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0
"C68A83089D37440F951E39DF2042EDA1","D03","DSNY",,"32.2.1",28.118519,-81.435051,"WGS84",0.4,"2013-07-29",1,"DIV.DSNY.2013.1","Y","ASPY2","Asimina pygmea (W. Bartram) Dunal","species",,,1,"N",30.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0
"25D06A506E074200947743C4AD737004","D03","DSNY",,"32.2.1",28.118519,-81.435051,"WGS84",0.4,"2013-07-29",1,"DIV.DSNY.2013.1","Y","SERE2","Serenoa repens (W. Bartram) Small","species",,,55,"N",100.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0
"905C9F5773514BFEA74B366BBAD96C63","D03","DSNY",,"32.2.1",28.118519,-81.435051,"WGS84",0.4,"2013-07-29",1,"DIV.DSNY.2013.1","Y","DISP2","Dichanthelium sphaerocarpon (Elliott) Gould","species",,,1,"N",4.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0
"F2E47736AF204C32A30BD99DF4FD9E30","D03","DSNY",,"32.4.1",28.118600,-81.435052,"WGS84",0.4,"2013-07-29",1,"DIV.DSNY.2013.1","Y","MAPIP4","Machaeranthera pinnatifida (Hook.) Shinners ssp. pinnatifida var. pinnatifida","variety",,,0.5,"N",4.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0
"A35ADAB02404405B825C14C8B7B1B6B9","D03","DSNY",,"32.4.1",28.118600,-81.435052,"WGS84",0.4,"2013-07-29",1,"DIV.DSNY.2013.1","Y","ARBE7","Aristida beyrichiana Trin. & Rupr.","species",,,2,"N",38.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0
"BE3091773BE144A0AE52470439E5167E","D03","DSNY",,"32.4.1",28.118600,-81.435052,"WGS84",0.4,"2013-07-29",1,"DIV.DSNY.2013.1","Y","SERE2","Serenoa repens (W. Bartram) Small","species",,,95,"N",63.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0
