"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","otherVariablesPresent","otherVariables","percentCover","samplingProtocol","measuredBy","recordedBy","remarks","duplicateVariablesBout1m2QF"
"F20759FB113148E196A0ED7C198B44E3","D03","DSNY",,"31.1.1",28.118505,-81.435258,"WGS84",0.3,"2013-07-29",1,"DIV.DSNY.2013.1","Y","soil",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"B835FEEBB1904F409DE447B1D4686908","D03","DSNY",,"31.1.1",28.118505,-81.435258,"WGS84",0.3,"2013-07-29",1,"DIV.DSNY.2013.1","Y","moss",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"F068C1A76C43413A9B04F39D773E2411","D03","DSNY",,"31.4.1",28.118586,-81.435166,"WGS84",0.3,"2013-07-29",1,"DIV.DSNY.2013.1","Y","litter",50,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"2C9E57B8549840BFAFA5F2EC17C3DAF8","D03","DSNY",,"32.2.1",28.118519,-81.435051,"WGS84",0.4,"2013-07-29",1,"DIV.DSNY.2013.1","Y","wood",1,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"F945684CF7374D27AD9C84A6E99F6DDC","D03","DSNY",,"32.2.1",28.118519,-81.435051,"WGS84",0.4,"2013-07-29",1,"DIV.DSNY.2013.1","Y","overstory",80,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"648799CEB5A6407F8493D85DA27E618C","D03","DSNY",,"40.1.1",28.118591,-81.435258,"WGS84",0.3,"2013-07-29",1,"DIV.DSNY.2013.1","Y","wood",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"BB98C7B53A1441EEA849EBFBCB080973","D03","DSNY",,"40.1.1",28.118591,-81.435258,"WGS84",0.3,"2013-07-29",1,"DIV.DSNY.2013.1","Y","soil",3,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"B1D5FDC56EFF4B5AB114489C35E9FCC1","D03","DSNY",,"40.3.1",28.118672,-81.435259,"WGS84",0.3,"2013-07-29",1,"DIV.DSNY.2013.1","Y","soil",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"1BF5B847E423484BA18DD24C96A7F2B1","D03","DSNY",,"40.3.1",28.118672,-81.435259,"WGS84",0.3,"2013-07-29",1,"DIV.DSNY.2013.1","Y","wood",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"78DE3AB7BB1645E99583C03358A79D64","D03","DSNY",,"41.1.1",28.118595,-81.435156,"WGS84",0.3,"2013-07-29",1,"DIV.DSNY.2013.1","Y","soil",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
