"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","nlcdClass","elevation","elevationUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF"
"50FC59FB420C4B2F9C577A7FCECB15EA","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","DIST5","Dichanthelium strigosum (Muhl. ex Elliott) Freckmann","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"F5A49FFA6D4A48398F4D8875FCC5831B","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","DIDIE","Dichanthelium dichotomum (L.) Gould var. ensifolium (Baldw. ex Elliott) Gould & C.A. Clark","variety",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,"Dichanthelium chamaelonche",0,0,0
"7171AF56C6034A0C9353A62FB45667AE","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","2PLANT","Unknown plant","kingdom",,"Hairy Rosmary","NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"29CE1F97B37B4BC8A02A2B357FB95627","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","BUCI","Bulbostylis ciliatifolia (Elliott) Fernald","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"6E17C929E30F4B07B1C1D98E771AD6D4","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","CHNI2","Chamaecrista nictitans (L.) Moench","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"FDCB636E89AA46CAA70971D5A9C879C2","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","STSY","Stillingia sylvatica L.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"DA39EC7BA24C429485913F3D4784B2AE","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","ARSP3","Aristida spiciformis Elliott","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"DCCDE23B1C6B4F148D2323E39AFE7FFB","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","2PLANT","Unknown plant","kingdom",,"Mellow Stem","NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"8E184AC4057C4A8D9FE8C5188BAC7D3F","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","QUERC","Quercus sp.","genus",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"29C394B188E5453E8DC1A3A5B21EEA37","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","2PLANT","Unknown plant","kingdom",,"Green Waxy Rosette","NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"B74EF3F906D34D4DB3239A21BF1BC23B","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","2PLANT","Unknown plant","kingdom",,"Five Leaf Legume","NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"D3A864E2028F4F538C9A55F1EA0C6254","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","2PLANT","Unknown plant","kingdom",,"Recurved Hairy Aster","NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"BE84BD4DF0AE49A589C8531004845D18","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","XYCA","Xyris caroliniana Walter","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"894A586E698B4ADF8ED3F6C5BA323F97","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","ASPY2","Asimina pygmea (W. Bartram) Dunal","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"5A4629603B524993B462F9604F796ADC","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","2PLANT","Unknown plant","kingdom",,"5 leaflets legum","NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"17F14A17E85342959CA5AAC1A96974A8","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","2PLANT","Unknown plant","kingdom",,"Green waxy rosette","NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"793534AC517A40588EA5D14F76A7A0A3","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","DIDI6","Dichanthelium dichotomum (L.) Gould","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"8F3BF9B13721467682082D2E856395E3","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","2PLANT","Unknown plant","kingdom",,"Petite purple bottom sedge","NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"DFB0BA5C26D644469B8367DFCB561AD1","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","GAVO","Galactia volubilis (L.) Britton","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"8435C4F081CE4A77ADEAAA68E493A785","D03","DSNY",,,,,,"woodyWetlands",,,"2013-07-29",1,"DIV.DSNY.2013.1","Y","MAPIP4","Machaeranthera pinnatifida (Hook.) Shinners ssp. pinnatifida var. pinnatifida","variety",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
