"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","morphospeciesIDRemarks","taxonIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF","duplicateTaxonIDPerBout100m2QF"
"A799B3291EE64862B1F9AA07D63A2233","D03","JERC",,"41",31.178511,-84.469893,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","VAST","Vaccinium stamineum L.","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"8C734D1B05844A6A8E8B8398587D936B","D03","JERC",,"41",31.178511,-84.469893,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","SAAL21","Saccharum alopecuroides (L.) Nutt.","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"5FA782931B1842C799B17B768C38FF99","D03","JERC",,"41",31.178511,-84.469893,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","SOOD","Solidago odora Aiton","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"0A2D38B6E93940CF826806225E0C4BC3","D03","JERC",,"41",31.178511,-84.469893,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","SYDU2","Symphyotrichum dumosum (L.) G.L. Nesom","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"F04A7D500A0C44E4A26D15E8B262A2D1","D03","JERC",,"41",31.178511,-84.469893,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","VAAR","Vaccinium arboreum Marshall","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"9994118B8122426AA4535D2570216844","D03","JERC",,"41",31.178511,-84.469893,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","POPO","Polygala polygama Walter","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"842CA470812A4F9D9AEEA22AC4314ACD","D03","JERC",,"41",31.178511,-84.469893,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","RHCO","Rhus copallinum L.","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"EF44A40D45334F858EDD747644782DF4","D03","JERC",,"41",31.178511,-84.469893,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","RHTO3","Rhynchosia tomentosa (L.) Hook. & Arn.","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"BC03A969DDD048BF862C8E90FB2F3883","D03","JERC",,"41",31.178511,-84.469893,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","HEAN2","Helianthus angustifolius L.","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"6F1C6B3E4103400D9EEDC5752ECC2A60","D03","JERC",,"41",31.178511,-84.469893,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","HYMU","Hypericum mutilum L.","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"24D5E397D4B340958E64B69C637EF3CD","D03","JERC",,"41",31.178511,-84.469893,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","MUCA2","Muhlenbergia capillaris (Lam.) Trin.","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"086A8BB6005E434D9A0B6454BA0DDE1B","D03","JERC",,"41",31.178511,-84.469893,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","PIPA2","Pinus palustris Mill.","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"DA0AF46719A0458DBDD078FEE9AFDAEB","D03","JERC",,"41",31.178511,-84.469893,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","CRFL2","Crataegus flava Aiton","species","cf. species",,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"A95B6E85CA214F31A8BFC2B14F1FA168","D03","JERC",,"41",31.178511,-84.469893,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","DICO2","Dichanthelium commutatum (Schult.) Gould","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"25E34ACEFF174503BD50ECC4EF731325","D03","JERC",,"41",31.178511,-84.469893,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","EUCO7","Eupatorium compositifolium Walter","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"F45C53176F4D460DBA31FAE8AFBC61BD","D03","JERC",,"40",31.178512,-84.469999,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","QUNI","Quercus nigra L.","species","cf. species",,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"CFB407AC17EE4DC0A1FC6E64DF9A5F6B","D03","JERC",,"40",31.178512,-84.469999,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","RHHA","Rhynchospora harveyi W. Boott","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"9FFFEE3AC3CD4548AC122E0EF749E91D","D03","JERC",,"40",31.178512,-84.469999,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","RUAR2","Rubus argutus Link","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"AE336CC8410247CBB29FE14CE87D43E9","D03","JERC",,"41",31.178511,-84.469893,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","CHNI2","Chamaecrista nictitans (L.) Moench","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"3F2BFC756D11400B9CA3E52C38925DC0","D03","JERC",,"40",31.178512,-84.469999,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","HOPR","Houstonia procumbens (Walter ex J.F. Gmel.) Standl.","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"7EF28A28576143C19DDF7A2D41EE5232","D03","JERC",,"40",31.178512,-84.469999,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","MIQU2","Mimosa quadrivalvis L.","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"BCA23D3A14D6440BB92F1EAC73FAD065","D03","JERC",,"40",31.178512,-84.469999,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","PIGR4","Pityopsis graminifolia (Michx.) Nutt.","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"3B4EB78EF13E4344A2156C0AB8B36A26","D03","JERC",,"40",31.178512,-84.469999,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","CHNI2","Chamaecrista nictitans (L.) Moench","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
"E3327D9EB0354A34A5DAE1C1F2EFF872","D03","JERC",,"40",31.178512,-84.469999,"WGS84",2.2,"2014-06-02",1,"DIV.JERC.2014.1","Y","DELI2","Desmodium lineatum DC.","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0,0,0
