"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","percentCover","heightPlantOver300cm","heightPlantSpecies","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","duplicateTaxonIDBoutPer1m2QF","missingRecords1m2QF"
"77D1AAD2F3524D99A80293297E986E14","D03","JERC",,"41.4.1",31.178553,-84.469849,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","CLMA4","Clitoria mariana L.","species",,,2,"N",65.0,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0
"3873BC63868D4E28A021643357668DAC","D03","JERC",,"41.4.1",31.178553,-84.469849,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","TOPU2","Toxicodendron pubescens Mill.","species",,,6,"N",18.0,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0
"24018143F00845219E3E973BC9A9378D","D03","JERC",,"41.4.1",31.178553,-84.469849,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","ANVI2","Andropogon virginicus L.","species",,,2,"N",24.0,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0
"CDEE758E5C6B4091817107536B49329B","D03","JERC",,"41.4.1",31.178553,-84.469849,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","VAST","Vaccinium stamineum L.","species",,,10,"N",33.0,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0
"A0EAFF6D8524428D84CEB85CEFCCF593","D03","JERC",,"41.1.1",31.178471,-84.469941,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","RUAR2","Rubus argutus Link","species",,,10,"N",31.0,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0
"51FC8C4982FA4263A6E8D093C914F137","D03","JERC",,"41.4.1",31.178553,-84.469849,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","QUFA","Quercus falcata Michx.","species",,,70,"N",215.0,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0
"BC4483B174474E9C9A1AF2E2C8CCCAAA","D03","JERC",,"41.4.1",31.178553,-84.469849,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","HEAN2","Helianthus angustifolius L.","species",,,2,"N",36.0,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0
"714686E23EC442A1A9BCAC70B5653BFB","D03","JERC",,"41.4.1",31.178553,-84.469849,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","CHNI2","Chamaecrista nictitans (L.) Moench","species",,,0.5,"N",22.0,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0
"E5A2EC479F37449AB15542E5076BA788","D03","JERC",,"41.1.1",31.178471,-84.469941,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","PIGR4","Pityopsis graminifolia (Michx.) Nutt.","species",,,30,"N",5.0,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0
"3A98C4462E694D778AAEC290087BF187","D03","JERC",,"41.1.1",31.178471,-84.469941,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","RHHA","Rhynchospora harveyi W. Boott","species",,,0.5,"N",24.0,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,,,0,0
