"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","otherVariablesPresent","otherVariables","percentCover","samplingProtocol","measuredBy","recordedBy","remarks","duplicateVariablesBout1m2QF"
"6CBF5E5831E6427E8C9418814981FDFC","D03","JERC",,"32.2.1",31.178382,-84.469845,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","wood",0.5,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"DD289F8C28B34151BE5AA87EB42B2725","D03","JERC",,"32.2.1",31.178382,-84.469845,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","standingDead",25,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"FB92BC11AC5E4157830B0E3ABD01589E","D03","JERC",,"32.2.1",31.178382,-84.469845,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","moss",0.5,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"1B490B11F3334C28AA9844D17E930E5F","D03","JERC",,"32.2.1",31.178382,-84.469845,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","soil",0.5,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"C099FF6796304AE2AE7E1691606E8210","D03","JERC",,"32.4.1",31.178463,-84.469843,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","moss",0.5,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"165DA73D2B0843888AF96139D3C97273","D03","JERC",,"31.4.1",31.178462,-84.469952,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","litter",12,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"591C80D1E7AE430B9245E40320A1BDD1","D03","JERC",,"31.4.1",31.178462,-84.469952,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","standingDead",10,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"059E91045236449CAA93A6C4C9282E81","D03","JERC",,"32.2.1",31.178382,-84.469845,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","lichen",0.5,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"70A1CB99AF99436095763A63627E2F0C","D03","JERC",,"32.2.1",31.178382,-84.469845,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","litter",3,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"4F6920FAC2C24DF8B02F00677FA45E4D","D03","JERC",,"32.2.1",31.178382,-84.469845,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","otherNonVascular",0.5,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"C679FEBBFEAC49F4A861441049B86C4C","D03","JERC",,"31.1.1",31.178383,-84.470045,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","standingDead",3,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"68DBCABE67684B0786DD0B276B6740FE","D03","JERC",,"31.1.1",31.178383,-84.470045,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","litter",92,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"878E11995DEE43DA8879222EC31384C1","D03","JERC",,"31.4.1",31.178462,-84.469952,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","soil",2,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"F9DF795648DA4500938396A57313B6E8","D03","JERC",,"31.4.1",31.178462,-84.469952,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","wood",0.5,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"B8D7BFF3C95D48C0866D6DF633E710E1","D03","JERC",,"41.1.1",31.178471,-84.469941,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","litter",25,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"C00B876CE7F34B7E987B7CA063A0E156","D03","JERC",,"41.4.1",31.178553,-84.469849,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","wood",0.5,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"18E1E299C009446B8E9B9C12F9C30C96","D03","JERC",,"41.4.1",31.178553,-84.469849,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","litter",15,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"E8C164CD74DD4B69AE1F44119E08C585","D03","JERC",,"41.4.1",31.178553,-84.469849,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","standingDead",0.5,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"0BC7E8872291486FA56615B8901C6472","D03","JERC",,"31.1.1",31.178383,-84.470045,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","wood",2,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"1F74089D492B4EFEBB60A0FA4DAAAE0C","D03","JERC",,"40.3.1",31.178554,-84.470045,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","soil",0.5,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"526DE6FCB0164B83B542BC55C2B4468C","D03","JERC",,"40.3.1",31.178554,-84.470045,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","standingDead",2,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"E3AD2CBEDB4043E68625141EDC68DAF4","D03","JERC",,"41.1.1",31.178471,-84.469941,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","standingDead",1,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
"60E84E9990D1401181A75ACE41AE7B0F","D03","JERC",,"41.1.1",31.178471,-84.469941,"WGS84",0.4,"2014-06-02",1,"DIV.JERC.2014.1","Y","soil",4,"NEON.DOC.014042","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w","IwqbUz4V0zAQVomu45pENzGnZl3VmnU+",,0
