"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","nlcdClass","elevation","elevationUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF"
"B1750E8762DF403287544384F1326281","D03","JERC",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.JERC.2014.1","Y","SCCI","Scleria ciliata Michx.","species","cf. species",,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
"6E9CB2AA614F4A08A5B376C11FCCD16B","D03","JERC",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.JERC.2014.1","Y","ANVI2","Andropogon virginicus L.","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
"1A139CCAAB5F4A358DD727C54520D53C","D03","JERC",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.JERC.2014.1","Y","ALETR","Aletris sp.","genus",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
"4C774864088643E584B0932B66994BC3","D03","JERC",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.JERC.2014.1","Y","DIST5","Dichanthelium strigosum (Muhl. ex Elliott) Freckmann","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
"17325C57DD3A41E1ADF28628AC368965","D03","JERC",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.JERC.2014.1","Y","DICO2","Dichanthelium commutatum (Schult.) Gould","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
"6FF5A0DE4D994C1AA6F9287600D05011","D03","JERC",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.JERC.2014.1","Y","QUGE2","Quercus geminata Small","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
"81A2274114E94F7D880C300A1253A978","D03","JERC",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.JERC.2014.1","Y","SOOD","Solidago odora Aiton","species","cf. species",,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
"6F8BA1FFECA6451080B9BF79988C6C4F","D03","JERC",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.JERC.2014.1","Y","RHRE","Rhynchosia reniformis DC.","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
"E1F137E47E7B4ADBBB05A3B1CCB24974","D03","JERC",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.JERC.2014.1","Y","QUFA","Quercus falcata Michx.","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
"24E795D6624048D5924425EC51713331","D03","JERC",,,,,,"evergreenForest",,,"2014-06-02",1,"DIV.JERC.2014.1","Y","CHNI2","Chamaecrista nictitans (L.) Moench","species",,,"NEON.DOC.014042",,"LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,,,0,0,0
