"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","morphospeciesIDRemarks","taxonIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF","duplicateTaxonIDPerBout100m2QF"
"3F658C6607BD43928A29DC5B8400CBC6","D05","UNDE",,"41",46.227944,-89.537067,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","FRPE","Fraxinus pennsylvanica Marshall","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0,0
"2B38FF4FFA574A9E9DFDFFA55ABA9091","D05","UNDE",,"41",46.227944,-89.537067,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","LAMIAC","Lamiaceae sp.","family",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0,0
"84F057AA95FA414DA2387F79F36DA8E6","D05","UNDE",,"41",46.227944,-89.537067,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","OSVI","Ostrya virginiana (Mill.) K. Koch","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0,0
"FF82045533CA44C9900A996BE4716509","D05","UNDE",,"41",46.227944,-89.537067,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","VEOF2","Veronica officinalis L.","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0,0
"90A34F6E54C841968C2EA8A20844D6E0","D05","UNDE",,"41",46.227944,-89.537067,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","COAL2","Cornus alternifolia L. f.","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0,0
"2033874E47AA415CA12F5DF076FEC3C2","D05","UNDE",,"41",46.227944,-89.537067,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ARTR","Arisaema triphyllum (L.) Schott","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0,0
"55C815DD6F664810879A9215EDD6A686","D05","UNDE",,"41",46.227944,-89.537067,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","DRYOPSPP","Dryopteris spp.","genus","cf. genus",,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,"similar to ATFI",,0,0,0,0
"FADCAC5E5ACA4FD991AB5F08104AFF1D","D05","UNDE",,"40",46.227937,-89.537178,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","LAMIAC","Lamiaceae sp.","family",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0,0
"30AF09CE7B614C9FB918C54792EAE4CC","D05","UNDE",,"40",46.227937,-89.537178,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","POPULSPP","Populus spp.","genus",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,"POTR5/POGR4",,0,0,0,0
"EFF1DB59A52D42B4AE8134000120C6F7","D05","UNDE",,"40",46.227937,-89.537178,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","VEOF2","Veronica officinalis L.","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0,0
"7537299A67AB494E97CCA3DC9B069B2F","D05","UNDE",,"41",46.227944,-89.537067,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","CASP14","Calystegia spithamaea (L.) Pursh","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0,0
"E0344683B15044FF96CD74ED3A690ED4","D05","UNDE",,"40",46.227937,-89.537178,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ARTR","Arisaema triphyllum (L.) Schott","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0,0
"82996FA84BDC469C8F1D3450BB332397","D05","UNDE",,"40",46.227937,-89.537178,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","CYPERA","Cyperaceae sp.","family",,"Pintop","NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0,0
"0B7442C77E10497C834139159D16B7B4","D05","UNDE",,"40",46.227937,-89.537178,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","FRAM2","Fraxinus americana L.","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0,0
"17F9ADF6CA91444CA00731B5A89AACFA","D05","UNDE",,"40",46.218579,-89.507973,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0,0
"E499A188E9384FD1AD0AEAB00B080F9E","D05","UNDE",,"40",46.218579,-89.507973,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","LYAN2","Lycopodium annotinum L.","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0,0
"89734913BE124612907FE112B7175E66","D05","UNDE",,"41",46.218575,-89.507838,"WGS84",2.1,"2014-06-11",1,"DIV.UNDE.2014.1","Y","LYAN2","Lycopodium annotinum L.","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0,0
"C1E206072CC44EB4A1ED6DDBBAA6EE7B","D05","UNDE",,"41",46.218575,-89.507838,"WGS84",2.1,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0,0
"72079E49E370491EB7381128D7E04A99","D05","UNDE",,"40",46.218579,-89.507973,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","FRPE","Fraxinus pennsylvanica Marshall","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0,0
"14077E1844AE4042B04F7647EE928863","D05","UNDE",,"40",46.218579,-89.507973,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","TSCA","Tsuga canadensis (L.) Carrière","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0,0
"C4356A8992C44B9680567BD97021C7E9","D05","UNDE",,"40",46.218579,-89.507973,"WGS84",2.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ABBA","Abies balsamea (L.) Mill.","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0,0
