"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","duplicateTaxonIDPerBout10m2QF"
"17CB893A2DCD476E88A5F030CD1D5399","D05","UNDE",,"41.4.10",46.218609,-89.507772,"WGS84",1.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","FRPE","Fraxinus pennsylvanica Marshall","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0
"DCC15EB8A93A492B9208E324FA925849","D05","UNDE",,"41.4.10",46.218609,-89.507772,"WGS84",1.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","MARA7","Maianthemum racemosum (L.) Link","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0
"163183909D324515A3BE8DF8C30FFC2D","D05","UNDE",,"41.1.10",46.218544,-89.507881,"WGS84",1.1,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0
"93FBB32DCF9C4E06AD342C278A41ABFB","D05","UNDE",,"41.4.10",46.218609,-89.507772,"WGS84",1.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ABBA","Abies balsamea (L.) Mill.","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0
"A954FDE7B75E48D684D487A37E639A9A","D05","UNDE",,"41.4.10",46.218609,-89.507772,"WGS84",1.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","DRYOPSPP","Dryopteris spp.","genus","cf. genus",,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","similar to ATFI",,,0,0,0
"4CDD351BE2354BDCAB71903EBC4B0E58","D05","UNDE",,"41.4.10",46.218609,-89.507772,"WGS84",1.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACRU","Acer rubrum L.","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0
"DA1A3CD3ADFA455BBB45A4BCBCBB77F2","D05","UNDE",,"40.3.10",46.218609,-89.508019,"WGS84",1.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACRU","Acer rubrum L.","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0
"3CCE4CFD2F9E4C04A9000EBDE61B2709","D05","UNDE",,"40.3.10",46.218609,-89.508019,"WGS84",1.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","LYAN2","Lycopodium annotinum L.","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0
"DBC9A6C3C3744AD196C1F9417754E0E0","D05","UNDE",,"41.1.10",46.218544,-89.507881,"WGS84",1.1,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ABBA","Abies balsamea (L.) Mill.","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0
"98BB8205AC85451A92A63652DF840AF8","D05","UNDE",,"41.1.10",46.218544,-89.507881,"WGS84",1.1,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACRU","Acer rubrum L.","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0
"65EDD40F10684092B1414882FD8B423F","D05","UNDE",,"40.1.10",46.218547,-89.508016,"WGS84",1.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","DRYOPSPP","Dryopteris spp.","genus","cf. genus",,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","similar to ATFI",,,0,0,0
"3011FBC89FED483D893CA7EF992C424B","D05","UNDE",,"40.1.10",46.218547,-89.508016,"WGS84",1.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0
"FDBC14D8086E461893C93100847E75FE","D05","UNDE",,"40.3.10",46.218609,-89.508019,"WGS84",1.2,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ABBA","Abies balsamea (L.) Mill.","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0,0
