"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","percentCover","heightPlantOver300cm","heightPlantSpecies","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","duplicateTaxonIDBoutPer1m2QF","missingRecords1m2QF"
"2111F3A6BFD643FAAF146FA39ACC0308","D05","UNDE",,"41.4.1",46.218619,-89.507758,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","FRPE","Fraxinus pennsylvanica Marshall","species",,,1,"N",17.0,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0
"0B942637137540B1BF1374B54B879970","D05","UNDE",,"40.3.1",46.218618,-89.508033,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","MACA4","Maianthemum canadense Desf.","species",,,1,"N",5.0,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0
"0A82ACBA771E48A8B7E53DECA2FBFA28","D05","UNDE",,"40.3.1",46.218618,-89.508033,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,4,"N",17.0,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0
"E5BC211277DE44618C7655EF17F2D905","D05","UNDE",,"41.1.1",46.218533,-89.507895,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","MACA4","Maianthemum canadense Desf.","species",,,2,"N",12.0,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0
"2460896D456F4DC3BC828114AE4B45B3","D05","UNDE",,"41.4.1",46.218619,-89.507758,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACRU","Acer rubrum L.","species",,,1,"N",20.0,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0
"14593E218300480697DA81347AEF346D","D05","UNDE",,"32.2.1",46.218440,-89.507797,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,1,"N",20.0,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0
"1B8D438A8F654EB6997A88E3B2B26946","D05","UNDE",,"40.1.1",46.218537,-89.508029,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACRU","Acer rubrum L.","species",,,1,"N",17.0,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0
"89F5B0A0F63D44979B2B4223C4063435","D05","UNDE",,"40.1.1",46.218537,-89.508029,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,3,"N",25.0,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0
"85003E2B301A4D52A2DBD7CE43816BAA","D05","UNDE",,"31.1.1",46.218440,-89.508023,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","CAPE6","Carex pensylvanica Lam.","species","cf. species",,1,"N",17.0,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0
"1CC30D33BEAB4FDD80AE6E9FE436468A","D05","UNDE",,"31.1.1",46.218440,-89.508023,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","MACA4","Maianthemum canadense Desf.","species",,,2,"N",5.0,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0
"1DF1347DF87741D1850398090FF00C1E","D05","UNDE",,"31.1.1",46.218440,-89.508023,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACRU","Acer rubrum L.","species",,,5,,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0
"1894A894ABE24359987FEF8EED0CC2C8","D05","UNDE",,"31.4.1",46.218524,-89.507907,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","MACA4","Maianthemum canadense Desf.","species",,,1,"N",4.0,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0
"60BC05BB42C042F393DDBD63C5529419","D05","UNDE",,"41.4.1",46.218619,-89.507758,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,2,"N",15.0,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0
"1E3EBFD5C9C34E4D863F1C6D8DBC7D6F","D05","UNDE",,"31.1.1",46.227793,-89.537240,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,4,"N",14.0,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0
"FB9DA7D4EB704DBF8850F6FC0F52DAC2","D05","UNDE",,"31.4.1",46.227893,-89.537136,"WGS84",0.5,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,4,"N",12.0,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0
"C505D614023540ECBD68ECDBC1E8575A","D05","UNDE",,"41.1.1",46.218533,-89.507895,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,9,"N",27.0,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0
"A1777A6004EC44E6986236B41F20DBBB","D05","UNDE",,"41.4.1",46.218619,-89.507758,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","MARA7","Maianthemum racemosum (L.) Link","species",,,2,"N",15.0,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0
"0A8C0B6C962741CE976D89A03C7FE304","D05","UNDE",,"41.4.1",46.218619,-89.507758,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","MACA4","Maianthemum canadense Desf.","species",,,0.5,"N",4.0,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0
"221521FFD3C34DFABB23BD9D09B33DD3","D05","UNDE",,"32.4.1",46.218520,-89.507800,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,0.5,"N",6.0,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,,,0,0
