"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","otherVariablesPresent","otherVariables","percentCover","samplingProtocol","measuredBy","recordedBy","remarks","duplicateVariablesBout1m2QF"
"8EE7693BC57749089F5BCDD41E4447BA","D05","UNDE",,"31.4.1",46.227893,-89.537136,"WGS84",0.5,"2014-06-11",1,"DIV.UNDE.2014.1","Y","standingDead",0.5,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"1F37E1C8646444ABB4D2CADC10F4AA0A","D05","UNDE",,"31.4.1",46.227893,-89.537136,"WGS84",0.5,"2014-06-11",1,"DIV.UNDE.2014.1","Y","moss",7,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"20CCCFBAFEC246FCB473020BB5DFDC21","D05","UNDE",,"31.4.1",46.227893,-89.537136,"WGS84",0.5,"2014-06-11",1,"DIV.UNDE.2014.1","Y","overstory",95,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"0ABEE2202E0044CF9D10373159848DB7","D05","UNDE",,"32.2.1",46.227806,-89.537005,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","overstory",95,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"9BF65C18E4FC4DE3818BBB6F669CF5C6","D05","UNDE",,"32.2.1",46.227806,-89.537005,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","wood",10,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"4EBC93131C20429484F24516276CD5C7","D05","UNDE",,"31.1.1",46.227793,-89.537240,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","standingDead",0.5,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"432731BC265E47A6BB10EB5D31412509","D05","UNDE",,"31.4.1",46.227893,-89.537136,"WGS84",0.5,"2014-06-11",1,"DIV.UNDE.2014.1","Y","soil",20,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"CBB3D32797AD4DC4A86E83D5156B5625","D05","UNDE",,"31.4.1",46.227893,-89.537136,"WGS84",0.5,"2014-06-11",1,"DIV.UNDE.2014.1","Y","litter",25,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"2CF8361918EE41D08CA654CA1C63E420","D05","UNDE",,"31.4.1",46.227893,-89.537136,"WGS84",0.5,"2014-06-11",1,"DIV.UNDE.2014.1","Y","rock",0.5,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"02612BC14F154D4B96A8B72918C32577","D05","UNDE",,"31.4.1",46.227893,-89.537136,"WGS84",0.5,"2014-06-11",1,"DIV.UNDE.2014.1","Y","wood",2,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"65F564C969814D06B91B9E001FBEC9EA","D05","UNDE",,"31.1.1",46.227793,-89.537240,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","wood",37,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"B7B1766B4362464D80C3AC4C5AE56E81","D05","UNDE",,"31.1.1",46.227793,-89.537240,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","soil",2,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"74F0ABE4E15246378505F98233B1FF3C","D05","UNDE",,"31.1.1",46.227793,-89.537240,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","lichen",0.5,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"574F9FBA19A140C08B3F40C2AB90A116","D05","UNDE",,"31.1.1",46.227793,-89.537240,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","litter",50,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"4A9A81DFDCA6448F8DA6AE8957C9E84A","D05","UNDE",,"31.1.1",46.218440,-89.508023,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","moss",10,"NEON.DOC.014042","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,0
"ABF346BBEBAE4FBFB59538772F423E83","D05","UNDE",,"31.1.1",46.218440,-89.508023,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","lichen",0.5,"NEON.DOC.014042","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,0
"C18C87912208476FB0D6F86C7BADED24","D05","UNDE",,"31.1.1",46.218440,-89.508023,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","standingDead",0.5,"NEON.DOC.014042","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,0
"77C9309B95C842008B8C608FA3940322","D05","UNDE",,"31.4.1",46.218524,-89.507907,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","litter",84,"NEON.DOC.014042","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,0
"14CE885DA16F4F93A3241CDB8B28B3CC","D05","UNDE",,"31.1.1",46.227793,-89.537240,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","overstory",80,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"C828C7FDF336496E9270E3B4ED753702","D05","UNDE",,"41.4.1",46.218619,-89.507758,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","overstory",40,"NEON.DOC.014042","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,0
"E43F3A670D5B4B848234AEE1139B558E","D05","UNDE",,"41.4.1",46.218619,-89.507758,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","wood",2,"NEON.DOC.014042","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,0
"29FE06962510494AA4255F92A418A781","D05","UNDE",,"41.4.1",46.218619,-89.507758,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","standingDead",0.5,"NEON.DOC.014042","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,0
"D7662D4875804D4BA81288F9933EA820","D05","UNDE",,"41.4.1",46.218619,-89.507758,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","moss",0.5,"NEON.DOC.014042","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,0
"256149DB50E84C40AA0EE2C75326AA7C","D05","UNDE",,"41.1.1",46.227902,-89.537124,"WGS84",0.5,"2014-06-11",1,"DIV.UNDE.2014.1","Y","litter",70,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"FBF2672014514C828566B925EAAA8FDB","D05","UNDE",,"41.4.1",46.227986,-89.536991,"WGS84",0.5,"2014-06-11",1,"DIV.UNDE.2014.1","Y","overstory",95,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"D93201A551F542C7855DA7B252295B73","D05","UNDE",,"41.4.1",46.227986,-89.536991,"WGS84",0.5,"2014-06-11",1,"DIV.UNDE.2014.1","Y","wood",15,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"C8B220E62F244696AA66035F0156785C","D05","UNDE",,"41.1.1",46.218533,-89.507895,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","soil",9,"NEON.DOC.014042","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,0
"40E3ECA0216547BFB547AB5294997D9D","D05","UNDE",,"41.1.1",46.218533,-89.507895,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","overstory",95,"NEON.DOC.014042","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,0
"55CC838AA5C04E82B43203A4DE3CC0A6","D05","UNDE",,"40.3.1",46.227977,-89.537238,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","moss",1,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"B3E1A48948D341BBA78861A9D5EC5EFF","D05","UNDE",,"40.3.1",46.227977,-89.537238,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","wood",8,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"F5B059C0270B4930A1216D2F7C510D7F","D05","UNDE",,"41.1.1",46.227902,-89.537124,"WGS84",0.5,"2014-06-11",1,"DIV.UNDE.2014.1","Y","soil",15,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"35118CCCBBF340F69AE3FB89FCD93D65","D05","UNDE",,"41.1.1",46.227902,-89.537124,"WGS84",0.5,"2014-06-11",1,"DIV.UNDE.2014.1","Y","rock",0.5,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"06FD945C9FB1493F9B0BA9A970783999","D05","UNDE",,"32.4.1",46.227887,-89.537008,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","wood",1,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"FC7E0A9F547541148D91AF927A3EB0BC","D05","UNDE",,"40.1.1",46.227896,-89.537235,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","soil",5,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"A49A1C5AF3C7476AA4C81DCB249B94F4","D05","UNDE",,"40.1.1",46.227896,-89.537235,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","standingDead",0.5,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"FD43BA45161D47A0B6A2B5357A85BF94","D05","UNDE",,"40.1.1",46.227896,-89.537235,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","overstory",98,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"C10D97FF159D4108B512B0238B42B2AD","D05","UNDE",,"40.3.1",46.227977,-89.537238,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","rock",0.5,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"4B35A252FF5A40318DD50AA0C3155DC1","D05","UNDE",,"32.2.1",46.218440,-89.507797,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","standingDead",0.5,"NEON.DOC.014042","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,0
"C3163B35C2C34679ADB066AABF839342","D05","UNDE",,"32.2.1",46.227806,-89.537005,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","rock",0.5,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"775C72D4F9DA4D86B2E3D701003F1498","D05","UNDE",,"32.2.1",46.227806,-89.537005,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","moss",0.5,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"EA02234919BE495AB690BE39C6FE1161","D05","UNDE",,"32.4.1",46.227887,-89.537008,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","overstory",92,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"3ACF983E2CA94A8C8DDB0ED18D51B6A3","D05","UNDE",,"32.4.1",46.227887,-89.537008,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","soil",0.5,"NEON.DOC.014042","jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"231DE1BA70844A6F9E0D17F0139E4E01","D05","UNDE",,"31.4.1",46.218524,-89.507907,"WGS84",0.4,"2014-06-11",1,"DIV.UNDE.2014.1","Y","soil",4,"NEON.DOC.014042","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8",,0
