"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","nlcdClass","elevation","elevationUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF"
"1037FE574AD5439BBC0B6F5F5BDA4D3C","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ARTR","Arisaema triphyllum (L.) Schott","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"5567C6E3D3A749ED9276A181AC4C586B","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","CAREX","Carex sp.","genus",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"F56BC329EF874B57B93BE1A8FB6B59FA","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","GALIU","Galium sp.","genus",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","GATR2/GATR3",,,0,0,0
"76324C6EF16F4F8A895E3000760B472A","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACPA","Actaea pachypoda Elliott","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"BF5A42A0D51246BB93FDA40CBE117F38","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","RANUN","Ranunculus sp.","genus","cf. genus",,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","Misidentified as Geum originally",,,0,0,0
"BE150907D650470098B0B4A8F4C03C94","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","MARA7","Maianthemum racemosum (L.) Link","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"F2575D4989504724BB58C46B344AE01F","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","PRSE2","Prunus serotina Ehrh.","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"016A3F144BD24FCBA0EB014313C45DED","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","CYPERA","Cyperaceae sp.","family",,"Pintop","NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"28BB5A26285B4D44BF2A18ADD6330084","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","CAREX","Carex sp.","genus",,"Spiggle","NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"3BF83D7CD02044688561F0AA4BC381F8","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","LONICSPP","Lonicera spp.","genus","cf. genus",,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"FF9FFDA6371148AAA5FE5465122805D7","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","EUMA27","Eurybia macrophylla (L.) Cass.","species","cf. species",,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"7DCB546454704FBB862FF89D68C3C25E","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","PHCO24","Phegopteris connectilis (Michx.) Watt","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"78D80F97E51642AE9D9244EF66621EC6","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","HIAU","Hieracium aurantiacum L.","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"B978832A2BA847DD85731D3D9D445D61","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","LAMIAC","Lamiaceae sp.","family","cf. family",,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"92CBFEB99B3C4ABCBF61424C5AF03B44","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","VEOF2","Veronica officinalis L.","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"EC4AEBAE48D049E18D50EEF5EADAA5EF","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","CAPE6","Carex pensylvanica Lam.","species","cf. species",,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"56CBF98FA39D4CFABD41B6C1D7ADB62E","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","RIBES","Ribes sp.","genus",,"Rybert","NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"FDAC3DF9E1EC4773AF36187FBE71C88F","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","POPULSPP","Populus spp.","genus",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","POTR5/POGR4",,,0,0,0
"928456BD123F49FAA0A5C46EEC4745E9","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","COAL2","Cornus alternifolia L. f.","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"F35D953E23284FE09C134353A2180D8A","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","LONIC","Lonicera sp.","genus","cf. genus",,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"5636DC9BF8ED4B0DA7515B46C7CD8893","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","2PLANT","Unknown plant","kingdom",,"Woody Ned","NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"004EC8808F4D4FD9A0CCB33E6C72DDF2","D05","UNDE",,,,,,"mixedForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","LYAN2","Lycopodium annotinum L.","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0
"38D668FA1523452DA24165ABF2AF8767","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","PRVI","Prunus virginiana L.","species","cf. species",,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"D69154D0869149509DB8AE6E6E8A20C8","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ABBA","Abies balsamea (L.) Mill.","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"CD920F2AD1CD43A797AF2052241A5F87","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","CASP14","Calystegia spithamaea (L.) Pursh","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"4E3B8478E65344A788464BBDA4AE8DDF","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","DIPA9","Dirca palustris L.","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"CA1E5736405C417B8A60D5E290DBB65D","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","TAOF","Taraxacum officinale F.H. Wigg.","species","cf. species",,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"CF65F9E26C804D588F37005A720FE3C2","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","OSVI","Ostrya virginiana (Mill.) K. Koch","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"89B21BDF624849CAB9C2B0BF910D0C67","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","DRYOPSPP","Dryopteris spp.","genus","cf. genus",,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","similar to ATFI",,,0,0,0
"E748E138D4A64A2EA0FADF989F4088CA","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","POPUL","Populus sp.","genus",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n","POTR5/POGR4",,,0,0,0
"2C23E303F67041F882B84152E141ADB8","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","FRPE","Fraxinus pennsylvanica Marshall","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"CD418A7E12364FDE97DDB9669A37B31F","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"65700900E4CF4A739C19E4B8CBC89746","D05","UNDE",,,,,,"mixedForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","FRPE","Fraxinus pennsylvanica Marshall","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0
"4AE03C4EEA0240EE90B1A8769157B063","D05","UNDE",,,,,,"mixedForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0
"C567865B8E9D47D0A22E44089E2D6046","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","PIGL","Picea glauca (Moench) Voss","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"EB776F4F389C4D2EBA3F3A81BFC1199F","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","MACA4","Maianthemum canadense Desf.","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"21160A97DB4D41E8B9079483B00A65A8","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","FRAM2","Fraxinus americana L.","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"614A35B06F804BBAAC78641B3DF49E2B","D05","UNDE",,,,,,"deciduousForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","VETH","Verbascum thapsus L.","species",,,"NEON.DOC.014042",,"jcx/0sK4DAM0gl9c37LBbZs7wHhQPr1n",,,,0,0,0
"C4197A43AA174E4D99540DEF88ADB1C2","D05","UNDE",,,,,,"mixedForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","DRYOPSPP","Dryopteris spp.","genus","cf. genus",,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","similar to ATFI",,,0,0,0
"4555744C915A4B2AB4546D3E5EF1A2C7","D05","UNDE",,,,,,"mixedForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","CAREXSPP","Carex spp.","genus",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0
"6E10F3E83CC044B8AF73D291BBB7031E","D05","UNDE",,,,,,"mixedForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","MARA7","Maianthemum racemosum (L.) Link","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0
"DC33C244DAA84C9DBC39ACBF8944C0FC","D05","UNDE",,,,,,"mixedForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","DIDI6","Dichanthelium dichotomum (L.) Gould","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0
"7E0E8CE1DCC44F3BBE0C74C7257EC236","D05","UNDE",,,,,,"mixedForest",,,"2014-06-11",1,"DIV.UNDE.2014.1","Y","ARNU2","Aralia nudicaulis L.","species",,,"NEON.DOC.014042",,"pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,,,0,0,0
