"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","duplicateTaxonIDPerBout10m2QF"
"941BE7BC843F4E6080485D70536C2673","D06","UKFS",,"41.4.10",39.035277,-95.194314,"WGS84",1.2,"2015-06-08",1,"DIV.UKFS.2015.1","Y","PAQU2","Parthenocissus quinquefolia (L.) Planch.","species",,,"NEON.DOC.014042",,"IwiAeKKpgyDNoYNXo7Ff5Z9mnt7Mfl5M","B7fMha69fjYQVOb1ot6C4r/U6sfywj4h",,,,0,0,0
"0B2D592668F040448210FE54870D9300","D06","UKFS",,"41.4.10",39.035277,-95.194314,"WGS84",1.2,"2015-06-08",1,"DIV.UKFS.2015.1","Y","2PLANT","Unknown plant","kingdom",,"Torpedo nutlet sedge","NEON.DOC.014042",,"IwiAeKKpgyDNoYNXo7Ff5Z9mnt7Mfl5M","B7fMha69fjYQVOb1ot6C4r/U6sfywj4h",,,,0,0,0
"60AAA15EE16D43F3BEE6C6B28CBE1D6B","D06","UKFS",,"41.4.10",39.035277,-95.194314,"WGS84",1.2,"2015-06-08",1,"DIV.UKFS.2015.1","Y","2PLANT","Unknown plant","kingdom",,"2face grass","NEON.DOC.014042",,"IwiAeKKpgyDNoYNXo7Ff5Z9mnt7Mfl5M","B7fMha69fjYQVOb1ot6C4r/U6sfywj4h",,,,0,0,0
"6E2EDA49AA2C42FF90210F53F453F6E0","D06","UKFS",,"41.1.10",39.035214,-95.194392,"WGS84",1.1,"2015-06-08",1,"DIV.UKFS.2015.1","Y","ALLIA","Alliaria sp.","genus",,,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0,0
"7A0311CA9A4646588A7FDDBB54269674","D06","UKFS",,"41.1.10",39.035214,-95.194392,"WGS84",1.1,"2015-06-08",1,"DIV.UKFS.2015.1","Y","GAAP2","Galium aparine L.","species",,,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0,0
"FD8428E5587340AFB11E57418C3A7A72","D06","UKFS",,"41.1.10",39.035214,-95.194392,"WGS84",1.1,"2015-06-08",1,"DIV.UKFS.2015.1","Y","MOAL","Morus alba L.","species",,,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0,0
"972B226AB2354B56AE96A9D7874275AD","D06","UKFS",,"41.1.10",39.035214,-95.194392,"WGS84",1.1,"2015-06-08",1,"DIV.UKFS.2015.1","Y","SAOD","Sanicula odorata (Raf.) K.M. Pryer & L.R. Phillippe","species",,,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0,0
"F1E22E44A5B84B9A8A766BB381C3F72C","D06","UKFS",,"41.1.10",39.035214,-95.194392,"WGS84",1.1,"2015-06-08",1,"DIV.UKFS.2015.1","Y","MECA3","Menispermum canadense L.","species",,,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0,0
"4436A3732BBA4647905CD7DE3790A665","D06","UKFS",,"41.1.10",39.035214,-95.194392,"WGS84",1.1,"2015-06-08",1,"DIV.UKFS.2015.1","Y","2PLANT","Unknown plant","kingdom",,"Half-dead grass","NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0,0
"9DBF636D681E434B8EFE8942C43D34D4","D06","UKFS",,"41.1.10",39.035214,-95.194392,"WGS84",1.1,"2015-06-08",1,"DIV.UKFS.2015.1","Y","POLYG4","Polygonum sp.","genus",,,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0,0
"CA4B3759CD5C42C18D2BD4ACEBDAB7C4","D06","UKFS",,"41.1.10",39.035214,-95.194392,"WGS84",1.1,"2015-06-08",1,"DIV.UKFS.2015.1","Y","2PLANT","Unknown plant","kingdom",,"Clustered sedge","NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0,0
"AE017A1DC6EA4A1E9FA47AB5EECD730E","D06","UKFS",,"40.3.10",39.035282,-95.194504,"WGS84",1.2,"2015-06-08",1,"DIV.UKFS.2015.1","Y","SAOD","Sanicula odorata (Raf.) K.M. Pryer & L.R. Phillippe","species",,,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0,0
"C9B903CB77064039AB5783D85333F914","D06","UKFS",,"40.3.10",39.035282,-95.194504,"WGS84",1.2,"2015-06-08",1,"DIV.UKFS.2015.1","Y","VIPU3","Viola pubescens Aiton","species",,,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0,0
"8F0726CC2B43439EA44511C900576FF0","D06","UKFS",,"41.1.10",39.035214,-95.194392,"WGS84",1.1,"2015-06-08",1,"DIV.UKFS.2015.1","Y","AGAL5","Ageratina altissima (L.) R.M. King & H. Rob.","species",,,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0,0
"092DB6704C694E53B6BA8C081E385099","D06","UKFS",,"40.3.10",39.035282,-95.194504,"WGS84",1.2,"2015-06-08",1,"DIV.UKFS.2015.1","Y","2PLANT","Unknown plant","kingdom",,"2face grass","NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0,0
"38577779F0D44AED9B84C86E565E5539","D06","UKFS",,"40.3.10",39.035282,-95.194504,"WGS84",1.2,"2015-06-08",1,"DIV.UKFS.2015.1","Y","2PLANT","Unknown plant","kingdom",,"Opposite red node","NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0,0
"98F8CBCD79AA4937A919F0E7D225AC17","D06","UKFS",,"40.3.10",39.035282,-95.194504,"WGS84",1.2,"2015-06-08",1,"DIV.UKFS.2015.1","Y","AMBR2","Amphicarpaea bracteata (L.) Fernald","species",,,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0,0
"8DFBA91EA9B546C2A434556982FA8F19","D06","UKFS",,"40.3.10",39.035282,-95.194504,"WGS84",1.2,"2015-06-08",1,"DIV.UKFS.2015.1","Y","MOAL","Morus alba L.","species",,,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0,0
"A9B34E823FBD4744B568B01BB32B041A","D06","UKFS",,"31.4.10",39.035185,-95.194427,"WGS84",1.1,"2015-06-08",1,"DIV.UKFS.2015.1","Y","GALIU","Galium sp.","genus",,,"NEON.DOC.014042",,"IwiAeKKpgyDNoYNXo7Ff5Z9mnt7Mfl5M","B7fMha69fjYQVOb1ot6C4r/U6sfywj4h","giant",,,0,0,0
