"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","percentCover","heightPlantOver300cm","heightPlantSpecies","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","duplicateTaxonIDBoutPer1m2QF","missingRecords1m2QF"
"655010158CF84684BC5D59C58BAD8D47","D06","UKFS",,"41.4.1",39.035287,-95.194301,"WGS84",0.4,"2015-06-08",1,"DIV.UKFS.2015.1","Y","AGAL5","Ageratina altissima (L.) R.M. King & H. Rob.","species",,,0.5,"N",,"NEON.DOC.014042",,"IwiAeKKpgyDNoYNXo7Ff5Z9mnt7Mfl5M","B7fMha69fjYQVOb1ot6C4r/U6sfywj4h",,,,0,0
"BF54CD36591B4DCCADC323DB05137D74","D06","UKFS",,"41.4.1",39.035287,-95.194301,"WGS84",0.4,"2015-06-08",1,"DIV.UKFS.2015.1","Y","ULMUS","Ulmus sp.","genus",,,4,"N",,"NEON.DOC.014042",,"IwiAeKKpgyDNoYNXo7Ff5Z9mnt7Mfl5M","B7fMha69fjYQVOb1ot6C4r/U6sfywj4h",,,,0,0
"4910AD35251A40F69BF393E3499DCF93","D06","UKFS",,"41.4.1",39.035287,-95.194301,"WGS84",0.4,"2015-06-08",1,"DIV.UKFS.2015.1","Y","2PLANT","Unknown plant","kingdom",,"Sheath bloomer",0.5,"N",,"NEON.DOC.014042",,"IwiAeKKpgyDNoYNXo7Ff5Z9mnt7Mfl5M","B7fMha69fjYQVOb1ot6C4r/U6sfywj4h",,,,2,0
"CD5F77B12BED4DF4B5F4DC437EE1C169","D06","UKFS",,"41.4.1",39.035287,-95.194301,"WGS84",0.4,"2015-06-08",1,"DIV.UKFS.2015.1","Y","2PLANT","Unknown plant","kingdom",,"Fuzzy lanceolet leaf",0.5,"N",,"NEON.DOC.014042",,"IwiAeKKpgyDNoYNXo7Ff5Z9mnt7Mfl5M","B7fMha69fjYQVOb1ot6C4r/U6sfywj4h",,,,2,0
"4D7638253F7F4771991C5953C1F30ED6","D06","UKFS",,"41.4.1",39.035287,-95.194301,"WGS84",0.4,"2015-06-08",1,"DIV.UKFS.2015.1","Y","2PLANT","Unknown plant","kingdom",,"Big bract sedge",0.5,"N",,"NEON.DOC.014042",,"IwiAeKKpgyDNoYNXo7Ff5Z9mnt7Mfl5M","B7fMha69fjYQVOb1ot6C4r/U6sfywj4h",,,,2,0
"7C215D320BFD42758002A36ECD6EA13D","D06","UKFS",,"41.4.1",39.035287,-95.194301,"WGS84",0.4,"2015-06-08",1,"DIV.UKFS.2015.1","Y","POPE","Podophyllum peltatum L.","species",,,6,"N",,"NEON.DOC.014042",,"IwiAeKKpgyDNoYNXo7Ff5Z9mnt7Mfl5M","B7fMha69fjYQVOb1ot6C4r/U6sfywj4h",,,,0,0
"F997F3B23BF142BF9CEFA520D45AC226","D06","UKFS",,"41.4.1",39.035287,-95.194301,"WGS84",0.4,"2015-06-08",1,"DIV.UKFS.2015.1","Y","2PLANT","Unknown plant","kingdom",,"Fuzzy ochrea",5,"N",,"NEON.DOC.014042",,"IwiAeKKpgyDNoYNXo7Ff5Z9mnt7Mfl5M","B7fMha69fjYQVOb1ot6C4r/U6sfywj4h",,,,2,0
"08545DD30DB14F74885F2843B78F2C4F","D06","UKFS",,"41.4.1",39.035287,-95.194301,"WGS84",0.4,"2015-06-08",1,"DIV.UKFS.2015.1","Y","CARYA","Carya sp.","genus",,,15,"N",,"NEON.DOC.014042",,"IwiAeKKpgyDNoYNXo7Ff5Z9mnt7Mfl5M","B7fMha69fjYQVOb1ot6C4r/U6sfywj4h",,,,0,0
"7D788668BED646E48A665C1C13DF3F66","D06","UKFS",,"41.1.1",39.035204,-95.194404,"WGS84",0.3,"2015-06-08",1,"DIV.UKFS.2015.1","Y","SAOD","Sanicula odorata (Raf.) K.M. Pryer & L.R. Phillippe","species",,,7,"N",,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0
"D895FFADDEC7437BA0882D855F083333","D06","UKFS",,"41.4.1",39.035287,-95.194301,"WGS84",0.4,"2015-06-08",1,"DIV.UKFS.2015.1","Y","SYOR","Symphoricarpos orbiculatus Moench","species",,,65,"N",,"NEON.DOC.014042",,"IwiAeKKpgyDNoYNXo7Ff5Z9mnt7Mfl5M","B7fMha69fjYQVOb1ot6C4r/U6sfywj4h",,,,0,0
"C6E7A41F64F64DB3988BE7810F3FA491","D06","UKFS",,"41.4.1",39.035287,-95.194301,"WGS84",0.4,"2015-06-08",1,"DIV.UKFS.2015.1","Y","SMTA2","Smilax tamnoides L.","species",,,2,"N",,"NEON.DOC.014042",,"IwiAeKKpgyDNoYNXo7Ff5Z9mnt7Mfl5M","B7fMha69fjYQVOb1ot6C4r/U6sfywj4h",,,,0,0
"D26105B21A0F47D6B987323C28ADEE55","D06","UKFS",,"41.1.1",39.035204,-95.194404,"WGS84",0.3,"2015-06-08",1,"DIV.UKFS.2015.1","Y","CARYA","Carya sp.","genus",,,1,"N",,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy","Bright green and shiny",,,0,0
"3FBE169A42694770BED158577D77E61B","D06","UKFS",,"41.1.1",39.035204,-95.194404,"WGS84",0.3,"2015-06-08",1,"DIV.UKFS.2015.1","Y","SYOR","Symphoricarpos orbiculatus Moench","species",,,6,"N",,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0
"7779B587C3EE41248A03E53B2F543567","D06","UKFS",,"41.1.1",39.035204,-95.194404,"WGS84",0.3,"2015-06-08",1,"DIV.UKFS.2015.1","Y","CAOV2","Carya ovata (Mill.) K. Koch","species","cf. species",,0.5,"N",,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0
"5DDB140D46A84750B39DCD21F9D0985D","D06","UKFS",,"41.1.1",39.035204,-95.194404,"WGS84",0.3,"2015-06-08",1,"DIV.UKFS.2015.1","Y","GAAP2","Galium aparine L.","species",,,3,"N",,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0
"B6E846F4ED554CE286E35CFC766C2C75","D06","UKFS",,"40.3.1",39.035292,-95.194516,"WGS84",0.4,"2015-06-08",1,"DIV.UKFS.2015.1","Y","SYOR","Symphoricarpos orbiculatus Moench","species",,,20,"N",,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0
"0856028218304B3DA8D80990D6B468F5","D06","UKFS",,"40.3.1",39.035292,-95.194516,"WGS84",0.4,"2015-06-08",1,"DIV.UKFS.2015.1","Y","ALPE4","Alliaria petiolata (M. Bieb.) Cavara & Grande","species",,,10,"N",,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0
"C0E0FC233B1F4EA682B4F83AD8959B27","D06","UKFS",,"40.3.1",39.035292,-95.194516,"WGS84",0.4,"2015-06-08",1,"DIV.UKFS.2015.1","Y","SAOD","Sanicula odorata (Raf.) K.M. Pryer & L.R. Phillippe","species",,,15,"N",,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0
"FCF1AD9729914067802F0FE0C7EF32E3","D06","UKFS",,"40.1.1",39.035211,-95.194514,"WGS84",0.4,"2015-06-08",1,"DIV.UKFS.2015.1","Y","SAOD","Sanicula odorata (Raf.) K.M. Pryer & L.R. Phillippe","species",,,1,"N",,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0
"11706859F5AB45BBAC37FA626752FF76","D06","UKFS",,"40.1.1",39.035211,-95.194514,"WGS84",0.4,"2015-06-08",1,"DIV.UKFS.2015.1","Y","ULAM","Ulmus americana L.","species",,,3,"N",,"NEON.DOC.014042",,"qwYRJUJUUn1NQYSSsfG9DieoOsSI/sT2","9ncDnDTowBQd9hSupIjx5CJgq3e17puy",,,,0,0
