"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","morphospeciesIDRemarks","taxonIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF","duplicateTaxonIDPerBout100m2QF"
"589CD45481E942B5A29926165E580F96","D07","ORNL",,"41",35.948651,-84.221856,"WGS84",2.1,"2014-05-14",1,"DIV.ORNL.2014.1","Y","TRPE4","Triodanis perfoliata (L.) Nieuwl.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0,0,0
"345E3AE57C09463B9867F67474310EB5","D07","ORNL",,"41",35.948651,-84.221856,"WGS84",2.1,"2014-05-14",1,"DIV.ORNL.2014.1","Y","VEUR","Verbena urticifolia L.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0,0,0
"9F759DD51434453B9B368E316D541EB9","D07","ORNL",,"31",35.948561,-84.221959,"WGS84",2.1,"2014-05-14",1,"DIV.ORNL.2014.1","Y","ASPL","Asplenium platyneuron (L.) Britton, Sterns & Poggenb.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0,0,0
"A8FCEA353E094A199550E945455BD9BC","D07","ORNL",,"41",35.948651,-84.221856,"WGS84",2.1,"2014-05-14",1,"DIV.ORNL.2014.1","Y","POPR","Poa pratensis L.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0,0,0
"3354E755A5854472ABF7FDCB283B368C","D07","ORNL",,"41",35.948651,-84.221856,"WGS84",2.1,"2014-05-14",1,"DIV.ORNL.2014.1","Y","RUBUS","Rubus sp.","genus",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0,0,0
"EC5D56050A3F4084A5C4259AE1C7356C","D07","ORNL",,"41",35.948651,-84.221856,"WGS84",2.1,"2014-05-14",1,"DIV.ORNL.2014.1","Y","SMRO","Smilax rotundifolia L.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0,0,0
"2FF1F6BDF2144AFD93478A060F5ADE94","D07","ORNL",,"41",35.948651,-84.221856,"WGS84",2.1,"2014-05-14",1,"DIV.ORNL.2014.1","Y","SOCA6","Solidago canadensis L.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0,0,0
"4C4FC989BCAD468BADC4C3F97F7013CE","D07","ORNL",,"41",35.948651,-84.221856,"WGS84",2.1,"2014-05-14",1,"DIV.ORNL.2014.1","Y","LECU","Lespedeza cuneata (Dum. Cours.) G. Don","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0,0,0
"E465D6ED84EB4E14B3CC10FA668AF8B7","D07","ORNL",,"41",35.948651,-84.221856,"WGS84",2.1,"2014-05-14",1,"DIV.ORNL.2014.1","Y","OXDI2","Oxalis dillenii Jacq.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0,0,0
"6286796E33A2456F906577A963522827","D07","ORNL",,"41",35.948651,-84.221856,"WGS84",2.1,"2014-05-14",1,"DIV.ORNL.2014.1","Y","PAQU2","Parthenocissus quinquefolia (L.) Planch.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0,0,0
