"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","percentCover","heightPlantOver300cm","heightPlantSpecies","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","duplicateTaxonIDBoutPer1m2QF","missingRecords1m2QF"
"078A9FE91D0346FEA95B0828D9270BF1","D07","ORNL",,"41.4.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","VEAR","Veronica arvensis L.","species",,,0.5,"N",18.0,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0
"96D0588478DA4D869625E41002C92079","D07","ORNL",,"41.1.1",35.948612,-84.221907,"WGS84",0.3,"2014-05-14",1,"DIV.ORNL.2014.1","Y","BROMU","Bromus sp.","genus",,,0.5,"N",53.0,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0
"82DEC304C3454706A12ABC50A6C9B45B","D07","ORNL",,"41.1.1",35.948612,-84.221907,"WGS84",0.3,"2014-05-14",1,"DIV.ORNL.2014.1","Y","ANVI2","Andropogon virginicus L.","species",,,1,"N",60.0,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0
"24BC5216A38D4D469AA64D77001290D1","D07","ORNL",,"41.1.1",35.948612,-84.221907,"WGS84",0.3,"2014-05-14",1,"DIV.ORNL.2014.1","Y","CARO22","Carex rosea Schkuhr ex Willd.","species",,,0.5,"N",45.0,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0
"AB9A3072EAFE4611B66FFEACC06ECFB4","D07","ORNL",,"41.1.1",35.948612,-84.221907,"WGS84",0.3,"2014-05-14",1,"DIV.ORNL.2014.1","Y","TRCA5","Trifolium campestre Schreb.","species",,,0.5,"N",12.0,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0
"7968F1E38DE74E439C7C02FE47425DD3","D07","ORNL",,"40.1.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","SMRO","Smilax rotundifolia L.","species",,,2,"N",75.0,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0
"8B1C82C2C6554B029C84D4FA61C261E7","D07","ORNL",,"40.3.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","SMRO","Smilax rotundifolia L.","species",,,1,"N",30.0,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0
"3519E96FC5894198B71BA2D99B345BA2","D07","ORNL",,"40.3.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","TRCA5","Trifolium campestre Schreb.","species",,,0.5,"N",20.0,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0
"78114A74D3524D16A57AB8C499972F88","D07","ORNL",,"40.3.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","SOCA6","Solidago canadensis L.","species",,,30,"N",60.0,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0
"FB3E3E5B0D7D43A2B45AD55957A3B6FC","D07","ORNL",,"40.1.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","GECA5","Geranium carolinianum L.","species",,,0.5,"N",25.0,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0
"340ECD5B8FA24179BB4F9DBAA1ABC7EF","D07","ORNL",,"40.1.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","ERPH","Erigeron philadelphicus L.","species",,,0.5,"N",60.0,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0
"34D66481024248CDBACA6CBE62D2CC2B","D07","ORNL",,"40.1.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","LECU","Lespedeza cuneata (Dum. Cours.) G. Don","species",,,1,"N",30.0,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0
"BD990A33691247D59EC42ED72999298C","D07","ORNL",,"40.1.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","VERBE2","Verbesina sp.","genus",,,2,"N",28.0,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0
"E53D1280979D471CB1C29A7F018B7584","D07","ORNL",,"32.2.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","VERBE2","Verbesina sp.","genus",,,6,"N",48.0,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,,,0,0
