"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","otherVariablesPresent","otherVariables","percentCover","samplingProtocol","measuredBy","recordedBy","remarks","duplicateVariablesBout1m2QF"
"B3B4762620324078AA923F6F1C3C1472","D07","ORNL",,"32.4.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","standingDead",4,"NEON.DOC.014042","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,0
"963CDC3885CD41BC8CF82E7258FA2DFD","D07","ORNL",,"40.1.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","litter",3,"NEON.DOC.014042","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,0
"B06C5A3F5B9B4E9FA39B1C35FB907AF9","D07","ORNL",,"40.3.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","standingDead",2,"NEON.DOC.014042","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,0
"C96BE32A1192459C910F0C5C06B8D192","D07","ORNL",,"41.1.1",35.948612,-84.221907,"WGS84",0.3,"2014-05-14",1,"DIV.ORNL.2014.1","Y","soil",1,"NEON.DOC.014042","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,0
"AF3AAF8AFCD845A580EF712564D021C2","D07","ORNL",,"41.1.1",35.948612,-84.221907,"WGS84",0.3,"2014-05-14",1,"DIV.ORNL.2014.1","Y","litter",1,"NEON.DOC.014042","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,0
"01D9E566C47245D3A5C804EE2CB1D57E","D07","ORNL",,"41.4.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","litter",10,"NEON.DOC.014042","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,0
"8E457C6A67404072A6A609E7C20CBF85","D07","ORNL",,"32.4.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","litter",17,"NEON.DOC.014042","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,0
"27CE3F70731148F78626FCDDF0351F1D","D07","ORNL",,"40.1.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","standingDead",2,"NEON.DOC.014042","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,0
"F58FD73B9D9A4D20B85CAABFE0FBB04C","D07","ORNL",,"40.3.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","soil",0.5,"NEON.DOC.014042","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,0
"D763A880BA1C47BCA17CA2FA62B4067B","D07","ORNL",,"40.3.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","litter",1,"NEON.DOC.014042","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,0
"801C5A1D35064BC693540E282786FF13","D07","ORNL",,"41.1.1",35.948612,-84.221907,"WGS84",0.3,"2014-05-14",1,"DIV.ORNL.2014.1","Y","standingDead",0.5,"NEON.DOC.014042","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,0
"929EA2B90D1541D9BAFD964A0D7DBD6D","D07","ORNL",,"41.4.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","standingDead",0.5,"NEON.DOC.014042","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,0
"B9C002A88C8F4E6CAAA3CB9A364957CD","D07","ORNL",,"31.4.1",35.948603,-84.221918,"WGS84",0.3,"2014-05-14",1,"DIV.ORNL.2014.1","Y","standingDead",1,"NEON.DOC.014042","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,0
"D8CF3ED655AA4C79A287EB90D58B0F59","D07","ORNL",,"31.4.1",35.948603,-84.221918,"WGS84",0.3,"2014-05-14",1,"DIV.ORNL.2014.1","Y","wood",1,"NEON.DOC.014042","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,0
"46ACF49F7DA741869F4961CD2F402498","D07","ORNL",,"32.2.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","overstory",6,"NEON.DOC.014042","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,0
"D5E6F26BC4F140D7BE39F7DFB3C8B9BC","D07","ORNL",,"32.2.1",,,,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","litter",20,"NEON.DOC.014042","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","yCQc4NQ2guNKJZiruRA1rBfUqhEJHcab",,0
