"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","nlcdClass","elevation","elevationUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF"
"58A924E580DF45239E16AEBB199F860B","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","VERBE2","Verbesina sp.","genus",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"D404F0DD5ADE41CEAE7A4AD310DE273D","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","SOCA6","Solidago canadensis L.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"1F2AE04E1EBD4FA497E0170C905BE979","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","LACTU","Lactuca sp.","genus",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"D967C78E1E164B59891F463AAC17AF7B","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","BROMU","Bromus sp.","genus",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"DB5C235D24F5493E8381D30CDA5CE3B3","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","ANOD","Anthoxanthum odoratum L.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"34D483182382453696FA21D6BBBF7793","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","LOJA","Lonicera japonica Thunb.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"E77BD523E0AD43D4A45CE9681C7BEBDB","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","PRSE2","Prunus serotina Ehrh.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"159A248289B847448163A2AD329A94F8","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","CAREX","Carex sp.","genus",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"743215FC5D404D35B204D9185DDAE341","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","ELUM","Elaeagnus umbellata Thunb.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"9C7B32CD8D9B4617A0F80A7319010E40","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","CARA2","Campsis radicans (L.) Seem. ex Bureau","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"9CABE53F2366445EA9E0B422A530F72D","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","SMGL","Smilax glauca Walter","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"15434AF5839248A5B911973B8DC44194","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","SOCA3","Solanum carolinense L.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"6665555DFB8B4813A7BACC13D876450E","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","DEVI4","Desmodium viridiflorum (L.) DC.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"883322A4595246F18E41C21B36554A72","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","PAVI2","Panicum virgatum L.","species","cf. species",,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"13331A2B63B74EBFBBC00B6993116A18","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","ANGE","Andropogon gerardii Vitman","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"172128E0A7D94B1F9A356548D20575A1","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","CAPA12","Cardamine parviflora L.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"E831AAA8098A4DE78B9834D16721214C","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","DIVI5","Diospyros virginiana L.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"B64F768877DA458091D53A6DB1FC8BD5","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","CACE","Carex cephalophora Muhl. ex Willd.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"1487ED187CA448C4BBE4D7A424FCE961","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","RUAC3","Rumex acetosella L.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"8BD565646607460196125E19777BAA75","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","ULAL","Ulmus alata Michx.","species","cf. species",,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"E77659A4C3C4451C9BE4E55FF169B935","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","GAAR10","Gamochaeta argyrinea G.L. Nesom","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"28A38A22CB704B519E92089ED5C87F3A","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","VEAR","Veronica arvensis L.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"D633F0600C644741AF7EFF136FD8ED0C","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","TRCA5","Trifolium campestre Schreb.","species","cf. species",,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"54A40F1B44484F4CA2BE834356CEB95F","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","GECA5","Geranium carolinianum L.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"9BF49A8CC39D4012A68BD767249C18A0","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","VIRO3","Vitis rotundifolia Michx.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"2F8354DFB7AA4E31857B28A8C87BE3BC","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","ERPH","Erigeron philadelphicus L.","species","cf. species",,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
"9A340C11C4FF43999F541AF1FB82AE6B","D07","ORNL",,,,,,"pastureHay",,,"2014-05-14",1,"DIV.ORNL.2014.1","Y","TRPE4","Triodanis perfoliata (L.) Nieuwl.","species",,,"NEON.DOC.014042",,"wUBWszgu2lH2diIu19eQL/9vP8SagSqv",,,,0,0,0
