"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","duplicateTaxonIDPerBout10m2QF"
"CEED9FC50B4B481F9BA33A0F80EF9186","D08","TALL",,"41.4.10",32.897197,-87.397244,"WGS84",1.1,"2014-06-12",1,"DIV.TALL.2014.1","Y","PANIC","Panicum sp.","genus",,,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0,0
"4E88DC78BFA44233A1D6038AACB057D3","D08","TALL",,"41.4.10",32.897197,-87.397244,"WGS84",1.1,"2014-06-12",1,"DIV.TALL.2014.1","Y","VIROR","Vitis rotundifolia Michx. var. rotundifolia","variety",,,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0,0
"E2E7AA858DB44520A25EBBF03F884915","D08","TALL",,"41.4.10",32.897197,-87.397244,"WGS84",1.1,"2014-06-12",1,"DIV.TALL.2014.1","Y","QUMA3","Quercus marilandica Münchh.","species","cf. species",,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0,0
"83DD741156514A48AF0E08ADCCDCC84B","D08","TALL",,"41.4.10",32.897197,-87.397244,"WGS84",1.1,"2014-06-12",1,"DIV.TALL.2014.1","Y","CNURS","Cnidoscolus urens (L.) Arthur var. stimulosus (Michx.) Govaerts","variety",,,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0,0
"5E6549C7755B47FE9658391859D97BF8","D08","TALL",,"41.4.10",32.897197,-87.397244,"WGS84",1.1,"2014-06-12",1,"DIV.TALL.2014.1","Y","LECU","Lespedeza cuneata (Dum. Cours.) G. Don","species","aff. species",,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0,0
"E0DABCE8DAAA434E8BCBC339770C2AF2","D08","TALL",,"41.4.10",32.897197,-87.397244,"WGS84",1.1,"2014-06-12",1,"DIV.TALL.2014.1","Y","OSVI","Ostrya virginiana (Mill.) K. Koch","species",,,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0,0
"03E03C2B2D4A4A4C85A1B72CEBC9C3BB","D08","TALL",,"41.1.10",32.897139,-87.397330,"WGS84",1.3,"2014-06-12",1,"DIV.TALL.2014.1","Y","SCEL","Scutellaria elliptica Muhl. ex Spreng.","species",,,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0,0
"DDCE15BA3B6C49D29DA292ECD58EECA6","D08","TALL",,"41.4.10",32.897197,-87.397244,"WGS84",1.1,"2014-06-12",1,"DIV.TALL.2014.1","Y","RUHI","Rubus hispidus L.","species","cf. species",,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0,0
"80514848DACE4642AF0BAF8498EF3915","D08","TALL",,"41.4.10",32.897197,-87.397244,"WGS84",1.1,"2014-06-12",1,"DIV.TALL.2014.1","Y","CATO6","Carya tomentosa (Lam.) Nutt.","species",,,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0,0
"278F150E8BFB4470A12DAB80E6CE5CCA","D08","TALL",,"41.4.10",32.897197,-87.397244,"WGS84",1.1,"2014-06-12",1,"DIV.TALL.2014.1","Y","RUCA4","Ruellia caroliniensis (J.F. Gmel.) Steud.","species",,,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0,0
"DF02F8599E9F4CFFBA8B82B7B3B7E9BE","D08","TALL",,"41.1.10",32.897139,-87.397330,"WGS84",1.3,"2014-06-12",1,"DIV.TALL.2014.1","Y","PANIC","Panicum sp.","genus",,,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0,0
"801B135632B04101B80266D411DA5960","D08","TALL",,"41.1.10",32.897139,-87.397330,"WGS84",1.3,"2014-06-12",1,"DIV.TALL.2014.1","Y","PIGR4","Pityopsis graminifolia (Michx.) Nutt.","species","cf. species",,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0,0
"97EB1D7E2208464E990E8C7A79BAA91E","D08","TALL",,"41.1.10",32.897139,-87.397330,"WGS84",1.3,"2014-06-12",1,"DIV.TALL.2014.1","Y","QUMA3","Quercus marilandica Münchh.","species",,,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0,0
"41808073C3394265849981DCC4A2D903","D08","TALL",,"41.1.10",32.897139,-87.397330,"WGS84",1.3,"2014-06-12",1,"DIV.TALL.2014.1","Y","VIROR","Vitis rotundifolia Michx. var. rotundifolia","variety",,,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0,0
"DE15690915454CB2B9DEC310B7B7980C","D08","TALL",,"41.1.10",32.897139,-87.397330,"WGS84",1.3,"2014-06-12",1,"DIV.TALL.2014.1","Y","CATO6","Carya tomentosa (Lam.) Nutt.","species",,,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0,0
"9C3D162D60854345BD2117D6DB33F9DB","D08","TALL",,"41.1.10",32.897139,-87.397330,"WGS84",1.3,"2014-06-12",1,"DIV.TALL.2014.1","Y","DEOB5","Desmodium obtusum (Muhl. ex Willd.) DC.","species",,,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0,0
"AB8E799D945240A9B0AAC0409492BC7E","D08","TALL",,"41.1.10",32.897139,-87.397330,"WGS84",1.3,"2014-06-12",1,"DIV.TALL.2014.1","Y","GALIU","Galium sp.","genus",,,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0,0
