"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","percentCover","heightPlantOver300cm","heightPlantSpecies","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","duplicateTaxonIDBoutPer1m2QF","missingRecords1m2QF"
"37B4E706D004450283EA7555D15C3CBB","D08","TALL",,"41.4.1",32.897206,-87.397233,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","CNURS","Cnidoscolus urens (L.) Arthur var. stimulosus (Michx.) Govaerts","variety",,,0.5,"N",6.0,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0
"60BB6CFC9717416EA077998E566C8446","D08","TALL",,"41.4.1",32.897206,-87.397233,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","DIVI5","Diospyros virginiana L.","species",,,2,"N",21.0,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0
"18E142FD894443368C06E94388B88F7D","D08","TALL",,"41.4.1",32.897206,-87.397233,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","VIROR","Vitis rotundifolia Michx. var. rotundifolia","variety",,,10,"N",57.0,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0
"14E050B3F7FC451D9018A70C18328F25","D08","TALL",,"41.4.1",32.897206,-87.397233,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","POACEA","Poaceae sp.","family",,,0.5,"N",2.0,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0
"F42CC7BEF27444A2B1C1347A5B3CF128","D08","TALL",,"41.4.1",32.897206,-87.397233,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","PANIC","Panicum sp.","genus",,,0.5,"N",7.0,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0
"091892F4C4A64899B5F72A190F22B4B4","D08","TALL",,"41.1.1",32.897129,-87.397341,"WGS84",0.6,"2014-06-12",1,"DIV.TALL.2014.1","Y","POACEA","Poaceae sp.","family",,,0.5,"N",6.0,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0
"B487CC195031488994F4D29BEA01F099","D08","TALL",,"41.1.1",32.897129,-87.397341,"WGS84",0.6,"2014-06-12",1,"DIV.TALL.2014.1","Y","LITU","Liriodendron tulipifera L.","species",,,,"N",4.0,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,"Percent cover missing on data sheet",0,0
"802DC7993C7B4BB0AA855C1DCA2E84DD","D08","TALL",,"41.4.1",32.897206,-87.397233,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","OSVI","Ostrya virginiana (Mill.) K. Koch","species",,,1,"N",8.0,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0
"528A718D5FA448F69E298242BB8825CE","D08","TALL",,"41.1.1",32.897129,-87.397341,"WGS84",0.6,"2014-06-12",1,"DIV.TALL.2014.1","Y","QUMA3","Quercus marilandica Münchh.","species",,,2,"N",20.0,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0
"B454E5B47F944ED8897642BC9995B8F8","D08","TALL",,"41.1.1",32.897129,-87.397341,"WGS84",0.6,"2014-06-12",1,"DIV.TALL.2014.1","Y","CATO6","Carya tomentosa (Lam.) Nutt.","species",,,2,"N",16.0,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0
"D1AC0223560B4203AF85CA9B6344FF42","D08","TALL",,"41.1.1",32.897129,-87.397341,"WGS84",0.6,"2014-06-12",1,"DIV.TALL.2014.1","Y","DIBO2","Dichanthelium boscii (Poir.) Gould & C.A. Clark","species",,,0.5,"N",5.0,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0
"2FF7759883A248A7B5384EE570FC820E","D08","TALL",,"40.3.1",32.897212,-87.397442,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","HESH2","Hexastylis shuttleworthii (Britten & Baker f.) Small","species","cf. species",,1,"N",10.0,"NEON.DOC.014042",,"g5F5uklRh2VDICiaJ2hO4u/g0vjt6FOn","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0
"A553AC4ECF0849FBACEFBC6F1BF0958A","D08","TALL",,"40.3.1",32.897212,-87.397442,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","DIBO2","Dichanthelium boscii (Poir.) Gould & C.A. Clark","species",,,5,"N",64.0,"NEON.DOC.014042",,"g5F5uklRh2VDICiaJ2hO4u/g0vjt6FOn","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0
"A5278A6464FF469C8F4CCE26C22D7EB8","D08","TALL",,"41.1.1",32.897129,-87.397341,"WGS84",0.6,"2014-06-12",1,"DIV.TALL.2014.1","Y","SAAL5","Sassafras albidum (Nutt.) Nees","species",,,1,"N",10.0,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0
"19984752A4E94DE6BFE81C3F9224DC5E","D08","TALL",,"41.1.1",32.897129,-87.397341,"WGS84",0.6,"2014-06-12",1,"DIV.TALL.2014.1","Y","CNURS","Cnidoscolus urens (L.) Arthur var. stimulosus (Michx.) Govaerts","variety",,,1,"N",15.0,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,,,0,0
