"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","otherVariablesPresent","otherVariables","percentCover","samplingProtocol","measuredBy","recordedBy","remarks","duplicateVariablesBout1m2QF"
"5E795B5B81E2413FBAC9E3EAA6A231FB","D08","TALL",,"41.4.1",32.897206,-87.397233,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","overstory",5,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"9820641C19324A3B93B0DD51FA791BE6","D08","TALL",,"40.1.1",32.897131,-87.397442,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","litter",50,"NEON.DOC.014042","g5F5uklRh2VDICiaJ2hO4u/g0vjt6FOn","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"2AB100F95EBA440F8C2F307504E998E7","D08","TALL",,"40.3.1",32.897212,-87.397442,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","litter",90,"NEON.DOC.014042","g5F5uklRh2VDICiaJ2hO4u/g0vjt6FOn","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"3AD994BE66544A4CAEA34A79A22C4979","D08","TALL",,"40.3.1",32.897212,-87.397442,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","soil",1,"NEON.DOC.014042","g5F5uklRh2VDICiaJ2hO4u/g0vjt6FOn","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"D491EEEE4DA14E129874529726EBE61F","D08","TALL",,"41.1.1",32.897129,-87.397341,"WGS84",0.6,"2014-06-12",1,"DIV.TALL.2014.1","Y","standingDead",0.5,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"BC53B8E7B0BA4773929D0BB8FB543990","D08","TALL",,"41.1.1",32.897129,-87.397341,"WGS84",0.6,"2014-06-12",1,"DIV.TALL.2014.1","Y","litter",82,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"98E6A1CE04CE47FD8C96D225849D260C","D08","TALL",,"32.2.1",32.897045,-87.397239,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","litter",40,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"8CF34920C85646D89F17F39BB90CCD69","D08","TALL",,"32.2.1",32.897045,-87.397239,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","overstory",65,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"90A01E419ADC4DDB85B82BBFAAA953DB","D08","TALL",,"32.4.1",32.897126,-87.397239,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","soil",85,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"2EDD7FCA7C724535AC8A7BA44424ACA3","D08","TALL",,"32.4.1",32.897126,-87.397239,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","wood",9,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"976DE977F5334921AF5B669F262987F8","D08","TALL",,"40.1.1",32.897131,-87.397442,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","soil",40,"NEON.DOC.014042","g5F5uklRh2VDICiaJ2hO4u/g0vjt6FOn","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"D73ABC7357714B07BC3B5C9E4515972E","D08","TALL",,"31.1.1",32.897043,-87.397440,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","wood",6,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0
"399504CA21414F1C8CBEDEDD0DE13298","D08","TALL",,"31.4.1",32.897120,-87.397352,"WGS84",0.6,"2014-06-12",1,"DIV.TALL.2014.1","Y","wood",7,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0
"2A415DDF0A0B49399A58C49FE95A7F8F","D08","TALL",,"31.4.1",32.897120,-87.397352,"WGS84",0.6,"2014-06-12",1,"DIV.TALL.2014.1","Y","soil",20,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0
"C65A342E21C4438796FAAEC797A2C86B","D08","TALL",,"31.4.1",32.897120,-87.397352,"WGS84",0.6,"2014-06-12",1,"DIV.TALL.2014.1","Y","overstory",90,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0
"416A9A452F354E33A5AB4AACCE25731E","D08","TALL",,"41.1.1",32.897129,-87.397341,"WGS84",0.6,"2014-06-12",1,"DIV.TALL.2014.1","Y","overstory",95,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"5932629541B341408D3CAE6D31B7A40E","D08","TALL",,"41.1.1",32.897129,-87.397341,"WGS84",0.6,"2014-06-12",1,"DIV.TALL.2014.1","Y","soil",21,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"13B0387610AA4A1D931253A4ABC736CD","D08","TALL",,"41.4.1",32.897206,-87.397233,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","litter",12,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"90E4752A1BD24119991BC23A1F1E1705","D08","TALL",,"41.4.1",32.897206,-87.397233,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","soil",85,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"3D51FE666B9047EE8E1A5DB7912061E2","D08","TALL",,"31.1.1",32.897043,-87.397440,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","moss",0.5,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0
"1FAEEFE6329F4821B0A6DB7AD1118F57","D08","TALL",,"40.1.1",32.897131,-87.397442,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","overstory",97,"NEON.DOC.014042","g5F5uklRh2VDICiaJ2hO4u/g0vjt6FOn","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"D3FA74BD6E8A496E9BA1BD1AFE9EBA17","D08","TALL",,"40.1.1",32.897131,-87.397442,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","wood",0.5,"NEON.DOC.014042","g5F5uklRh2VDICiaJ2hO4u/g0vjt6FOn","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"C505DA4A2E5946BDBF56A6409E7227FD","D08","TALL",,"40.3.1",32.897212,-87.397442,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","wood",2,"NEON.DOC.014042","g5F5uklRh2VDICiaJ2hO4u/g0vjt6FOn","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"B73943680CAA4BE4BA47148EFB168E5F","D08","TALL",,"40.3.1",32.897212,-87.397442,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","overstory",95,"NEON.DOC.014042","g5F5uklRh2VDICiaJ2hO4u/g0vjt6FOn","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
"3EF27F5FD4E8426C8AE25D48F13AF128","D08","TALL",,"31.4.1",32.897120,-87.397352,"WGS84",0.6,"2014-06-12",1,"DIV.TALL.2014.1","Y","litter",60,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0
"0D34C6569839442B9C585FEF162B125D","D08","TALL",,"31.4.1",32.897120,-87.397352,"WGS84",0.6,"2014-06-12",1,"DIV.TALL.2014.1","Y","scat",0.5,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0
"0D6D8CBFD94C4A8E844CB31BEE7B063D","D08","TALL",,"32.2.1",32.897045,-87.397239,"WGS84",0.4,"2014-06-12",1,"DIV.TALL.2014.1","Y","soil",62,"NEON.DOC.014042","KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf","1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f",,0
