"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","nlcdClass","elevation","elevationUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF"
"F4D63485422946CFAEBE9801D7C235A8","D08","TALL",,,,,,"mixedForest",,,"2014-06-12",1,"DIV.TALL.2014.1","Y","DEOB5","Desmodium obtusum (Muhl. ex Willd.) DC.","species",,,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf",,,,0,0,0
"D39D1E98713144D985BCC980F5D9A5F3","D08","TALL",,,,,,"mixedForest",,,"2014-06-12",1,"DIV.TALL.2014.1","Y","ANDRO2","Andropogon sp.","genus",,,"NEON.DOC.014042",,"g5F5uklRh2VDICiaJ2hO4u/g0vjt6FOn",,,,0,0,0
"07C11319B33E4E81B0E967B75ACA16E4","D08","TALL",,,,,,"mixedForest",,,"2014-06-12",1,"DIV.TALL.2014.1","Y","QUMO4","Quercus montana Willd.","species","aff. species",,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf",,,,0,0,0
"934E4F835DC54BC2B65C162B20EF26B5","D08","TALL",,,,,,"mixedForest",,,"2014-06-12",1,"DIV.TALL.2014.1","Y","DEST2","Desmodium strictum (Pursh) DC.","species","aff. species",,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf",,,,0,0,0
"34B1F6CA327346BC83EAB7163D854E1A","D08","TALL",,,,,,"mixedForest",,,"2014-06-12",1,"DIV.TALL.2014.1","Y","LERE2","Lespedeza repens (L.) W.P.C. Barton","species",,,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf",,,,0,0,0
"A539714C1149488F857B9EA2D820F9F7","D08","TALL",,,,,,"mixedForest",,,"2014-06-12",1,"DIV.TALL.2014.1","Y","LECU","Lespedeza cuneata (Dum. Cours.) G. Don","species","aff. species",,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf",,,,0,0,0
"A37DA412FEF54C98B93CDA1CD9F7E017","D08","TALL",,,,,,"mixedForest",,,"2014-06-12",1,"DIV.TALL.2014.1","Y","ACRU","Acer rubrum L.","species",,,"NEON.DOC.014042",,"g5F5uklRh2VDICiaJ2hO4u/g0vjt6FOn",,,,0,0,0
"B5E4883A3827478F8009779A60EFC116","D08","TALL",,,,,,"mixedForest",,,"2014-06-12",1,"DIV.TALL.2014.1","Y","LEPR","Lespedeza procumbens Michx.","species","cf. species",,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf",,,,0,0,0
"E25958C3B12E4781BAE922D1200CC0BE","D08","TALL",,,,,,"mixedForest",,,"2014-06-12",1,"DIV.TALL.2014.1","Y","AEPAP","Aesculus pavia L. var. pavia","variety",,,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf",,,,0,0,0
"2E70F482041C4CB8929FAE02E909FF53","D08","TALL",,,,,,"mixedForest",,,"2014-06-12",1,"DIV.TALL.2014.1","Y","PIAS2","Pityopsis aspera (Shuttlw. ex Small) Small","species","cf. species",,"NEON.DOC.014042",,"KFr7JcBjQm9J5uplJHTZe2CPbWEwyKSf",,,,0,0,0
