"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","duplicateTaxonIDPerBout10m2QF"
"57107237BE5447D3B3AB2AE48D864864","D09","WOOD",,"40.3.10",47.134832,-99.250007,"WGS84",1.1,"2014-06-02",1,"DIV.WOOD.2014.1","Y","VIAM","Vicia americana Muhl. ex Willd.","species",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0,0
"C87B86E9C82D4766945CF04A1A8182CB","D09","WOOD",,"40.3.10",47.134832,-99.250007,"WGS84",1.1,"2014-06-02",1,"DIV.WOOD.2014.1","Y","OTHE","Plantae sp.","kingdom",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4","Solidago rigida, taxonID = OLRIG",,,0,0,0
"04EC21EF30694746B537087A6592B146","D09","WOOD",,"41.1.10",47.134770,-99.249874,"WGS84",1.1,"2014-06-02",1,"DIV.WOOD.2014.1","Y","VIAM","Vicia americana Muhl. ex Willd.","species",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0,0
"EC765DC6929C44E4B336DF5970E466A2","D09","WOOD",,"31.4.10",47.134741,-99.249915,"WGS84",1.1,"2014-06-02",1,"DIV.WOOD.2014.1","Y","HEVIV","Heterotheca villosa (Pursh) Shinners var. villosa","variety",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0,0
"04F1B5C16102469FB8016E1904BED245","D09","WOOD",,"31.4.10",47.134741,-99.249915,"WGS84",1.1,"2014-06-02",1,"DIV.WOOD.2014.1","Y","PASM","Pascopyrum smithii (Rydb.) Á. Löve","species",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0,0
"3B5F4E42BC754191BC691F22F13B6C62","D09","WOOD",,"40.1.10",47.134771,-99.250006,"WGS84",1.1,"2014-06-02",1,"DIV.WOOD.2014.1","Y","TAOF","Taraxacum officinale F.H. Wigg.","species",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0,0
"B014E5C212AA42969105757E2B0E5074","D09","WOOD",,"40.3.10",47.134832,-99.250007,"WGS84",1.1,"2014-06-02",1,"DIV.WOOD.2014.1","Y","ARAB3","Artemisia absinthium L.","species",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0,0
"FF59AE2F065D4D7F8340E592329A321E","D09","WOOD",,"41.1.10",47.134770,-99.249874,"WGS84",1.1,"2014-06-02",1,"DIV.WOOD.2014.1","Y","POCO","Poa compressa L.","species",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0,0
"24BA3D4205644B7F9FC16E5370363C6D","D09","WOOD",,"40.3.10",47.134832,-99.250007,"WGS84",1.1,"2014-06-02",1,"DIV.WOOD.2014.1","Y","ANCY","Anemone cylindrica A. Gray","species",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0,0
"A3CC9B16E8F74545AA9F700D5A2CD262","D09","WOOD",,"40.3.10",47.134832,-99.250007,"WGS84",1.1,"2014-06-02",1,"DIV.WOOD.2014.1","Y","TRDU","Tragopogon dubius Scop.","species",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0,0
