"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","percentCover","heightPlantOver300cm","heightPlantSpecies","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","duplicateTaxonIDBoutPer1m2QF","missingRecords1m2QF"
"DF8663C31283428E91BEA0FE3B2033E1","D09","WOOD",,"31.4.1",47.134751,-99.249901,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","BRIN2","Bromus inermis Leyss.","species",,,22,"N",32.0,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0
"5815CE80219D4FF683CCAC94D31CA4A8","D09","WOOD",,"32.4.1",47.134751,-99.249773,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","BOCU","Bouteloua curtipendula (Michx.) Torr.","species",,,3,"N",12.0,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0
"6CD289F1637045868702F5F0D32180BB","D09","WOOD",,"41.1.1",47.134760,-99.249888,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","MESA","Medicago sativa L.","species",,,0.5,"N",2.0,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0
"845A2B5AE73C4595A9A819EF2D211D3F","D09","WOOD",,"41.4.1",47.134841,-99.249771,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","MESA","Medicago sativa L.","species",,,0.5,"N",3.0,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0
"F8C782503BE947A59DE9DF778B19F777","D09","WOOD",,"32.2.1",47.134670,-99.249773,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","COAR4","Convolvulus arvensis L.","species",,,0.5,"N",3.0,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0
"7F976E6FFEE2426B9D42AAA91BFA751F","D09","WOOD",,"31.1.1",47.134671,-99.250021,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","NAVI4","Nassella viridula (Trin.) Barkworth","species","cf. species",,1,"N",15.0,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0
"D2E9C5A9AED44D14AC88060DB514EE9A","D09","WOOD",,"40.1.1",47.134761,-99.250021,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","BOCU","Bouteloua curtipendula (Michx.) Torr.","species",,,8,"N",12.0,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0
"98337BA79948496DBDD7C24DBB24DCE9","D09","WOOD",,"40.3.1",47.134842,-99.250021,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","POPR","Poa pratensis L.","species",,,30,"N",26.0,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0
"ED7089CBF37348539A4DDE18ECDB9B05","D09","WOOD",,"31.4.1",47.134751,-99.249901,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","PASM","Pascopyrum smithii (Rydb.) Á. Löve","species",,,5,"N",30.0,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0
"00B0966CD6A341359B93EFA93536D6EE","D09","WOOD",,"40.3.1",47.134842,-99.250021,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","MESA","Medicago sativa L.","species",,,0.5,"N",3.0,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,,,0,0
