"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","otherVariablesPresent","otherVariables","percentCover","samplingProtocol","measuredBy","recordedBy","remarks","duplicateVariablesBout1m2QF"
"3F5107624ED04AB48DE662E4CAF36B1F","D09","WOOD",,"40.3.1",47.134842,-99.250021,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","standingDead",10,"NEON.DOC.014042","PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,0
"8E493FAF6B2E45A8B5A9535EAC26BA31","D09","WOOD",,"41.4.1",47.134841,-99.249771,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","soil",0.5,"NEON.DOC.014042","PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,0
"370370D4B76342C28A2A47CFCE0CA6D4","D09","WOOD",,"41.4.1",47.134841,-99.249771,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","lichen",0.5,"NEON.DOC.014042","PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,0
"921F107D5075496CB1FE773976EEE11D","D09","WOOD",,"40.1.1",47.134761,-99.250021,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","otherNonVascular",0.5,"NEON.DOC.014042","PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,0
"663A634CA70448F899D307B7D1CBC304","D09","WOOD",,"32.4.1",47.134751,-99.249773,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","water",0.5,"NEON.DOC.014042","PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,0
"252EA77080CD4E4585ECC3A046CAA44B","D09","WOOD",,"40.1.1",47.134761,-99.250021,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","overstory",0.5,"NEON.DOC.014042","PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,0
"98D624906CFF482C9D26F4F0A173CFBD","D09","WOOD",,"40.1.1",47.134761,-99.250021,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","water",0.5,"NEON.DOC.014042","PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,0
"54A2FBED687449B88E85AED4D44CEA8D","D09","WOOD",,"41.4.1",47.134841,-99.249771,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","litter",60,"NEON.DOC.014042","PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,0
"9A40A47DFA104656922A8F091F3AEDBB","D09","WOOD",,"40.1.1",47.134761,-99.250021,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","soil",0.5,"NEON.DOC.014042","PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,0
"8D0984177B71442A81A59CD5B12F7228","D09","WOOD",,"40.3.1",47.134842,-99.250021,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","soil",0.5,"NEON.DOC.014042","PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,0
"793F5F2144D741A6AAF65EB56D9B9B0D","D09","WOOD",,"41.1.1",47.134760,-99.249888,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","water",0.5,"NEON.DOC.014042","PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,0
"D007674E63114C3E9BFA56D7089FC18F","D09","WOOD",,"41.4.1",47.134841,-99.249771,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","wood",0.5,"NEON.DOC.014042","PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,0
"FCD59EFD70084C8CA130739FEA222E96","D09","WOOD",,"41.4.1",47.134841,-99.249771,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","moss",0.5,"NEON.DOC.014042","PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,0
"302256D3D82041B5AE8A9338E2B26720","D09","WOOD",,"41.4.1",47.134841,-99.249771,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","scat",0.5,"NEON.DOC.014042","PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,0
"FE4566A13D21427884EB18F2BCB923BB","D09","WOOD",,"40.1.1",47.134761,-99.250021,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","rock",0.5,"NEON.DOC.014042","PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,0
"972527616D314B93AEFD8C0939CC1A3D","D09","WOOD",,"41.1.1",47.134760,-99.249888,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","overstory",0.5,"NEON.DOC.014042","PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,0
"D94AADB19BF7413DBDD0A50E6249CA9C","D09","WOOD",,"41.1.1",47.134760,-99.249888,"WGS84",0.4,"2014-06-02",1,"DIV.WOOD.2014.1","Y","litter",70,"NEON.DOC.014042","PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","KpJXJLVGkPozZ8//5CqxOAAruRUNGCz4",,0
