"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","nlcdClass","elevation","elevationUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF"
"A0898AA2D1DF415D9D03AB0F656EA89A","D09","WOOD",,,,,,"grasslandHerbaceous",,,"2014-06-02",1,"DIV.WOOD.2014.1","Y","PRVI","Prunus virginiana L.","species",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/",,,,0,0,0
"C38050A14C9D4EF8A8AD0DA9D224619A","D09","WOOD",,,,,,"grasslandHerbaceous",,,"2014-06-02",1,"DIV.WOOD.2014.1","Y","TRDU","Tragopogon dubius Scop.","species",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/",,,,0,0,0
"0191761EB3114438A481FEF1BF13C03C","D09","WOOD",,,,,,"grasslandHerbaceous",,,"2014-06-02",1,"DIV.WOOD.2014.1","Y","CIUN","Cirsium undulatum (Nutt.) Spreng.","species",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/",,,,0,0,0
"80A143F09F754A8E8F86659A59D87364","D09","WOOD",,,,,,"grasslandHerbaceous",,,"2014-06-02",1,"DIV.WOOD.2014.1","Y","ARAB3","Artemisia absinthium L.","species",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/",,,,0,0,0
"AD5071AF98A54B2D80E7AD4356487049","D09","WOOD",,,,,,"grasslandHerbaceous",,,"2014-06-02",1,"DIV.WOOD.2014.1","Y","BOCU","Bouteloua curtipendula (Michx.) Torr.","species",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/",,,,0,0,0
"2D3663374D9C4E3F8BCE4618DBE56A62","D09","WOOD",,,,,,"grasslandHerbaceous",,,"2014-06-02",1,"DIV.WOOD.2014.1","Y","TAOF","Taraxacum officinale F.H. Wigg.","species",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/",,,,0,0,0
"F219657690A440659CE865919A23F351","D09","WOOD",,,,,,"grasslandHerbaceous",,,"2014-06-02",1,"DIV.WOOD.2014.1","Y","BRIN2","Bromus inermis Leyss.","species",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/",,,,0,0,0
"D971253AEA5E4C8C92BB5E95C2CCFBE5","D09","WOOD",,,,,,"grasslandHerbaceous",,,"2014-06-02",1,"DIV.WOOD.2014.1","Y","NAVI4","Nassella viridula (Trin.) Barkworth","species","cf. species",,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/",,,,0,0,0
"FC02B8E65E0F4CFFBCCB7B7D97FAF1C7","D09","WOOD",,,,,,"grasslandHerbaceous",,,"2014-06-02",1,"DIV.WOOD.2014.1","Y","OTHE","Plantae sp.","kingdom",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/","Solidago rigida, taxonID = OLRIG",,,0,0,0
"4CC6C66771CC48E393490A17215FD8C5","D09","WOOD",,,,,,"grasslandHerbaceous",,,"2014-06-02",1,"DIV.WOOD.2014.1","Y","VIAM","Vicia americana Muhl. ex Willd.","species",,,"NEON.DOC.014042",,"PGfyKY6L05v7VgRZCNFqFMvusBXcTkJ/",,,,0,0,0
