"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","morphospeciesIDRemarks","taxonIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF","duplicateTaxonIDPerBout100m2QF"
"BFAC4A9EA02B4402B369AE000F376B41","D10","CPER",,"41",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","TROC","Tradescantia occidentalis (Britton) Smyth","species",,,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0,0,0
"ADBCED64E7F24C4FB9C2BC3D714FAA11","D10","CPER",,"41",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","LIPU","Liatris punctata Hook.","species",,,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0,0,0
"62A0900615CA4D71BFAAE3000C073C0E","D10","CPER",,"41",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","PASM","Pascopyrum smithii (Rydb.) Á. Löve","species",,,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0,0,0
"A4FF0E56147541E6B80774E91C752714","D10","CPER",,"41",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","PSTE5","Psoralidium tenuiflorum (Pursh) Rydb.","species",,,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0,0,0
"17799558660E41D28B4E0143C9AB9DA3","D10","CPER",,"41",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","SPCO","Sphaeralcea coccinea (Nutt.) Rydb.","species",,,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0,0,0
"13E7C936DEA64055BCB8B85159E67115","D10","CPER",,"40",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","TROC","Tradescantia occidentalis (Britton) Smyth","species",,,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0,0,0
"DE8687EE851F4CF4AA7AEAE43E37DD6A","D10","CPER",,"41",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","HECO26","Hesperostipa comata (Trin. & Rupr.) Barkworth","species",,,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0,0,0
"EFF696D72E954594BB190E24ACB04C47","D10","CPER",,"41",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","ARFR4","Artemisia frigida Willd.","species",,,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0,0,0
"7E4CBD94740F403D8029AFD607E5A71A","D10","CPER",,"41",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","BODA2","Bouteloua dactyloides (Nutt.) J.T. Columbus","species",,,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0,0,0
"720044DCC32B4EF9B57A2CCB22F43E47","D10","CPER",,"41",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","ELEL5","Elymus elymoides (Raf.) Swezey","species",,,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0,0,0
