"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","percentCover","heightPlantOver300cm","heightPlantSpecies","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","duplicateTaxonIDBoutPer1m2QF","missingRecords1m2QF"
"8363DD7CF2734C11ADCED20053716546","D10","CPER",,"41.4.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths","species",,,0.5,"N",6.0,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0
"891C065C05C14083ACFC316BCA0C3551","D10","CPER",,"41.4.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","OPPO","Opuntia polyacantha Haw.","species",,,2,"N",13.0,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0
"E7EA7B18F6FA45F78ABB90CD0C22BC97","D10","CPER",,"41.4.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","2PLANT","Unknown plant","kingdom",,"shaved waxy stiff",0.5,"N",13.0,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0
"EF6C8985E908476FAF5E6D9FEC21F483","D10","CPER",,"41.4.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","SPCO","Sphaeralcea coccinea (Nutt.) Rydb.","species",,,0.5,"N",4.5,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0
"0011B9013F5342849DF55613D59D2557","D10","CPER",,"40.3.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","PASM","Pascopyrum smithii (Rydb.) Á. Löve","species",,,1,"N",46.0,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0
"A72FA3485AEF41C8998B2B81D709BBA4","D10","CPER",,"40.3.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","SPCO","Sphaeralcea coccinea (Nutt.) Rydb.","species",,,0.5,"N",4.0,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0
"BDD3C4F7D5A941C48D7EF2A982A65056","D10","CPER",,"41.1.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","PIOP","Picradeniopsis oppositifolia (Nutt.) Rydb. ex Britton","species",,,0.5,"N",5.0,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0
"A5BB4C14E6E34A1FA4BE2774A8BD390A","D10","CPER",,"41.1.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths","species",,,1,"N",20.0,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0
"4090C31E768B45DDBCEDF7CEC5ACD78B","D10","CPER",,"41.1.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","SPCO","Sphaeralcea coccinea (Nutt.) Rydb.","species",,,0.5,"N",3.5,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0
"D5B6C37849F1497F9772DE00D53F43E4","D10","CPER",,"40.1.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","LIPU","Liatris punctata Hook.","species",,,0.5,"N",4.0,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0
"C3DDBD120E054B39AE16CB60192C1769","D10","CPER",,"40.3.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","LIPU","Liatris punctata Hook.","species",,,1,"N",7.0,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0
"F4C9AB5699E345B8BBA9EAFF86387545","D10","CPER",,"40.3.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths","species",,,4,"N",7.0,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0
"6B48932D32AE4AA6AB0A338DF32032A9","D10","CPER",,"40.3.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","BODA2","Bouteloua dactyloides (Nutt.) J.T. Columbus","species",,,8,"N",7.0,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0
"588FC34373574C33A56049680A8EE3FD","D10","CPER",,"32.4.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","ASTRASPP","Astragalus spp.","genus","cf. species",,0.5,"N",6.5,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0
"CB0F33F0736E437EA28A36BEBD7E082F","D10","CPER",,"40.1.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","ARPU9","Aristida purpurea Nutt.","species",,,0.5,"N",13.5,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0
"FEE0D9C11A1142D498F2F71E318313A5","D10","CPER",,"40.1.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","BODA2","Bouteloua dactyloides (Nutt.) J.T. Columbus","species",,,25,"N",8.0,"NEON.DOC.014042",,"mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,,,0,0
