"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","otherVariablesPresent","otherVariables","percentCover","samplingProtocol","measuredBy","recordedBy","remarks","duplicateVariablesBout1m2QF"
"A7F25FCF6EE84283BC3F8359CA1B3E70","D10","CPER",,"41.4.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","standingDead",0.5,"NEON.DOC.014042","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","(DUFF)",0
"3B56B1BA59E949449A2099EE51B18664","D10","CPER",,"41.4.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","wood",0.5,"NEON.DOC.014042","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,0
"9EB8A551570A477195342AC6EDFBA938","D10","CPER",,"40.3.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","litter",70,"NEON.DOC.014042","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,0
"BBD3EE0C5A32474E9CBC946CED0EBDD6","D10","CPER",,"40.3.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","wood",0.5,"NEON.DOC.014042","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,0
"628D244B98014703BF1EB1BD1B30D737","D10","CPER",,"41.1.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","lichen",0.5,"NEON.DOC.014042","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,0
"B3C8948881644525B8389F67AD581AF3","D10","CPER",,"41.1.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","rock",50,"NEON.DOC.014042","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,0
"7D899443CA6C4CE69A60C37ABBD56A2A","D10","CPER",,"41.1.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","soil",45,"NEON.DOC.014042","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,0
"6C902228C9C74A5892B66D1AF4E8FB76","D10","CPER",,"41.4.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","soil",35,"NEON.DOC.014042","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,0
"72B4EEF5B35A4BDDACBBDD5756EC449A","D10","CPER",,"32.4.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","wood",0.5,"NEON.DOC.014042","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo",,0
"A03D5EB28A844E68A17358F32DF7082A","D10","CPER",,"32.4.1",,,,,"2013-06-26",1,"DIV.CPER.2013.1","Y","standingDead",0.5,"NEON.DOC.014042","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","mtjfeXcH6NfJjQXCo8t6gfpYJXemAxZo","(DUFF)",0
