"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","morphospeciesIDRemarks","taxonIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF","duplicateTaxonIDPerBout100m2QF"
"60845EA47C744A23920EBBF2978BCA30","D10","STER",,"41",40.463979,-103.035272,"WGS84",2.1,"2014-07-08",1,"DIV.STER.2014.1","Y","COAR4","Convolvulus arvensis L.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,,,0,0,0,0
"E03D562822BE4F66A57C41917139A8EE","D10","STER",,"41",40.463979,-103.035272,"WGS84",2.1,"2014-07-08",1,"DIV.STER.2014.1","Y","POOL","Portulaca oleracea L.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,,,0,0,0,0
"B18A53D7B8E74B6F97BDD880B15AD9CD","D10","STER",,"41",40.463979,-103.035272,"WGS84",2.1,"2014-07-08",1,"DIV.STER.2014.1","Y","TRAE","Triticum aestivum L.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,,,0,0,0,0
"7526807819D441EAADFBE1D365A71380","D10","STER",,"40",40.463977,-103.035394,"WGS84",2.1,"2014-07-08",1,"DIV.STER.2014.1","Y","COAR4","Convolvulus arvensis L.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,,,0,0,0,0
"788C477D57D74367B6E68B2DF41DBF71","D10","STER",,"40",40.463977,-103.035394,"WGS84",2.1,"2014-07-08",1,"DIV.STER.2014.1","Y","POOL","Portulaca oleracea L.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,,,0,0,0,0
"2629A88FEAC24A369B52220AC9FC0D8A","D10","STER",,"40",40.463977,-103.035394,"WGS84",2.1,"2014-07-08",1,"DIV.STER.2014.1","Y","TRAE","Triticum aestivum L.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,,,0,0,0,0
"1B972503C70C4AA98D79476883B10890","D10","STER",,"41",40.463979,-103.035272,"WGS84",2.1,"2014-07-08",1,"DIV.STER.2014.1","Y","AMRE","Amaranthus retroflexus L.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,,,0,0,0,0
"F2302706736345278ECE17FD8E46BB4C","D10","STER",,"32",40.463892,-103.035271,"WGS84",2.1,"2014-07-08",1,"DIV.STER.2014.1","Y","BASSISPP","Bassia spp.","genus",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,,,0,0,0,0
"787ABDDE19434AA98258AF49F63741B6","D10","STER",,"32",40.463892,-103.035271,"WGS84",2.1,"2014-07-08",1,"DIV.STER.2014.1","Y","ERCI","Eragrostis cilianensis (All.) Vign. ex Janchen","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,,,0,0,0,0
"595007FC7DFC4FB094E99573544DAB2B","D10","STER",,"32",40.463892,-103.035271,"WGS84",2.1,"2014-07-08",1,"DIV.STER.2014.1","Y","SACO8","Salsola collina Pall.","species",,,"NEON.DOC.014042",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,,,0,0,0,0
