"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","otherVariablesPresent","otherVariables","percentCover","samplingProtocol","measuredBy","recordedBy","remarks","duplicateVariablesBout1m2QF"
"286C94F468FF4CBE9D22F39D0108B4A6","D10","STER",,"40.1.1",,,,,"2014-07-08",1,"DIV.STER.2014.1","Y","wood",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"741C2FD2323C4B26968F3CAE298A8EF3","D10","STER",,"40.1.1",,,,,"2014-07-08",1,"DIV.STER.2014.1","Y","soil",70,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"E070A0DE623643319A4F6DE25B6C2122","D10","STER",,"40.3.1",,,,,"2014-07-08",1,"DIV.STER.2014.1","Y","litter",1,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"9E5EE5E515DC451E9FDF6DE86FA008D6","D10","STER",,"40.3.1",,,,,"2014-07-08",1,"DIV.STER.2014.1","Y","rock",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"2D91FF695AFC4FC6B0D1278BA11AA4F9","D10","STER",,"41.1.1",,,,,"2014-07-08",1,"DIV.STER.2014.1","Y","litter",2,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"C31EAAD131D241B7974B1E53729B5C2D","D10","STER",,"41.4.1",,,,,"2014-07-08",1,"DIV.STER.2014.1","Y","soil",75,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"338ED16E26DC481584206E0BECCD2F74","D10","STER",,"41.4.1",,,,,"2014-07-08",1,"DIV.STER.2014.1","Y","litter",2,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"2345519B802742738A6A0C2802AA6F94","D10","STER",,"41.4.1",40.464022,-103.035219,"WGS84",0.3,"2014-07-08",1,"DIV.STER.2014.1","Y","soil",70,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"AF7050D5D88F4DDF828113F3D0C2AB3A","D10","STER",,"31.1.1",,,,,"2014-07-08",1,"DIV.STER.2014.1","Y","soil",65,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"4DFCC89168E6494180F2C9D3473C468E","D10","STER",,"31.1.1",,,,,"2014-07-08",1,"DIV.STER.2014.1","Y","rock",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"05E3618AC4154A5F8813AAF477D6FBF8","D10","STER",,"31.4.1",,,,,"2014-07-08",1,"DIV.STER.2014.1","Y","litter",2,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"624623A284A549B2BCC24F1574239480","D10","STER",,"32.2.1",,,,,"2014-07-08",1,"DIV.STER.2014.1","Y","soil",70,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"5F7FDA1B108340AA9A31D1668947340F","D10","STER",,"32.4.1",,,,,"2014-07-08",1,"DIV.STER.2014.1","Y","rock",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"980FB9C38B3D474FB445C46807486A24","D10","STER",,"40.3.1",40.464019,-103.035446,"WGS84",0.3,"2014-07-08",1,"DIV.STER.2014.1","Y","soil",77,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"5731DCB070A047C7A81AD91A64D4D86F","D10","STER",,"41.1.1",40.463940,-103.035326,"WGS84",0.3,"2014-07-08",1,"DIV.STER.2014.1","Y","rock",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"219493F88EC6448DAEF112ED911F5BB1","D10","STER",,"41.1.1",40.463940,-103.035326,"WGS84",0.3,"2014-07-08",1,"DIV.STER.2014.1","Y","soil",80,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"D4DA43ABD9CB4A34A2A4261B71A71E4C","D10","STER",,"41.1.1",40.463940,-103.035326,"WGS84",0.3,"2014-07-08",1,"DIV.STER.2014.1","Y","litter",5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"3022571562C44F0B9607E2A7C19563DC","D10","STER",,"41.4.1",40.464022,-103.035219,"WGS84",0.3,"2014-07-08",1,"DIV.STER.2014.1","Y","litter",2,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"25B64D3A0C1144E7ADF77CB11D13D4B2","D10","STER",,"40.1.1",40.463938,-103.035449,"WGS84",0.3,"2014-07-08",1,"DIV.STER.2014.1","Y","wood",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"9BCC045B4B75457983463326E0DE0976","D10","STER",,"40.1.1",40.463938,-103.035449,"WGS84",0.3,"2014-07-08",1,"DIV.STER.2014.1","Y","litter",1,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"A65E46F5C3CB41878334B6E398E0F8CA","D10","STER",,"40.3.1",40.464019,-103.035446,"WGS84",0.3,"2014-07-08",1,"DIV.STER.2014.1","Y","litter",1,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"2E1016F65BC4424C83BF0B1AF3A74814","D10","STER",,"40.3.1",40.464019,-103.035446,"WGS84",0.3,"2014-07-08",1,"DIV.STER.2014.1","Y","rock",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"F1775AAD86444CAB9B1C4C4790054E65","D10","STER",,"32.4.1",40.463931,-103.035217,"WGS84",0.3,"2014-07-08",1,"DIV.STER.2014.1","Y","litter",3,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"F54B0D84CCD64D34B78497D54481BD32","D10","STER",,"32.4.1",40.463931,-103.035217,"WGS84",0.3,"2014-07-08",1,"DIV.STER.2014.1","Y","rock",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"42B3F3A8BDA84BE4A0A1F78015F1067B","D10","STER",,"32.4.1",40.463931,-103.035217,"WGS84",0.3,"2014-07-08",1,"DIV.STER.2014.1","Y","soil",65,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"266B477B79824FC8BA6DFA6A6E05F3A6","D10","STER",,"40.1.1",40.463938,-103.035449,"WGS84",0.3,"2014-07-08",1,"DIV.STER.2014.1","Y","rock",0.5,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"2CA75083EE8842D0AC441138A23B7974","D10","STER",,"40.1.1",40.463938,-103.035449,"WGS84",0.3,"2014-07-08",1,"DIV.STER.2014.1","Y","soil",78,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
"46A2B97978EC46ABB00FD956ACB15E06","D10","STER",,"31.4.1",40.463931,-103.035338,"WGS84",0.3,"2014-07-08",1,"DIV.STER.2014.1","Y","soil",55,"NEON.DOC.014042","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","5cJrGWs5ZbEHwB8wvRg5ikRxto9hqhUu",,0
