"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","duplicateTaxonIDPerBout10m2QF"
"72CF351F49ED454A8B063781CA26BCA5","D11","OAES",,"41.4.10",,,,,"2015-06-09",1,"DIV.OAES.2015.1","Y","ERIGE2","Erigeron sp.","genus",,,"NEON.DOC.014042",,"nLY7eam4tn5KvmhUGKXYjL1ERBP4294P","C0Kcj60NM2i6Hyiei+7ZMrFcIelEO7Hg",,,,0,0,0
"43AFB1E42BCD443E89FF4564E3268D9A","D11","OAES",,"41.4.10",,,,,"2015-06-09",1,"DIV.OAES.2015.1","Y","PLPA2","Plantago patagonica Jacq.","species",,,"NEON.DOC.014042",,"nLY7eam4tn5KvmhUGKXYjL1ERBP4294P","C0Kcj60NM2i6Hyiei+7ZMrFcIelEO7Hg",,,,0,0,0
"9815D2268F51459C856E0ED10EFBB1D8","D11","OAES",,"41.4.10",,,,,"2015-06-09",1,"DIV.OAES.2015.1","Y","PSTE5","Psoralidium tenuiflorum (Pursh) Rydb.","species",,,"NEON.DOC.014042",,"nLY7eam4tn5KvmhUGKXYjL1ERBP4294P","C0Kcj60NM2i6Hyiei+7ZMrFcIelEO7Hg",,,,0,0,0
"75894817387C4B61A085C67D2A580575","D11","OAES",,"41.4.10",,,,,"2015-06-09",1,"DIV.OAES.2015.1","Y","TRRA5","Tragia ramosa Torr.","species",,,"NEON.DOC.014042",,"nLY7eam4tn5KvmhUGKXYjL1ERBP4294P","C0Kcj60NM2i6Hyiei+7ZMrFcIelEO7Hg",,,,0,0,0
"A71BA44F35C44770A5CEE8D79344C189","D11","OAES",,"41.4.10",,,,,"2015-06-09",1,"DIV.OAES.2015.1","Y","AMPS","Ambrosia psilostachya DC.","species",,,"NEON.DOC.014042",,"nLY7eam4tn5KvmhUGKXYjL1ERBP4294P","C0Kcj60NM2i6Hyiei+7ZMrFcIelEO7Hg",,,,0,0,0
"6C35C770830C447C9DAFEE5376715B9E","D11","OAES",,"41.4.10",,,,,"2015-06-09",1,"DIV.OAES.2015.1","Y","ASNU4","Astragalus nuttallianus DC.","species",,,"NEON.DOC.014042",,"nLY7eam4tn5KvmhUGKXYjL1ERBP4294P","C0Kcj60NM2i6Hyiei+7ZMrFcIelEO7Hg",,,,0,0,0
"F9925F7FDA39485096364464A821CBC3","D11","OAES",,"41.4.10",,,,,"2015-06-09",1,"DIV.OAES.2015.1","Y","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths","species",,,"NEON.DOC.014042",,"nLY7eam4tn5KvmhUGKXYjL1ERBP4294P","C0Kcj60NM2i6Hyiei+7ZMrFcIelEO7Hg",,,,0,0,0
"162C21874CB448FDB61F15AC7B90DEA7","D11","OAES",,"41.4.10",,,,,"2015-06-09",1,"DIV.OAES.2015.1","Y","CEAM2","Centaurea americana Nutt.","species",,,"NEON.DOC.014042",,"nLY7eam4tn5KvmhUGKXYjL1ERBP4294P","C0Kcj60NM2i6Hyiei+7ZMrFcIelEO7Hg",,,,0,0,0
"339DC39E68EE49948EE98F0776D6A913","D11","OAES",,"41.4.10",,,,,"2015-06-09",1,"DIV.OAES.2015.1","Y","CRCA6","Croton capitatus Michx.","species",,,"NEON.DOC.014042",,"nLY7eam4tn5KvmhUGKXYjL1ERBP4294P","C0Kcj60NM2i6Hyiei+7ZMrFcIelEO7Hg",,,,0,0,0
"DB96774B6D7A465BAEF4C61E5088FF8D","D11","OAES",,"41.1.10",,,,,"2015-06-09",1,"DIV.OAES.2015.1","Y","PLPA2","Plantago patagonica Jacq.","species",,,"NEON.DOC.014042",,"nLY7eam4tn5KvmhUGKXYjL1ERBP4294P","C0Kcj60NM2i6Hyiei+7ZMrFcIelEO7Hg",,,,0,0,0
"F619A9B5419B4E11A7C4F21DF14E6426","D11","OAES",,"41.1.10",,,,,"2015-06-09",1,"DIV.OAES.2015.1","Y","PSTE5","Psoralidium tenuiflorum (Pursh) Rydb.","species",,,"NEON.DOC.014042",,"nLY7eam4tn5KvmhUGKXYjL1ERBP4294P","C0Kcj60NM2i6Hyiei+7ZMrFcIelEO7Hg",,,,0,0,0
