"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","morphospeciesIDRemarks","taxonIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF","duplicateTaxonIDPerBout100m2QF"
"A40D9FC790A3411E99FBFD3B5509279B","D13","MOAB",,"41",38.278647,-109.351096,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","DRABASPP","Draba spp.","genus",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"173F0AA6059447559A8E9152435AAC23","D13","MOAB",,"41",38.278647,-109.351096,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","PHAC4","Physaria acutifolia Rydb.","species",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"7297FB419621463BB086F820CB17FF60","D13","MOAB",,"41",38.278647,-109.351096,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","ELEL5","Elymus elymoides (Raf.) Swezey","species",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"5797F071438444319C0B2B1DC1F09AFD","D13","MOAB",,"41",38.278647,-109.351096,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","POASPP","Poa spp.","genus",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"520A78AD9F994902823BE865E148A6AA","D13","MOAB",,"41",38.278647,-109.351096,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","ALHU6","Aliciella hutchinsifolia (Rydb.) J.M. Porter","species",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"C42170233CC14B0FAA5399DC8324A2C6","D13","MOAB",,"41",38.278647,-109.351096,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","CHAMA15SPP","Chamaesyce spp.","genus",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"2E1F522600BD4D6498031A19F1239535","D13","MOAB",,"40",38.278650,-109.351212,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","ARABI2SPP","Arabis spp.","genus",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"3FE00724F98F4995A02A4EE05848460B","D13","MOAB",,"40",38.278650,-109.351212,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","CHAMA15SPP","Chamaesyce spp.","genus",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"D41644F3867B4932B648C977BFBE1233","D13","MOAB",,"40",38.278650,-109.351212,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","POASPP","Poa spp.","genus",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"5CA518B656A843618187F70A5D0CB58E","D13","MOAB",,"32",38.278557,-109.351097,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","DRABASPP","Draba spp.","genus",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"FC1E857A55F745FFA17265E5BEFE54E0","D13","MOAB",,"32",38.278557,-109.351097,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","PHAC4","Physaria acutifolia Rydb.","species",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"C9C2347CB0354994A141F6BBDAC59251","D13","MOAB",,"40",38.278650,-109.351212,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","PHAC4","Physaria acutifolia Rydb.","species",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"82FED2A85DC44268A35CCA0CD3DCD0DE","D13","MOAB",,"40",38.278650,-109.351212,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","ALHU6","Aliciella hutchinsifolia (Rydb.) J.M. Porter","species",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"C7D94D0E708047EAB9677ECC483596E8","D13","MOAB",,"32",38.278557,-109.351097,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","ASCR","Asclepias cryptoceras S. Watson","species",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"D2DA9CC2E6544B0CAFBE2CDBFBE2221B","D13","MOAB",,"32",38.278557,-109.351097,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","ASTRASPP","Astragalus spp.","genus",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"324816D2CD7E4F49B008C7B06A460F24","D13","MOAB",,"32",38.278557,-109.351097,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","CRYPTSPP","Cryptantha spp.","genus",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"2A7DC265234F44BAAF9B19FD5790AA87","D13","MOAB",,"31",38.278558,-109.351210,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","JUOS","Juniperus osteosperma (Torr.) Little","species",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"3CC813C6196C45F9A780EFBE9A5165CC","D13","MOAB",,"31",38.278558,-109.351210,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","TOIN","Townsendia incana Nutt.","species",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"120BCCAF95BD4968BF1A00BCBD27DA3D","D13","MOAB",,"31",38.278558,-109.351210,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","PIED","Pinus edulis Engelm.","species",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"9249B2B6618B420BB2FBECE727E30989","D13","MOAB",,"32",38.278557,-109.351097,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","LAOC3","Lappula occidentalis (S. Watson) Greene","species",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"59A6CCE3A7E24775A0EFF459EC11953A","D13","MOAB",,"31",38.257522,-109.413728,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","GIIN2","Gilia inconspicua (Sm.) Sweet","species",,,"NEON.DOC.014042",,"SVlrLvG6MQgHNcX9a6cN9XT/1zjcedhM","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",,,,0,0,0,0
"31AD6DE6831B496592A46CDD68308AB1","D13","MOAB",,"31",38.257522,-109.413728,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","GUSA2","Gutierrezia sarothrae (Pursh) Britton & Rusby","species",,,"NEON.DOC.014042",,"SVlrLvG6MQgHNcX9a6cN9XT/1zjcedhM","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",,,,0,0,0,0
"1D25A3F6996942B69B67EECCB7B40C2F","D13","MOAB",,"31",38.278558,-109.351210,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","POASPP","Poa spp.","genus",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"3A0A0EAC36DF426FBBAEB2CB92714926","D13","MOAB",,"31",38.278558,-109.351210,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","ASCR","Asclepias cryptoceras S. Watson","species","cf. species",,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0,0,0
"025FC2BB7963472AB2434FE0BDD151F8","D13","MOAB",,"31",38.257522,-109.413728,"WGS84",2.1,"2015-05-12",1,"DIV.MOAB.2015.1","Y","BRTE","Bromus tectorum L.","species",,,"NEON.DOC.014042",,"SVlrLvG6MQgHNcX9a6cN9XT/1zjcedhM","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",,,,0,0,0,0
