"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","percentCover","heightPlantOver300cm","heightPlantSpecies","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","duplicateTaxonIDBoutPer1m2QF","missingRecords1m2QF"
"C26B722F442843AB91FDEEDAA31DA2C9","D13","MOAB",,"40.3.1",38.278691,-109.351263,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","PIED","Pinus edulis Engelm.","species",,,0.5,"N",2.0,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0
"E68D1873BB814747BA5FF408313B69D2","D13","MOAB",,"41.4.1",38.278687,-109.351046,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","ALHU6","Aliciella hutchinsifolia (Rydb.) J.M. Porter","species",,,0.5,"N",3.0,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0
"641F08DCF66F40658E408DABB3186763","D13","MOAB",,"41.4.1",38.278687,-109.351046,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","PIED","Pinus edulis Engelm.","species","cf. species",,15,"Y",,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0
"DFB19AA8033347039346BBBEE4A3E93B","D13","MOAB",,"32.2.1",38.278516,-109.351046,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","DESO2","Descurainia sophia (L.) Webb ex Prantl","species",,,0.5,"N",22.0,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0
"74D1A89C80894DCF85BE709290608765","D13","MOAB",,"32.4.1",38.278597,-109.351044,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","DESO2","Descurainia sophia (L.) Webb ex Prantl","species",,,0.5,"N",4.8,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0
"10C1246273FF46B5A6455FE952B38ABF","D13","MOAB",,"32.4.1",38.278597,-109.351044,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","ALHU6","Aliciella hutchinsifolia (Rydb.) J.M. Porter","species",,,0.5,"N",2.0,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0
"1B8809ABC544400BA9A7E25978AAE3C7","D13","MOAB",,"40.1.1",38.278610,-109.351264,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","ALHU6","Aliciella hutchinsifolia (Rydb.) J.M. Porter","species",,,0.5,"N",2.0,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0
"59CDD8FA1DDE48369C5B42F0B42C5E54","D13","MOAB",,"41.4.1",38.257649,-109.413568,"WGS84",0.4,"2015-05-12",1,"DIV.MOAB.2015.1","Y","GUSA2","Gutierrezia sarothrae (Pursh) Britton & Rusby","species",,,3,"N",12.0,"NEON.DOC.014042",,"SVlrLvG6MQgHNcX9a6cN9XT/1zjcedhM","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",,,,0,0
"3B4C10874E9C480A9A099F0BED7CE610","D13","MOAB",,"31.4.1",38.278598,-109.351160,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","N",,,,,,,,,"NEON.DOC.014042",,"tlMoIdYkoo7AZ82LbNc+3bg6Qc6nYLmw","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0
"E7B8B2302E85410399185068A39B9CA1","D13","MOAB",,"32.2.1",38.278516,-109.351046,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","ALHU6","Aliciella hutchinsifolia (Rydb.) J.M. Porter","species",,,0.5,"N",6.0,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,,,0,0
