"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","otherVariablesPresent","otherVariables","percentCover","samplingProtocol","measuredBy","recordedBy","remarks","duplicateVariablesBout1m2QF"
"B18A4BC6780B47BB9B362BF6290791DC","D13","MOAB",,"41.4.1",38.278687,-109.351046,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","wood",12,"NEON.DOC.014042","tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"EB4FA2D0B667409C91DC6132EFF21C30","D13","MOAB",,"41.4.1",38.278687,-109.351046,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","soil",3,"NEON.DOC.014042","tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"8B12025AAE76498EA984D2A89E7FE5B4","D13","MOAB",,"41.4.1",38.278687,-109.351046,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","litter",70,"NEON.DOC.014042","tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"7EF6D2E75C324199BF534C1111B25900","D13","MOAB",,"32.2.1",38.278516,-109.351046,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","scat",0.5,"NEON.DOC.014042","tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"98FA9DC93F4047628D12B8B673E38196","D13","MOAB",,"32.4.1",38.278597,-109.351044,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","overstory",70,"NEON.DOC.014042","tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"65072FEB7723496087D7CE84C69820EB","D13","MOAB",,"41.1.1",38.278607,-109.351149,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","moss",0.5,"NEON.DOC.014042","tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"E9D600B11D0245368531BFF74FE3FBE7","D13","MOAB",,"41.1.1",38.278607,-109.351149,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","lichen",0.5,"NEON.DOC.014042","tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"01AB43738FEF4382AE4DE8166403144F","D13","MOAB",,"41.4.1",38.278687,-109.351046,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","overstory",15,"NEON.DOC.014042","tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"D03AFCD40985440F921BC71FF4589F46","D13","MOAB",,"31.1.1",38.278518,-109.351262,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","rock",40,"NEON.DOC.014042","tlMoIdYkoo7AZ82LbNc+3bg6Qc6nYLmw","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"ADC49ACEDD064FE2BA8B01B76AA50AC9","D13","MOAB",,"31.1.1",38.278518,-109.351262,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","litter",0.5,"NEON.DOC.014042","tlMoIdYkoo7AZ82LbNc+3bg6Qc6nYLmw","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"83FC561D9D8A4EEBB6910DEFA679CBB1","D13","MOAB",,"31.1.1",38.278518,-109.351262,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","soil",60,"NEON.DOC.014042","tlMoIdYkoo7AZ82LbNc+3bg6Qc6nYLmw","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"9258F93D955448759F4C9B6AF6A7999E","D13","MOAB",,"31.4.1",38.278598,-109.351160,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","litter",100,"NEON.DOC.014042","tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"1843C953CC6F41C5B22C89B1A9AAB5A3","D13","MOAB",,"31.4.1",38.278598,-109.351160,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","scat",0.5,"NEON.DOC.014042","tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"D8AD4E2F3B9D403BBBF811D15FFF7C2F","D13","MOAB",,"41.4.1",38.257649,-109.413568,"WGS84",0.4,"2015-05-12",1,"DIV.MOAB.2015.1","Y","wood",0.5,"NEON.DOC.014042","SVlrLvG6MQgHNcX9a6cN9XT/1zjcedhM","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",,0
"33DEE47421CC406E905E3923FDC5EC50","D13","MOAB",,"41.4.1",38.257649,-109.413568,"WGS84",0.4,"2015-05-12",1,"DIV.MOAB.2015.1","Y","litter",1,"NEON.DOC.014042","SVlrLvG6MQgHNcX9a6cN9XT/1zjcedhM","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",,0
"E7C4AF2B7E7F45D49E895526D526BB36","D13","MOAB",,"41.4.1",38.257649,-109.413568,"WGS84",0.4,"2015-05-12",1,"DIV.MOAB.2015.1","Y","standingDead",1,"NEON.DOC.014042","SVlrLvG6MQgHNcX9a6cN9XT/1zjcedhM","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",,0
"924FF97CEA77436BAF136EEC10C558E3","D13","MOAB",,"31.1.1",38.278518,-109.351262,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","moss",0.5,"NEON.DOC.014042","tlMoIdYkoo7AZ82LbNc+3bg6Qc6nYLmw","xwW9faweG9yezxUGEB9quDydrYQYJWI4",,0
"40B76C05BBC24B3498BE1E18ACF4C73B","D13","MOAB",,"40.3.1",38.257653,-109.413780,"WGS84",0.5,"2015-05-12",1,"DIV.MOAB.2015.1","Y","standingDead",0.5,"NEON.DOC.014042","SVlrLvG6MQgHNcX9a6cN9XT/1zjcedhM","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",,0
"B6324050BC224B3796FFD045DCA556B6","D13","MOAB",,"40.3.1",38.257653,-109.413780,"WGS84",0.5,"2015-05-12",1,"DIV.MOAB.2015.1","Y","litter",10,"NEON.DOC.014042","SVlrLvG6MQgHNcX9a6cN9XT/1zjcedhM","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",,0
"AA98FFC5189B48D0A704F964C95D5DD3","D13","MOAB",,"41.1.1",38.257574,-109.413668,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","wood",0.5,"NEON.DOC.014042","SVlrLvG6MQgHNcX9a6cN9XT/1zjcedhM","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",,0
"7B169EDC7AFE49EAA8271EC448370988","D13","MOAB",,"41.1.1",38.257574,-109.413668,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","litter",0.5,"NEON.DOC.014042","SVlrLvG6MQgHNcX9a6cN9XT/1zjcedhM","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",,0
"B3B108843A2042AFA0D486C3471EF240","D13","MOAB",,"41.1.1",38.257574,-109.413668,"WGS84",0.3,"2015-05-12",1,"DIV.MOAB.2015.1","Y","scat",0.5,"NEON.DOC.014042","SVlrLvG6MQgHNcX9a6cN9XT/1zjcedhM","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",,0
"6DFA16C1798B4876A658EE0FBA11F471","D13","MOAB",,"40.1.1",38.257572,-109.413782,"WGS84",0.5,"2015-05-12",1,"DIV.MOAB.2015.1","Y","rock",0.5,"NEON.DOC.014042","SVlrLvG6MQgHNcX9a6cN9XT/1zjcedhM","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",,0
"400C41FEEB4B4C52964C3499FD336C97","D13","MOAB",,"40.1.1",38.257572,-109.413782,"WGS84",0.5,"2015-05-12",1,"DIV.MOAB.2015.1","Y","scat",0.5,"NEON.DOC.014042","SVlrLvG6MQgHNcX9a6cN9XT/1zjcedhM","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",,0
"7997F11EB9B04370B6E6D4248E847846","D13","MOAB",,"40.3.1",38.257653,-109.413780,"WGS84",0.5,"2015-05-12",1,"DIV.MOAB.2015.1","Y","lichen",0.5,"NEON.DOC.014042","SVlrLvG6MQgHNcX9a6cN9XT/1zjcedhM","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",,0
