"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","nlcdClass","elevation","elevationUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF"
"A23FBDD4442549F1982D2276EE29EA82","D13","MOAB",,,,,,,,,"2015-05-12",1,"DIV.MOAB.2015.1","Y","CHAMA15SPP","Chamaesyce spp.","genus",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I",,,,0,0,0
"2BB51976CA8E485699CC5BBD80BB0525","D13","MOAB",,,,,,,,,"2015-05-12",1,"DIV.MOAB.2015.1","Y","POASPP","Poa spp.","genus",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I",,,,0,0,0
"046ED70CD7EE47A5AA6E287579C675F5","D13","MOAB",,,,,,,,,"2015-05-12",1,"DIV.MOAB.2015.1","Y","ASTRASPP","Astragalus spp.","genus",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I",,,,0,0,0
"7A18F9F967F041789D9A34AC0980EE71","D13","MOAB",,,,,,,,,"2015-05-12",1,"DIV.MOAB.2015.1","Y","ELEL5","Elymus elymoides (Raf.) Swezey","species","cf. species",,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I",,,,0,0,0
"1A934812AFD744E4ACC6B8304A149F74","D13","MOAB",,,,,,,,,"2015-05-12",1,"DIV.MOAB.2015.1","Y","DESCUSPP","Descurainia spp.","genus",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I",,,,0,0,0
"800DCFBB430944F09BBEF5775049900F","D13","MOAB",,,,,,,,,"2015-05-12",1,"DIV.MOAB.2015.1","Y","BORAGISPP","Boraginaceae spp.","family",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I",,,,0,0,0
"A2290F0CC343445D908830603A9E58B8","D13","MOAB",,,,,,,,,"2015-05-12",1,"DIV.MOAB.2015.1","Y","DESO2","Descurainia sophia (L.) Webb ex Prantl","species",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I",,,,0,0,0
"258B6D66B190452D8925525291A79B31","D13","MOAB",,,,,,"shrubScrub",,,"2015-05-12",1,"DIV.MOAB.2015.1","Y","2PLANT","Unknown plant","kingdom",,"cradeled tooth dandy","NEON.DOC.014042",,"SVlrLvG6MQgHNcX9a6cN9XT/1zjcedhM",,,"camera 3 photos 104-0195 to 104-0201",0,0,0
"7CE374BC3FD9494B90AA088250FC050C","D13","MOAB",,,,,,,,,"2015-05-12",1,"DIV.MOAB.2015.1","Y","ASCR","Asclepias cryptoceras S. Watson","species","cf. species",,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I",,,,0,0,0
"A5BE2177596E4828A500C08A9190C632","D13","MOAB",,,,,,,,,"2015-05-12",1,"DIV.MOAB.2015.1","Y","CRYPTSPP","Cryptantha spp.","genus",,,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I",,,,0,0,0
"9D090C3AB2A643ADB19FF10AFF00D02E","D13","MOAB",,,,,,,,,"2015-05-12",1,"DIV.MOAB.2015.1","Y","BRRU2","Bromus rubens L.","species","cf. species",,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I",,,,0,0,0
"D60A0C51D0814D8E88FB52231782D045","D13","MOAB",,,,,,,,,"2015-05-12",1,"DIV.MOAB.2015.1","Y","PIED","Pinus edulis Engelm.","species","cf. species",,"NEON.DOC.014042",,"tlMoIdYkoo4/frSr+TOZz6pAAC/bv59I",,,,0,0,0
