"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","duplicateTaxonIDPerBout10m2QF"
"23843F0F69D7435D8B0D16B64F5FA083","D14","JORN",,"32.2.10",32.592066,-106.843252,"WGS84",1.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","POJA5","Pomaria jamesii (Torr. & A. Gray) Walp.","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0
"75C74A4C30D842F491C31F4814AB7805","D14","JORN",,"31.4.10",32.592130,-106.843357,"WGS84",1.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","SPFE","Sphaeralcea fendleri A. Gray","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0
"637AE3BC99854F73AB7AF5B9368954C6","D14","JORN",,"31.4.10",32.592130,-106.843357,"WGS84",1.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","APRA","Aphanostephus ramosissimus DC.","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0
"47EBA769A4D74193999B4AC3A3E9FFE0","D14","JORN",,"31.4.10",32.592130,-106.843357,"WGS84",1.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","DANA","Dalea nana Torr. ex A. Gray","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0
"00A98D84462842D9AD0FC28B9CC24285","D14","JORN",,"31.4.10",32.592130,-106.843357,"WGS84",1.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","ZIGR","Zinnia grandiflora Nutt.","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0
"7059CD2EBB104BBE90F63A033374F652","D14","JORN",,"31.1.10",32.592069,-106.843431,"WGS84",1.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","APRA","Aphanostephus ramosissimus DC.","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0
"7125D0A3CFD4411F8D3323AA4128BCAA","D14","JORN",,"31.1.10",32.592069,-106.843431,"WGS84",1.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","BOER4","Bouteloua eriopoda (Torr.) Torr.","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0
"A7C58F2735E24258A4D7EBE2D1AA727D","D14","JORN",,"31.1.10",32.592069,-106.843431,"WGS84",1.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","EPTR","Ephedra trifurca Torr. ex S. Watson","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0
"EF6CDB715D7541B38DBE36EE7EFEE56A","D14","JORN",,"31.4.10",32.592130,-106.843357,"WGS84",1.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","HYFL","Hymenopappus flavescens A. Gray","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0
"06C75A44176D428D8DB885C13C12C01A","D14","JORN",,"31.1.10",32.592069,-106.843431,"WGS84",1.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","SEBA3","Senna bauhinioides (A. Gray) Irwin & Barneby","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0
"F65D29B0717B45DAA1ECFD653A813C7C","D14","JORN",,"31.1.10",32.592069,-106.843431,"WGS84",1.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","DECO2","Desmanthus cooleyi (Eaton) Trel.","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0
"23349E958B194CB0A51EDDE2A3F24DDA","D14","JORN",,"31.1.10",32.592069,-106.843431,"WGS84",1.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","SPFE","Sphaeralcea fendleri A. Gray","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0
"EAEBFC4D682E444BBD0BA928144B8371","D14","JORN",,"40.3.10",32.592225,-106.843429,"WGS84",1.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","APRA","Aphanostephus ramosissimus DC.","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0
"4B6DC7DA6AF64629A053C152CE1EA4F8","D14","JORN",,"40.3.10",32.592225,-106.843429,"WGS84",1.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","BOER4","Bouteloua eriopoda (Torr.) Torr.","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0
"E3F22E4ABD804DF3B15F14102AD54048","D14","JORN",,"40.3.10",32.592225,-106.843429,"WGS84",1.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","SPFL2","Sporobolus flexuosus (Thurb. ex Vasey) Rydb.","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0
"F3B367E25CA840D697CA0123991341B1","D14","JORN",,"41.1.10",32.592159,-106.843323,"WGS84",1.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","PRGL2","Prosopis glandulosa Torr.","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0
